,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL,
At Meets Grade Level or Above,2018,SDA05ARE1218R,RDA05ARE1218R,DDA05ARE1218R,DDB05ARE1218R,DDH05ARE1218R,"DDW05ARE1218R
:unselected:","DDI05ARE1218R
:unselected:",DD305ARE1218R,DD405ARE1218R,DD205ARE1218R,DDS05ARE1218R,DDE05ARE1218R,DDL05ARE1218R,
,2017,SDA05ARE1217R,RDA05ARE1217R,DDA05ARE1217R,DDB05ARE1217R,DDH05ARE1217R,"DDW05ARE1217R
:unselected:","DDI05ARE1217R
:unselected:",DD305ARE1217R,DD405ARE1217R,DD205ARE1217R,DDS05ARE1217R,DDE05ARE1217R,DDL05ARE1217R,
At Masters Grade Level or Above,2018,SDA05ARE1318R,RDA05ARE1318R,DDA05ARE1318R,DDB05ARE1318R,"DDH05ARE1318R
:unselected:","DDW05ARE1318R
:unselected:","DDI05ARE1318R
:unselected:",DD305ARE1318R,"DD405ARE1318R
:unselected:",DD205ARE1318R,DDS05ARE1318R,DDE05ARE1318R,DDL05ARE1318R,
,2017,SDA05ARE1317R,RDA05ARE1317R,DDA05ARE1317R,DDB05ARE1317R,"DDH05ARE1317R
:unselected:","DDW05ARE1317R
:unselected:","DDI05ARE1317R
:unselected:",DD305ARE1317R,DD405ARE1317R,DD205ARE1317R,DDS05ARE1317R,DDE05ARE1317R,DDL05ARE1317R,
Grade 5 Mathematics^^,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA05AMA1S18R,RDA05AMA1S18R,DDA05AMA1S18R,DDB05AMA1S18R,"DDH05AMA1S18R
:unselected:","DDW05AMA1S18R
:unselected:","DDI05AMA1S18R
:unselected:",DD305AMA1S18R,DD405AMA1S18R,DD205AMA1S18R,"DDS05AMA1S18R
:unselected:",DDE05AMA1S18R,DDL05AMA1S18R,
,2017,SDA05AMA1S17R,RDA05AMA1S17R,DDA05AMA1S17R,DDB05AMA1S17R,"DDH05AMA1S17R
:unselected:","DDW05AMA1S17R
:unselected:","DDI05AMA1S17R
:unselected:",DD305AMA1S17R,"DD405AMA1S17R
:unselected:",DD205AMA1S17R,DDS05AMA1S17R,DDE05AMA1S17R,DDL05AMA1S17R,
At Meets Grade Level or Above,2018,SDA05AMA1218R,RDA05AMA1218R,DDA05AMA1218R,DDB05AMA1218R,"DDH05AMA1218R
:unselected:","DDW05AMA1218R
:unselected:","DDI05AMA1218R
:unselected:",DD305AMA1218R,"DD405AMA1218R
:unselected:","DD205AMA1218R
:unselected:",DDS05AMA1218R,DDE05AMA1218R,DDL05AMA1218R,
,2017,SDA05AMA1217R,RDA05AMA1217R,DDA05AMA1217R,DDB05AMA1217R,"DDH05AMA1217R
:unselected:","DDW05AMA1217R
:unselected:","DDI05AMA1217R
:unselected:",DD305AMA1217R,"DD405AMA1217R
:unselected:","DD205AMA1217R
:unselected:",DDS05AMA1217R,DDE05AMA1217R,DDL05AMA1217R,
At Masters Grade Level or Above,2018,SDA05AMA1318R,RDA05AMA1318R,DDA05AMA1318R,DDB05AMA1318R,"DDH05AMA1318R
:unselected:","DDW05AMA1318R
:unselected:","DDI05AMA1318R
:unselected:",DD305AMA1318R,"DD405AMA1318R
:unselected:","DD205AMA1318R
:unselected:",DDS05AMA1318R,DDE05AMA1318R,DDL05AMA1318R,
,2017,SDA05AMA1317R,RDA05AMA1317R,DDA05AMA1317R,DDB05AMA1317R,"DDH05AMA1317R
:unselected:","DDW05AMA1317R
:unselected:","DDI05AMA1317R
:unselected:",DD305AMA1317R,"DD405AMA1317R
:unselected:","DD205AMA1317R
:unselected:",DDS05AMA1317R,DDE05AMA1317R,DDL05AMA1317R,
Grade 5 Science,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA05ASC1S18R,RDA05ASC1S18R,DDA05ASC1S18R,DDB05ASC1S18R,"DDH05ASC1S18R
:unselected:","DDW05ASC1S18R
:unselected:","DDI05ASC1S18R
:unselected:","DD305ASC1S18R
:unselected:","DD405ASC1S18R
:unselected:",DD205ASC1S18R,DDS05ASC1S18R,DDE05ASC1S18R,DDL05ASC1S18R,
,2017,SDA05ASC1S17R,RDA05ASC1S17R,DDA05ASC1S17R,DDB05ASC1S17R,"DDH05ASC1S17R
:unselected:","DDW05ASC1S17R
:unselected:","DDI05ASC1S17R
:unselected:","DD305ASC1S17R
:unselected:","DD405ASC1S17R
:unselected:","DD205ASC1S17R
:unselected:",DDS05ASC1S17R,DDE05ASC1S17R,DDL05ASC1S17R,
At Meets Grade Level or Above,2018,SDA05ASC1218R,RDA05ASC1218R,DDA05ASC1218R,"DDB05ASC1218R
:unselected:","DDH05ASC1218R
:unselected:","DDW05ASC1218R
:unselected:","DDI05ASC1218R
:unselected:","DD305ASC1218R
:unselected:","DD405ASC1218R
:unselected:","DD205ASC1218R
:unselected:",DDS05ASC1218R,DDE05ASC1218R,DDL05ASC1218R,
,2017,SDA05ASC1217R,RDA05ASC1217R,DDA05ASC1217R,"DDB05ASC1217R
:unselected:","DDH05ASC1217R
:unselected:","DDW05ASC1217R
:unselected:","DDI05ASC1217R
:unselected:","DD305ASC1217R
:unselected:","DD405ASC1217R
:unselected:","DD205ASC1217R
:unselected:",DDS05ASC1217R,DDE05ASC1217R,DDL05ASC1217R,
At Masters Grade Level or Above,2018,SDA05ASC1318R,RDA05ASC1318R,DDA05ASC1318R,"DDB05ASC1318R
:unselected:","DDH05ASC1318R
:unselected:","DDW05ASC1318R
:unselected:","DDI05ASC1318R
:unselected:","DD305ASC1318R
:unselected:","DD405ASC1318R
:unselected:","DD205ASC1318R
:unselected:",DDS05ASC1318R,DDE05ASC1318R,DDL05ASC1318R,
,2017,SDA05ASC1317R,RDA05ASC1317R,DDA05ASC1317R,"DDB05ASC1317R
:unselected:","DDH05ASC1317R
:unselected:","DDW05ASC1317R
:unselected:","DDI05ASC1317R
:unselected:","DD305ASC1317R
:unselected:","DD405ASC1317R
:unselected:","DD205ASC1317R
:unselected:","DDS05ASC1317R
:unselected:",DDE05ASC1317R,DDL05ASC1317R,
Grade 6 Reading,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA06ARE1S18R,RDA06ARE1S18R,DDA06ARE1S18R,DDB06ARE1S18R,"DDH06ARE1S18R
:unselected:","DDW06ARE1S18R
:unselected:","DDI06ARE1S18R
:unselected:",DD306ARE1S18R,"DD406ARE1S18R
:unselected:","DD206ARE1S18R
:unselected:",DDS06ARE1S18R,DDE06ARE1S18R,DDL06ARE1S18R,
,2017,SDA06ARE1S17R,RDA06ARE1S17R,DDA06ARE1S17R,"DDB06ARE1S17R
:unselected:","DDH06ARE1S17R
:unselected:","DDW06ARE1S17R
:unselected:","DDI06ARE1S17R
:unselected:",DD306ARE1S17R,"DD406ARE1S17R
:unselected:","DD206ARE1S17R
:unselected:",DDS06ARE1S17R,DDE06ARE1S17R,DDL06ARE1S17R,
At Meets Grade Level or Above,2018,SDA06ARE1218R,RDA06ARE1218R,DDA06ARE1218R,"DDB06ARE1218R
:unselected:","DDH06ARE1218R
:unselected:","DDW06ARE1218R
:unselected:","DDI06ARE1218R
:unselected:","DD306ARE1218R
:unselected:","DD406ARE1218R
:unselected:","DD206ARE1218R
:unselected:",DDS06ARE1218R,DDE06ARE1218R,DDL06ARE1218R,
,2017,SDA06ARE1217R,RDA06ARE1217R,DDA06ARE1217R,"DDB06ARE1217R
:unselected:","DDH06ARE1217R
:unselected:","DDW06ARE1217R
:unselected:","DDI06ARE1217R
:unselected:","DD306ARE1217R
:unselected:","DD406ARE1217R
:unselected:","DD206ARE1217R
:unselected:","DDS06ARE1217R
:unselected:",DDE06ARE1217R,DDL06ARE1217R,
At Masters Grade Level or Above,2018,SDA06ARE1318R,RDA06ARE1318R,DDA06ARE1318R,"DDB06ARE1318R
:unselected:","DDH06ARE1318R
:unselected:","DDW06ARE1318R
:unselected:","DDI06ARE1318R
:unselected:","DD306ARE1318R
:unselected:","DD406ARE1318R
:unselected:","DD206ARE1318R
:unselected:","DDS06ARE1318R
:unselected:",DDE06ARE1318R,DDL06ARE1318R,
,2017,SDA06ARE1317R,RDA06ARE1317R,DDA06ARE1317R,"DDB06ARE1317R
:unselected:","DDH06ARE1317R
:unselected:","DDW06ARE1317R
:unselected:","DDI06ARE1317R
:unselected:","DD306ARE1317R
:unselected:","DD406ARE1317R
:unselected:","DD206ARE1317R
:unselected:","DDS06ARE1317R
:unselected:",DDE06ARE1317R,DDL06ARE1317R,
,,,,,,,,,,,,,,,
,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL,
Grade 6 Mathematics,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA06AMA1S18R,RDA06AMA1S18R,DDA06AMA1S18R,DDB06AMA1S18R,"DDH06AMA1S18R
:unselected:","DDW06AMA1S18R
:unselected:","DDI06AMA1S18R
:unselected:","DD306AMA1S18R
:unselected:","DD406AMA1S18R
:unselected:","DD206AMA1S18R
:unselected:","DDS06AMA1S18R
:unselected:",DDE06AMA1S18R,DDL06AMA1S18R,
,2017,SDA06AMA1S17R,RDA06AMA1S17R,DDA06AMA1S17R,DDB06AMA1S17R,"DDH06AMA1S17R
:unselected:","DDW06AMA1S17R
:unselected:","DDI06AMA1S17R
:unselected:","DD306AMA1S17R
:unselected:","DD406AMA1S17R
:unselected:","DD206AMA1S17R
:unselected:","DDS06AMA1S17R
:unselected:",DDE06AMA1S17R,DDL06AMA1S17R,
At Meets Grade Level or Above,2018,SDA06AMA1218R,RDA06AMA1218R,DDA06AMA1218R,DDB06AMA1218R,"DDH06AMA1218R
:unselected:","DDW06AMA1218R
:unselected:","DDI06AMA1218R
:unselected:","DD306AMA1218R
:unselected:","DD406AMA1218R
:unselected:","DD206AMA1218R
:unselected:",DDS06AMA1218R,DDE06AMA1218R,DDL06AMA1218R,
,2017,SDA06AMA1217R,RDA06AMA1217R,DDA06AMA1217R,DDB06AMA1217R,DDH06AMA1217R,"DDW06AMA1217R
:unselected:","DDI06AMA1217R
:unselected:","DD306AMA1217R
:unselected:","DD406AMA1217R
:unselected:","DD206AMA1217R
:unselected:",DDS06AMA1217R,DDE06AMA1217R,DDL06AMA1217R,
At Masters Grade Level or Above,2018 2017,SDA06AMA1318R SDA06AMA1317R,RDA06AMA1318R RDA06AMA1317R,"DDA06AMA1318R DDA06AMA1317R
:unselected:","DDB06AMA1318R DDB06AMA1317R
:unselected:
:unselected:","DDH06AMA1318R DDH06AMA1317R
:unselected:
:unselected:","DDW06AMA1318R DDW06AMA1317R
:unselected:
:unselected:","DDI06AMA1318R DDI06AMA1317R
:unselected:
:unselected:","DD306AMA1318R DD306AMA1317R
:unselected:
:unselected:","DD406AMA1318R DD406AMA1317R
:unselected:
:unselected:","DD206AMA1318R DD206AMA1317R
:unselected:
:unselected:","DDS06AMA1318R DDS06AMA1317R
:unselected:","DDE06AMA1318R DDE06AMA1317R
:unselected:",DDL06AMA1318R DDL06AMA1317R,
Grade 7 Reading,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA07ARE1S18R,RDA07ARE1S18R,DDA07ARE1S18R,DDB07ARE1S18R,"DDH07ARE1S18R
:unselected:","DDW07ARE1S18R
:unselected:","DDI07ARE1S18R
:unselected:","DD307ARE1S18R
:unselected:","DD407ARE1S18R
:unselected:","DD207ARE1S18R
:unselected:","DDS07ARE1S18R
:unselected:",DDE07ARE1S18R,DDL07ARE1S18R,
,2017,SDA07ARE1S17R,RDA07ARE1S17R,DDA07ARE1S17R,DDB07ARE1S17R,"DDH07ARE1S17R
:unselected:","DDW07ARE1S17R
:unselected:","DDI07ARE1S17R
:unselected:","DD307ARE1S17R
:unselected:","DD407ARE1S17R
:unselected:","DD207ARE1S17R
:unselected:","DDS07ARE1S17R
:unselected:",DDE07ARE1S17R,DDL07ARE1S17R,
At Meets Grade Level or Above,2018,SDA07ARE1218R,RDA07ARE1218R,DDA07ARE1218R,"DDB07ARE1218R
:unselected:","DDH07ARE1218R
:unselected:","DDW07ARE1218R
:unselected:","DDI07ARE1218R
:unselected:","DD307ARE1218R
:unselected:","DD407ARE1218R
:unselected:",DD207ARE1218R,"DDS07ARE1218R
:unselected:",DDE07ARE1218R,DDL07ARE1218R,
,2017,SDA07ARE1217R,RDA07ARE1217R,"DDA07ARE1217R
:unselected:","DDB07ARE1217R
:unselected:","DDH07ARE1217R
:unselected:","DDW07ARE1217R
:unselected:","DDI07ARE1217R
:unselected:","DD307ARE1217R
:unselected:","DD407ARE1217R
:unselected:","DD207ARE1217R
:unselected:","DDS07ARE1217R
:unselected:",DDE07ARE1217R,DDL07ARE1217R,
At Masters Grade Level or Above,2018,SDA07ARE1318R,RDA07ARE1318R,"DDA07ARE1318R
:unselected:","DDB07ARE1318R
:unselected:","DDH07ARE1318R
:unselected:","DDW07ARE1318R
:unselected:","DDI07ARE1318R
:unselected:","DD307ARE1318R
:unselected:","DD407ARE1318R
:unselected:",DD207ARE1318R,"DDS07ARE1318R
:unselected:",DDE07ARE1318R,DDL07ARE1318R,
,2017,SDA07ARE1317R,RDA07ARE1317R,DDA07ARE1317R,"DDB07ARE1317R
:unselected:","DDH07ARE1317R
:unselected:","DDW07ARE1317R
:unselected:","DDI07ARE1317R
:unselected:","DD307ARE1317R
:unselected:","DD407ARE1317R
:unselected:","DD207ARE1317R
:unselected:",DDS07ARE1317R,DDE07ARE1317R,DDL07ARE1317R,
Grade 7 Mathematics,,,,,,,,,,,,,,,
