,School Year,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),
At Approaches Grade Level or Above,2022,SDA06AMA1S22R,RDA06AMA1S22R,DDA06AMA1S22R,DDB06AMA1S22R,DDH06AMA1S22R,DDW06AMA1S22R,DDI06AMA1S22R,DD306AMA1S22R,DD406AMA1S22R,DD206AMA1S22R,DDS06AMA1S22R,"DNS06AMA1S22R
:unselected:","DNC06AMA1S22R
:unselected:","DNM06AMA1S22R
:unselected:","DDE06AMA1S22R
:unselected:","DD006AMA1S22R
:unselected:",
,2021,SDA06AMA1S21R,RDA06AMA1S21R,DDA06AMA1S21R,DDB06AMA1S21R,DDH06AMA1S21R,DDW06AMA1S21R,DDI06AMA1S21R,DD306AMA1S21R,DD406AMA1S21R,DD206AMA1S21R,DDS06AMA1S21R,"DNS06AMA1S21R
:unselected:","DNC06AMA1S21R
:unselected:","DNM06AMA1S21R
:unselected:","DDE06AMA1S21R
:unselected:","DD006AMA1S21R
:unselected:",
At Meets Grade Level or Above,2022,SDA06AMA1222R,RDA06AMA1222R,DDA06AMA1222R,DDB06AMA1222R,DDH06AMA1222R,"DDW06AMA1222R
:unselected:",DDI06AMA1222R,DD306AMA1222R,DD406AMA1222R,DD206AMA1222R,"DDS06AMA1222R
:unselected:","DNS06AMA1222R
:unselected:","DNC06AMA1222R
:unselected:","DNM06AMA1222R
:unselected:","DDE06AMA1222R
:unselected:","DD006AMA1222R
:unselected:",
,2021,SDA06AMA1221R,RDA06AMA1221R,DDA06AMA1221R,DDB06AMA1221R,DDH06AMA1221R,"DDW06AMA1221R
:unselected:",DDI06AMA1221R,DD306AMA1221R,DD406AMA1221R,DD206AMA1221R,"DDS06AMA1221R
:unselected:","DNS06AMA1221R
:unselected:","DNC06AMA1221R
:unselected:","DNM06AMA1221R
:unselected:","DDE06AMA1221R
:unselected:","DD006AMA1221R
:unselected:",
At Masters Grade Level,2022,SDA06AMA1322R,RDA06AMA1322R,DDA06AMA1322R,DDB06AMA1322R,DDH06AMA1322R,"DDW06AMA1322R
:unselected:",DDI06AMA1322R,DD306AMA1322R,DD406AMA1322R,DD206AMA1322R,"DDS06AMA1322R
:unselected:","DNS06AMA1322R
:unselected:","DNC06AMA1322R
:unselected:","DNM06AMA1322R
:unselected:","DDE06AMA1322R
:unselected:","DD006AMA1322R
:unselected:",
,2021,SDA06AMA1321R,RDA06AMA1321R,DDA06AMA1321R,DDB06AMA1321R,DDH06AMA1321R,"DDW06AMA1321R
:unselected:",DDI06AMA1321R,DD306AMA1321R,DD406AMA1321R,DD206AMA1321R,"DDS06AMA1321R
:unselected:","DNS06AMA1321R
:unselected:","DNC06AMA1321R
:unselected:","DNM06AMA1321R
:unselected:","DDE06AMA1321R
:unselected:","DD006AMA1321R
:unselected:",
,,,,,,,,,,,,,,,,,,
,School Year,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More,Special Ed,Special Ed,Continu- ously,Non-Continu- ously,Econ,EB/EL (Current &,
,,,,,,,,,,,Races,(Current),(Former),Enrolled,Enrolled,Disadv,Monitored),
Grade 7 Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA07ARE1S22R,RDA07ARE1S22R,DDA07ARE1S22R,DDB07ARE1S22R,DDH07ARE1S22R,DDW07ARE1S22R,DDI07ARE1S22R,DD307ARE1S22R,DD407ARE1S22R,DD207ARE1S22R,"DDS07ARE1S22R
:unselected:","DNS07ARE1S22R
:unselected:","DNC07ARE1S22R
:unselected:",DNM07ARE1S22R,DDE07ARE1S22R,DD007ARE1S22R,
,2021,SDA07ARE1S21R,RDA07ARE1S21R,DDA07ARE1S21R,DDB07ARE1S21R,DDH07ARE1S21R,DDW07ARE1S21R,DDI07ARE1S21R,DD307ARE1S21R,DD407ARE1S21R,DD207ARE1S21R,"DDS07ARE1S21R
:unselected:","DNS07ARE1S21R
:unselected:","DNC07ARE1S21R
:unselected:",DNM07ARE1S21R,DDE07ARE1S21R,DD007ARE1S21R,
At Meets Grade Level or Above,2022,SDA07ARE1222R,RDA07ARE1222R,DDA07ARE1222R,DDB07ARE1222R,DDH07ARE1222R,DDW07ARE1222R,DDI07ARE1222R,DD307ARE1222R,DD407ARE1222R,DD207ARE1222R,DDS07ARE1222R,DNS07ARE1222R,DNC07ARE1222R,DNM07ARE1222R,DDE07ARE1222R,DD007ARE1222R,
,2021,SDA07ARE1221R,RDA07ARE1221R,DDA07ARE1221R,DDB07ARE1221R,DDH07ARE1221R,DDW07ARE1221R,DDI07ARE1221R,DD307ARE1221R,DD407ARE1221R,DD207ARE1221R,DDS07ARE1221R,DNS07ARE1221R,DNC07ARE1221R,DNM07ARE1221R,DDE07ARE1221R,DD007ARE1221R,
