Grade 8 Mathematics,,,,,,,,,,,,,,,,,,
Students Meeting Approaches Grade Level on First STAAR Administration 2019 SA08AMAP519R,,,DA08AMAP519R,"CA08AMAP519R
:unselected:",CB08AMAP519R,CH08AMAP519R,CW08AMAP519R,CI08AMAP519R,C308AMAP519R,C408AMAP519R,C208AMAP519R,CS08AMAP519R,CE08AMAP519R,CL08AMAP519R,,,,
Students Requiring Accelerated Instruction,2019,SA08AMAF519R,"DA08AMAF519R
:unselected:","CA08AMAF519R
:unselected:",CB08AMAF519R,CH08AMAF519R,CW08AMAF519R,CI08AMAF519R,C308AMAF519R,C408AMAF519R,C208AMAF519R,CS08AMAF519R,CE08AMAF519R,CL08AMAF519R,,,,
STAAR Cumulative Met Standard,2019,SA08AMAC519R,"DA08AMAC519R
:unselected:","CA08AMAC519R
:unselected:",CB08AMAC519R,CH08AMAC519R,CW08AMAC519R,CI08AMAC519R,C308AMAC519R,C408AMAC519R,C208AMAC519R,CS08AMAC519R,CE08AMAC519R,CL08AMAC519R,,,,
STAAR Non-Proficient Students Promoted,"by Grade
2018","Placement Committee
SA8GPCM18R","DA8GPCM18R
:unselected:","CA8GPCM18R
:unselected:",CB8GPCM18R,CH8GPCM18R,CW8GPCM18R,CI8GPCM18R,C38GPCM18R,C48GPCM18R,C28GPCM18R,CS8GPCM18R,CE8GPCM18R,CL8GPCM18R,,,,
"STAAR Met Standard (Non-Proficient in
Promoted to Grade 9 Retained in Grade 8","Previous
2019 2019","Year)
SA8GPPM19R SA8GPRM19R","DA8GPPM19R DA8GPRM19R
:unselected: :unselected:",CA8GPPM19R CA8GPRM19R,CB8GPPM19R CB8GPRM19R,CH8GPPM19R CH8GPRM19R,CW8GPPM19R CW8GPRM19R,CI8GPPM19R CI8GPRM19R,C38GPPM19R C38GPRM19R,C48GPPM19R C48GPRM19R,C28GPPM19R C28GPRM19R,CS8GPPM19R CS8GPRM19R,CE8GPPM19R CE8GPRM19R,CL8GPPM19R CL8GPRM19R,,,,
,,,,,,,,,,,,,,,,,,
,,State,District,Campus,Bilingual Education,BE-Trans Early Exit,BE-Trans Late Exit,BE-Dual Two-Way,BE-Dual One-Way,ESL,ESL Content,ESL Pull-Out,LEP No Services,LEP With Services,Total EL,,,
STAAR Performance Rate by Subject and Performance Level,,,,,,,,,,,,,,,,,,
All Grades All Subjects,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 2018,SDA00A001S19R SDA00A001S18R,DDA00A001S19R DDA00A001S18R,CDA00A001S19R CDA00A001S18R,CDU00A001S19R CDU00A001S18R,CDJ00A001S19R CDJ00A001S18R,CDK00A001S19R CDK00A001S18R,CDQ00A001S19R CDQ00A001S18R,CDT00A001S19R CDT00A001S18R,CDC00A001S19R CDC00A001S18R,CDX00A001S19R CDX00A001S18R,CDY00A001S19R CDY00A001S18R,CDZ00A001S19R CDZ00A001S18R,CD500A001S19R CD500A001S18R,CDL00A001S19R CDL00A001S18R,,,
At Meets Grade Level or Above,2019 2018,SDA00A001219R SDA00A001218R,DDA00A001219R DDA00A001218R,CDA00A001219R CDA00A001218R,CDU00A001219R CDU00A001218R,CDJ00A001219R CDJ00A001218R,CDK00A001219R CDK00A001218R,CDQ00A001219R CDQ00A001218R,CDT00A001219R CDT00A001218R,CDC00A001219R CDC00A001218R,CDX00A001219R CDX00A001218R,CDY00A001219R CDY00A001218R,CDZ00A001219R CDZ00A001218R,CD500A001219R CD500A001218R,CDL00A001219R CDL00A001218R,,,
At Masters Grade Level,2019 2018,SDA00A001319R SDA00A001318R,DDA00A001319R DDA00A001318R,CDA00A001319R CDA00A001318R,CDU00A001319R CDU00A001318R,CDJ00A001319R CDJ00A001318R,CDK00A001319R CDK00A001318R,CDQ00A001319R CDQ00A001318R,CDT00A001319R CDT00A001318R,CDC00A001319R CDC00A001318R,CDX00A001319R CDX00A001318R,CDY00A001319R CDY00A001318R,CDZ00A001319R CDZ00A001318R,CD500A001319R CD500A001318R,CDL00A001319R CDL00A001318R,,,
All Grades ELA/Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 2018,SDA00AR01S19R SDA00AR01S18R,DDA00AR01S19R DDA00AR01S18R,CDA00AR01S19R CDA00AR01S18R,CDU00AR01S19R CDU00AR01S18R,CDJ00AR01S19R CDJ00AR01S18R,CDK00AR01S19R CDK00AR01S18R,CDQ00AR01S19R CDQ00AR01S18R,CDT00AR01S19R CDT00AR01S18R,CDC00AR01S19R CDC00AR01S18R,CDX00AR01S19R CDX00AR01S18R,CDY00AR01S19R CDY00AR01S18R,CDZ00AR01S19R CDZ00AR01S18R,CD500AR01S19R CD500AR01S18R,CDL00AR01S19R CDL00AR01S18R,,,
At Meets Grade Level or Above,2019 2019,SDA00AR01219R SDA00AR01319R,DDA00AR01219R DDA00AR01319R,CDA00AR01219R CDA00AR01319R,CDU00AR01219R CDU00AR01319R,CDJ00AR01219R CDJ00AR01319R,CDK00AR01219R CDK00AR01319R,CDQ00AR01219R CDQ00AR01319R,CDT00AR01219R CDT00AR01319R,CDC00AR01219R CDC00AR01319R,CDX00AR01219R CDX00AR01319R,CDY00AR01219R CDY00AR01319R,CDZ00AR01219R CDZ00AR01319R,CD500AR01219R CD500AR01319R,CDL00AR01219R CDL00AR01319R,,,
At Masters Grade Level,2018 2018,SDA00AR01318R SDA00AR01218R,DDA00AR01318R DDA00AR01218R,CDA00AR01318R CDA00AR01218R,CDU00AR01318R CDU00AR01218R,CDJ00AR01318R CDJ00AR01218R,CDK00AR01318R CDK00AR01218R,CDQ00AR01318R CDQ00AR01218R,CDT00AR01318R CDT00AR01218R,CDC00AR01318R CDC00AR01218R,CDX00AR01318R CDX00AR01218R,CDY00AR01318R CDY00AR01218R,CDZ00AR01318R CDZ00AR01218R,CD500AR01318R CD500AR01218R,CDL00AR01318R CDL00AR01218R,,,
All Grades Mathematics,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 2018,SDA00AM01S19R SDA00AM01S18R,DDA00AM01S19R DDA00AM01S18R,CDA00AM01S19R CDA00AM01S18R,CDU00AM01S19R CDU00AM01S18R,CDJ00AM01S19R CDJ00AM01S18R,CDK00AM01S19R CDK00AM01S18R,CDQ00AM01S19R CDQ00AM01S18R,CDT00AM01S19R CDT00AM01S18R,CDC00AM01S19R CDC00AM01S18R,CDX00AM01S19R CDX00AM01S18R,CDY00AM01S19R CDY00AM01S18R,CDZ00AM01S19R CDZ00AM01S18R,CD500AM01S19R CD500AM01S18R,CDL00AM01S19R CDL00AM01S18R,,,
At Meets Grade Level or Above,2019 2018,SDA00AM01219R SDA00AM01218R,DDA00AM01219R DDA00AM01218R,CDA00AM01219R CDA00AM01218R,CDU00AM01219R CDU00AM01218R,CDJ00AM01219R CDJ00AM01218R,CDK00AM01219R CDK00AM01218R,CDQ00AM01219R CDQ00AM01218R,CDT00AM01219R CDT00AM01218R,CDC00AM01219R CDC00AM01218R,CDX00AM01219R CDX00AM01218R,CDY00AM01219R CDY00AM01218R,CDZ00AM01219R CDZ00AM01218R,CD500AM01219R CD500AM01218R,CDL00AM01219R CDL00AM01218R,,,
At Masters Grade Level,2019 2018,SDA00AM01319R SDA00AM01318R,DDA00AM01319R DDA00AM01318R,CDA00AM01319R CDA00AM01318R,CDU00AM01319R CDU00AM01318R,CDJ00AM01319R CDJ00AM01318R,CDK00AM01319R CDK00AM01318R,CDQ00AM01319R CDQ00AM01318R,CDT00AM01319R CDT00AM01318R,CDC00AM01319R CDC00AM01318R,CDX00AM01319R CDX00AM01318R,CDY00AM01319R CDY00AM01318R,CDZ00AM01319R CDZ00AM01318R,CD500AM01319R CD500AM01318R,CDL00AM01319R CDL00AM01318R,,,
All Grades Writing,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 2018,SDA00AW01S19R SDA00AW01S18R,DDA00AW01S19R DDA00AW01S18R,CDA00AW01S19R CDA00AW01S18R,CDU00AW01S19R CDU00AW01S18R,CDJ00AW01S19R CDJ00AW01S18R,CDK00AW01S19R CDK00AW01S18R,CDQ00AW01S19R CDQ00AW01S18R,CDT00AW01S19R CDT00AW01S18R,CDC00AW01S19R CDC00AW01S18R,CDX00AW01S19R CDX00AW01S18R,CDY00AW01S19R CDY00AW01S18R,CDZ00AW01S19R CDZ00AW01S18R,CD500AW01S19R CD500AW01S18R,CDL00AW01S19R CDL00AW01S18R,,,
At Meets Grade Level or Above,2019 2018,SDA00AW01219R SDA00AW01218R,DDA00AW01219R DDA00AW01218R,CDA00AW01219R CDA00AW01218R,CDU00AW01219R CDU00AW01218R,CDJ00AW01219R CDJ00AW01218R,CDK00AW01219R CDK00AW01218R,CDQ00AW01219R CDQ00AW01218R,CDT00AW01219R CDT00AW01218R,CDC00AW01219R CDC00AW01218R,CDX00AW01219R CDX00AW01218R,CDY00AW01219R CDY00AW01218R,CDZ00AW01219R CDZ00AW01218R,CD500AW01219R CD500AW01218R,CDL00AW01219R CDL00AW01218R,,,
At Masters Grade Level,2019 2018,SDA00AW01319R SDA00AW01318R,DDA00AW01319R DDA00AW01318R,CDA00AW01319R CDA00AW01318R,CDU00AW01319R CDU00AW01318R,CDJ00AW01319R CDJ00AW01318R,CDK00AW01319R CDK00AW01318R,CDQ00AW01319R CDQ00AW01318R,CDT00AW01319R CDT00AW01318R,CDC00AW01319R CDC00AW01318R,CDX00AW01319R CDX00AW01318R,CDY00AW01319R CDY00AW01318R,CDZ00AW01319R CDZ00AW01318R,CD500AW01319R CD500AW01318R,CDL00AW01319R CDL00AW01318R,,,
All Grades Science,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 2018,SDA00AC01S19R SDA00AC01S18R,DDA00AC01S19R DDA00AC01S18R,CDA00AC01S19R CDA00AC01S18R,CDU00AC01S19R CDU00AC01S18R,CDJ00AC01S19R CDJ00AC01S18R,CDK00AC01S19R CDK00AC01S18R,CDQ00AC01S19R CDQ00AC01S18R,CDT00AC01S19R CDT00AC01S18R,CDC00AC01S19R CDC00AC01S18R,CDX00AC01S19R CDX00AC01S18R,CDY00AC01S19R CDY00AC01S18R,CDZ00AC01S19R CDZ00AC01S18R,CD500AC01S19R CD500AC01S18R,CDL00AC01S19R CDL00AC01S18R,,,
At Meets Grade Level or Above,2019,SDA00AC01219R,DDA00AC01219R,CDA00AC01219R,CDU00AC01219R,CDJ00AC01219R,CDK00AC01219R,CDQ00AC01219R,CDT00AC01219R,CDC00AC01219R,CDX00AC01219R,CDY00AC01219R,CDZ00AC01219R,CD500AC01219R,CDL00AC01219R,,,
,2018,SDA00AC01218R,DDA00AC01218R,CDA00AC01218R,CDU00AC01218R,CDJ00AC01218R,CDK00AC01218R,CDQ00AC01218R,CDT00AC01218R,CDC00AC01218R,CDX00AC01218R,CDY00AC01218R,CDZ00AC01218R,CD500AC01218R,CDL00AC01218R,,,
At Masters Grade Level,2019 2018,SDA00AC01319R SDA00AC01318R,DDA00AC01319R DDA00AC01318R,CDA00AC01319R CDA00AC01318R,CDU00AC01319R CDU00AC01318R,CDJ00AC01319R CDJ00AC01318R,CDK00AC01319R CDK00AC01318R,CDQ00AC01319R CDQ00AC01318R,CDT00AC01319R CDT00AC01318R,CDC00AC01319R CDC00AC01318R,CDX00AC01319R CDX00AC01318R,CDY00AC01319R CDY00AC01318R,CDZ00AC01319R CDZ00AC01318R,CD500AC01319R CD500AC01318R,CDL00AC01319R CDL00AC01318R,,,
All Grades Social Studies,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019 2018,SDA00AS01S19R SDA00AS01S18R,DDA00AS01S19R DDA00AS01S18R,CDA00AS01S19R CDA00AS01S18R,CDU00AS01S19R CDU00AS01S18R,CDJ00AS01S19R CDJ00AS01S18R,CDK00AS01S19R CDK00AS01S18R,CDQ00AS01S19R CDQ00AS01S18R,CDT00AS01S19R CDT00AS01S18R,CDC00AS01S19R CDC00AS01S18R,CDX00AS01S19R CDX00AS01S18R,CDY00AS01S19R CDY00AS01S18R,CDZ00AS01S19R CDZ00AS01S18R,CD500AS01S19R CD500AS01S18R,CDL00AS01S19R CDL00AS01S18R,,,
At Meets Grade Level or Above,2019,SDA00AS01219R,DDA00AS01219R,CDA00AS01219R,CDU00AS01219R,CDJ00AS01219R,CDK00AS01219R,CDQ00AS01219R,CDT00AS01219R,CDC00AS01219R,CDX00AS01219R,CDY00AS01219R,CDZ00AS01219R,CD500AS01219R,CDL00AS01219R,,,
,2018,SDA00AS01218R,DDA00AS01218R,CDA00AS01218R,CDU00AS01218R,CDJ00AS01218R,CDK00AS01218R,CDQ00AS01218R,CDT00AS01218R,CDC00AS01218R,CDX00AS01218R,CDY00AS01218R,CDZ00AS01218R,CD500AS01218R,CDL00AS01218R,,,
At Masters Grade Level,2019 2018,SDA00AS01319R SDA00AS01318R,DDA00AS01319R DDA00AS01318R,CDA00AS01319R CDA00AS01318R,CDU00AS01319R CDU00AS01318R,CDJ00AS01319R CDJ00AS01318R,CDK00AS01319R CDK00AS01318R,CDQ00AS01319R CDQ00AS01318R,CDT00AS01319R CDT00AS01318R,CDC00AS01319R CDC00AS01318R,CDX00AS01319R CDX00AS01318R,CDY00AS01319R CDY00AS01318R,CDZ00AS01319R CDZ00AS01318R,CD500AS01319R CD500AS01318R,CDL00AS01319R CDL00AS01318R,,,
,,,,,,,,,,,,,,,,,,
,State District,Campus,Bilingual Education,BE-Trans Early Exit,BE-Trans Late Exit,BE-Dual Two-Way,BE-Dual One-Way,ESL,ESL Content,ESL Pull-Out,LEP No Services,LEP With Services,Total EL,,,,,
STAAR Progress Measure Percent at Expected or Accelerated Growth,,,,,,,,,,,,,,,,,,
All Grades All Subjects,,,,,,,,,,,,,,,,,,
At Expected or Accelerated leve 2019,SDA00A002G19R DDA00A002G19R,CDA00A002G19R,CDU00A002G19R,CDJ00A002G19R,CDK00A002G19R,CDQ00A002G19R,CDT00A002G19R,CDC00A002G19R,CDX00A002G19R,CDY00A002G19R,CDZ00A002G19R,CD500A002G19R,CDL00A002G19R,,,,,
2018 At Accelerated level 2019 2018,SDA00A002G18R DDA00A002G18R SDA00A002E19R DDA00A002E19R SDA00A002E18R DDA00A002E18R,CDA00A002G18R CDA00A002E19R CDA00A002E18R,CDU00A002G18R CDU00A002E19R CDU00A002E18R,CDJ00A002G18R CDJ00A002E19R CDJ00A002E18R,CDK00A002G18R CDK00A002E19R CDK00A002E18R,CDQ00A002G18R CDQ00A002E19R CDQ00A002E18R,CDT00A002G18R CDT00A002E19R CDT00A002E18R,CDC00A002G18R CDC00A002E19R CDC00A002E18R,CDX00A002G18R CDX00A002E19R CDX00A002E18R,CDY00A002G18R CDY00A002E19R CDY00A002E18R,CDZ00A002G18R CDZ00A002E19R CDZ00A002E18R,CD500A002G18R CD500A002E19R CD500A002E18R,CDL00A002G18R CDL00A002E19R CDL00A002E18R,,,,,
All Grades ELA/Reading,,,,,,,,,,,,,,,,,,
At Expected or Accelerated leve 2019,SDA00AR02G19R DDA00AR02G19R,CDA00AR02G19R,CDU00AR02G19R,CDJ00AR02G19R,CDK00AR02G19R,CDQ00AR02G19R,CDT00AR02G19R,CDC00AR02G19R,CDX00AR02G19R,CDY00AR02G19R,CDZ00AR02G19R,CD500AR02G19R,CDL00AR02G19R,,,,,
2018,SDA00AR02G18R DDA00AR02G18R,CDA00AR02G18R,CDU00AR02G18R,CDJ00AR02G18R,CDK00AR02G18R,CDQ00AR02G18R,CDT00AR02G18R,CDC00AR02G18R,CDX00AR02G18R,CDY00AR02G18R,CDZ00AR02G18R,CD500AR02G18R,CDL00AR02G18R,,,,,
At Accelerated level 2019 2018 All Grades Mathematics,SDA00AR02E19R DDA00AR02E19R SDA00AR02E18R DDA00AR02E18R,CDA00AR02E19R CDA00AR02E18R,CDU00AR02E19R CDU00AR02E18R,CDJ00AR02E19R CDJ00AR02E18R,CDK00AR02E19R CDK00AR02E18R,CDQ00AR02E19R CDQ00AR02E18R,CDT00AR02E19R CDT00AR02E18R,CDC00AR02E19R CDC00AR02E18R,CDX00AR02E19R CDX00AR02E18R,CDY00AR02E19R CDY00AR02E18R,CDZ00AR02E19R CDZ00AR02E18R,CD500AR02E19R CD500AR02E18R,CDL00AR02E19R CDL00AR02E18R,,,,,
At Expected or Accelerated leve 2019 2018 At Accelerated level 2019 2018,SDA00AM02G19R DDA00AM02G19R SDA00AM02G18R DDA00AM02G18R SDA00AM02E19R DDA00AM02E19R SDA00AM02E18R DDA00AM02E18R,CDA00AM02G19R CDA00AM02G18R CDA00AM02E19R CDA00AM02E18R,CDU00AM02G19R CDU00AM02G18R CDU00AM02E19R CDU00AM02E18R,CDJ00AM02G19R CDJ00AM02G18R CDJ00AM02E19R CDJ00AM02E18R,CDK00AM02G19R CDK00AM02G18R CDK00AM02E19R CDK00AM02E18R,CDQ00AM02G19R CDQ00AM02G18R CDQ00AM02E19R CDQ00AM02E18R,CDT00AM02G19R CDT00AM02G18R CDT00AM02E19R CDT00AM02E18R,CDC00AM02G19R CDC00AM02G18R CDC00AM02E19R CDC00AM02E18R,CDX00AM02G19R CDX00AM02G18R CDX00AM02E19R CDX00AM02E18R,CDY00AM02G19R CDY00AM02G18R CDY00AM02E19R CDY00AM02E18R,CDZ00AM02G19R CDZ00AM02G18R CDZ00AM02E19R CDZ00AM02E18R,CD500AM02G19R CD500AM02G18R CD500AM02E19R CD500AM02E18R,CDL00AM02G19R CDL00AM02G18R CDL00AM02E19R CDL00AM02E18R,,,,,
Progress of Prior Year STAAR Non-Proficient Students (Percent of Non-Proficient Passing STAAR),,,,,,,,,,,,,,,,,,
Reading 2019,SA408FR19R DA408FR19R,CA408FR19R,CU408FR19R,CJ408FR19R,CK408FR19R,CQ408FR19R,CT408FR19R,CC408FR19R,CX408FR19R,CY408FR19R,CZ408FR19R,C5408FR19R,CL408FR19R,,,,,
2018 Mathematics 2019 2018,SA408FR18R DA408FR18R SA408FM19R DA408FM19R SA408FM18R DA408FM18R,CA408FR18R CA408FM19R CA408FM18R,CU408FR18R CU408FM19R CU408FM18R,CJ408FR18R CJ408FM19R CJ408FM18R,CK408FR18R CK408FM19R CK408FM18R,CQ408FR18R CQ408FM19R CQ408FM18R,CT408FR18R CT408FM19R CT408FM18R,CC408FR18R CC408FM19R CC408FM18R,CX408FR18R CX408FM19R CX408FM18R,CY408FR18R CY408FM19R CY408FM18R,CZ408FR18R CZ408FM19R CZ408FM18R,C5408FR18R C5408FM19R C5408FM18R,CL408FR18R CL408FM19R CL408FM18R,,,,,
,,,,,,,,,,,,,,,,,,
,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL (Current),,,,,
2019 STAAR Participation (All Grades),,,,,,,,,,,,,,,,,,
All Tests,,,,,,,,,,,,,,,,,,
Assessment Participant Included in Accountability Not Included in Accountability,"SDA00A00T019R
SDAYAA00T019R","DDA00A00T019R
DDAYAA00T019R","CDA00A00T019R
CDAYAA00T019R","CDB00A00T019R
CDBYAA00T019R","CDHYAA00T019R
CDH00A00T019R","CDWYAA00T019R
CDW00A00T019R","CDIYAA00T019R
CDI00A00T019R","CD300A00T019R
CD3YAA00T019R","CD400A00T019R
CD4YAA00T019R","CD200A00T019R
CD2YAA00T019R","CDS00A00T019R
CDSYAA00T019R","CDE00A00T019R
CDEYAA00T019R","CDL00A00T019R
CDLYAA00T019R",,,,,
Mobile Other Exclusions,"SDAYMA00T019R
SDAYXA00T019R","DDAYMA00T019R
DDAYXA00T019R","CDAYMA00T019R
CDAYXA00T019R","CDBYMA00T019R
CDBYXA00T019R","CDHYMA00T019R
CDHYXA00T019R","CDWYMA00T019R
CDWYXA00T019R","CDIYMA00T019R
CDIYXA00T019R","CD3YMA00T019R
CD3YXA00T019R","CD4YMA00T019R
CD4YXA00T019R","CD2YMA00T019R
CD2YXA00T019R","CDSYMA00T019R
CDSYXA00T019R","CDEYMA00T019R
CDEYXA00T019R","CDLYMA00T019R
CDLYXA00T019R",,,,,
Not Tested Absent Other,"SDANTA00T019R
SDANAA00T019R
SDANOA00T019R","DDANTA00T019R
DDANAA00T019R
DDANOA00T019R","CDANTA00T019R
CDANAA00T019R
CDANOA00T019R","CDBNTA00T019R
CDBNAA00T019R
CDBNOA00T019R","CDHNTA00T019R
CDHNAA00T019R
CDHNOA00T019R","CDWNTA00T019R
CDWNAA00T019R","CDINTA00T019R
CDINAA00T019R
CDWNOA00T019RCDINOA00T019R","CD3NTA00T019R
CD3NAA00T019R
CD3NOA00T019R","CD4NTA00T019R
CD4NAA00T019R
CD4NOA00T019R","CD2NTA00T019R
CD2NAA00T019R
CD2NOA00T019R","CDSNTA00T019R
CDSNAA00T019R
CDSNOA00T019R","CDENTA00T019R
CDENAA00T019R
CDENOA00T019R","CDLNTA00T019R
CDLNAA00T019R
CDLNOA00T019R",,,,,
2018 STAAR Participation (All Grades),,,,,,,,,,,,,,,,,,
All Tests,,,,,,,,,,,,,,,,,,
Assessment Participant Included in Accountability Not Included in Accountability,"SDA00A00T018R
SDAYAA00T018R","DDA00A00T018R
DDAYAA00T018R","CDA00A00T018R
CDAYAA00T018R","CDB00A00T018R
CDBYAA00T018R","CDHYAA00T018R
CDH00A00T018R","CDWYAA00T018R
CDW00A00T018R","CDIYAA00T018R
CDI00A00T018R","CD300A00T018R
CD3YAA00T018R","CD400A00T018R
CD4YAA00T018R","CD200A00T018R
CD2YAA00T018R","CDS00A00T018R
CDSYAA00T018R","CDE00A00T018R
CDEYAA00T018R","CDL00A00T018R
CDLYAA00T018R",,,,,
Mobile Other Exclusions,"SDAYMA00T018R
SDAYXA00T018R","DDAYMA00T018R
DDAYXA00T018R","CDAYMA00T018R
CDAYXA00T018R","CDBYMA00T018R
CDBYXA00T018R","CDHYMA00T018R
CDHYXA00T018R","CDWYMA00T018R
CDWYXA00T018R","CDIYMA00T018R
CDIYXA00T018R","CD3YMA00T018R
CD3YXA00T018R","CD4YMA00T018R
CD4YXA00T018R","CD2YMA00T018R
CD2YXA00T018R","CDSYMA00T018R
CDSYXA00T018R","CDEYMA00T018R
CDEYXA00T018R","CDLYMA00T018R
CDLYXA00T018R",,,,,
Not Tested Absent,"SDANTA00T018R
SDANAA00T018R","DDANTA00T018R
DDANAA00T018R","CDANTA00T018R
CDANAA00T018R","CDBNTA00T018R
CDBNAA00T018R","CDHNTA00T018R
CDHNAA00T018R","CDWNTA00T018R
CDWNAA00T018R","CDINTA00T018R
CDINAA00T018R","CD3NTA00T018R
CD3NAA00T018R","CD4NTA00T018R
CD4NAA00T018R","CD2NTA00T018R
CD2NAA00T018R","CDSNTA00T018R
CDSNAA00T018R","CDENTA00T018R
CDENAA00T018R","CDLNTA00T018R
CDLNAA00T018R",,,,,
Other,SDANOA00T018R,DDANOA00T018R,CDANOA00T018R,CDBNOA00T018R,CDHNOA00T018R,,CDWNOA00T018RCDINOA00T018R,CD3NOA00T018R,CD4NOA00T018R,CD2NOA00T018R,CDSNOA00T018R,CDENOA00T018R,CDLNOA00T018R,,,,,
,,,,,,,,,,,,,,,,,,
,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL (Current),,,,,
Attendance Rate 2017-18,SA0AT18R,DA0AT18R,CA0AT18R,CB0AT18R,CH0AT18R,CW0AT18R,CI0AT18R,C30AT18R,C40AT18R,C20AT18R,CS0AT18R,CE0AT18R,CL0AT18R,,,,,
2016-17,SA0AT17R,DA0AT17R,CA0AT17R,CB0AT17R,CH0AT17R,CW0AT17R,CI0AT17R,C30AT17R,C40AT17R,C20AT17R,CS0AT17R,CE0AT17R,CL0AT17R,,,,,
Annual Dropout Rate (Gr 7-8),,,,,,,,,,,,,,,,,,
2017-18,SA0708DR18R,DA0708DR18R,CA0708DR18R,CB0708DR18R,CH0708DR18R,CW0708DR18R,CI0708DR18R,C30708DR18R,C40708DR18R,C20708DR18R,CS0708DR18R,CE0708DR18R,CL0708DR18R,,,,,
2016-17,SA0708DR17R,DA0708DR17R,CA0708DR17R,CB0708DR17R,CH0708DR17R,CW0708DR17R,CI0708DR17R,C30708DR17R,C40708DR17R,C20708DR17R,CS0708DR17R,CE0708DR17R,CL0708DR17R,,,,,
Annual Dropout Rate (Gr 9-12),,,,,,,,,,,,,,,,,,
2017-18 2016-17,SA0912DR18R SA0912DR17R,DA0912DR18R DA0912DR17R,CA0912DR18R CA0912DR17R,CB0912DR18R CB0912DR17R,"CH0912DR18R
CH0912DR17R","CW0912DR18R
CW0912DR17R","CI0912DR18R
CI0912DR17R",C30912DR18R C30912DR17R,C40912DR18R C40912DR17R,C20912DR18R C20912DR17R,CS0912DR18R CS0912DR17R,CE0912DR18R CE0912DR17R,CL0912DR18R CL0912DR17R,,,,,
4-Year Longitudinal Rate (Gr 9-12),,,,,,,,,,,,,,,,,,
Class of 2018,,,,,,,,,,,,,,,,,,
Graduated,SAGC418R,DAGC4X18R,CAGC4X18R,CBGC4X18R,CHGC4X18R,CWGC4X18R,CIGC4X18R,C3GC4X18R,C4GC4X18R,C2GC4X18R,CSGC4X18R,CEGC4X18R,CLGC4X18R,,,,,
Received TxCHSE,SAEC418R,DAEC4X18R,CAEC4X18R,CBEC4X18R,CHEC4X18R,CWEC4X18R,CIEC4X18R,C3EC4X18R,C4EC4X18R,C2EC4X18R,CSEC4X18R,CEEC4X18R,CLEC4X18R,,,,,
Continued HS,SANC418R,DANC4X18R,CANC4X18R,CBNC4X18R,CHNC4X18R,CWNC4X18R,CINC4X18R,C3NC4X18R,C4NC4X18R,C2NC4X18R,CSNC4X18R,CENC4X18R,CLNC4X18R,,,,,
Dropped Out,SADC418R,DADC4X18R,CADC4X18R,CBDC4X18R,CHDC4X18R,CWDC4X18R,CIDC4X18R,C3DC4X18R,C4DC4X18R,C2DC4X18R,CSDC4X18R,CEDC4X18R,CLDC4X18R,,,,,
Graduates and TxCHSE,SA3C418R,DA3C4X18R,CA3C4X18R,CB3C4X18R,CH3C4X18R,CW3C4X18R,CI3C4X18R,C33C4X18R,C43C4X18R,C23C4X18R,CS3C4X18R,CE3C4X18R,CL3C4X18R,,,,,
"Grads, TxCHSE, & Cont",SA2C418R,DA2C4X18R,CA2C4X18R,CB2C4X18R,CH2C4X18R,CW2C4X18R,CI2C4X18R,C32C4X18R,C42C4X18R,C22C4X18R,CS2C4X18R,CE2C4X18R,CL2C4X18R,,,,,
Class of 2017,,,,,,,,,,,,,,,,,,
Graduated,SAGC417R,DAGC4X17R,CAGC4X17R,CBGC4X17R,CHGC4X17R,CWGC4X17R,CIGC4X17R,C3GC4X17R,C4GC4X17R,C2GC4X17R,CSGC4X17R,CEGC4X17R,CLGC4X17R,,,,,
Received TxCHSE,SAEC417R,DAEC4X17R,CAEC4X17R,CBEC4X17R,CHEC4X17R,CWEC4X17R,CIEC4X17R,C3EC4X17R,C4EC4X17R,C2EC4X17R,CSEC4X17R,CEEC4X17R,CLEC4X17R,,,,,
Continued HS,SANC417R,DANC4X17R,CANC4X17R,CBNC4X17R,CHNC4X17R,CWNC4X17R,CINC4X17R,C3NC4X17R,C4NC4X17R,C2NC4X17R,CSNC4X17R,CENC4X17R,CLNC4X17R,,,,,
Dropped Out,SADC417R,DADC4X17R,CADC4X17R,CBDC4X17R,CHDC4X17R,CWDC4X17R,CIDC4X17R,C3DC4X17R,C4DC4X17R,C2DC4X17R,CSDC4X17R,CEDC4X17R,CLDC4X17R,,,,,
Graduates and TxCHSE,SA3C417R,DA3C4X17R,CA3C4X17R,CB3C4X17R,CH3C4X17R,CW3C4X17R,CI3C4X17R,C33C4X17R,C43C4X17R,C23C4X17R,CS3C4X17R,CE3C4X17R,CL3C4X17R,,,,,
