,School Year,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),
,2019,SDA06ARE1319R,DDA06ARE1319R,CDA06ARE1319R,CDB06ARE1319R,CDH06ARE1319R,CDW06ARE1319R,CDI06ARE1319R,CD306ARE1319R,CD406ARE1319R,CD206ARE1319R,CDS06ARE1319R,CNS06ARE1319R,"CNC06ARE1319R
:unselected:",CNM06ARE1319R,CDE06ARE1319R,CD006ARE1319R,
Grade 6 Mathematics,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,SDA06AMA1S21R,DDA06AMA1S21R,CDA06AMA1S21R,CDB06AMA1S21R,CDH06AMA1S21R,CDW06AMA1S21R,CDI06AMA1S21R,CD306AMA1S21R,CD406AMA1S21R,CD206AMA1S21R,CDS06AMA1S21R,"CNS06AMA1S21R
:unselected:","CNC06AMA1S21R
:unselected:",CNM06AMA1S21R,CDE06AMA1S21R,CD006AMA1S21R,
,2019,SDA06AMA1S19R,DDA06AMA1S19R,CDA06AMA1S19R,CDB06AMA1S19R,CDH06AMA1S19R,CDW06AMA1S19R,CDI06AMA1S19R,CD306AMA1S19R,CD406AMA1S19R,CD206AMA1S19R,CDS06AMA1S19R,"CNS06AMA1S19R
:unselected:","CNC06AMA1S19R
:unselected:","CNM06AMA1S19R
:unselected:",CDE06AMA1S19R,CD006AMA1S19R,
At Meets Grade Level or Above,2021,SDA06AMA1221R,DDA06AMA1221R,CDA06AMA1221R,CDB06AMA1221R,CDH06AMA1221R,CDW06AMA1221R,CDI06AMA1221R,CD306AMA1221R,CD406AMA1221R,CD206AMA1221R,CDS06AMA1221R,"CNS06AMA1221R
:unselected:","CNC06AMA1221R
:unselected:","CNM06AMA1221R
:unselected:",CDE06AMA1221R,CD006AMA1221R,
,2019,SDA06AMA1219R,DDA06AMA1219R,CDA06AMA1219R,CDB06AMA1219R,CDH06AMA1219R,CDW06AMA1219R,CDI06AMA1219R,CD306AMA1219R,CD406AMA1219R,CD206AMA1219R,CDS06AMA1219R,CNS06AMA1219R,"CNC06AMA1219R
:unselected:","CNM06AMA1219R
:unselected:",CDE06AMA1219R,CD006AMA1219R,
At Masters Grade Level,2021,SDA06AMA1321R,DDA06AMA1321R,CDA06AMA1321R,"CDB06AMA1321R
:unselected:",CDH06AMA1321R,CDW06AMA1321R,CDI06AMA1321R,CD306AMA1321R,CD406AMA1321R,CD206AMA1321R,CDS06AMA1321R,"CNS06AMA1321R
:unselected:","CNC06AMA1321R
:unselected:","CNM06AMA1321R
:unselected:",CDE06AMA1321R,CD006AMA1321R,
,2019,SDA06AMA1319R,DDA06AMA1319R,CDA06AMA1319R,CDB06AMA1319R,CDH06AMA1319R,CDW06AMA1319R,CDI06AMA1319R,CD306AMA1319R,CD406AMA1319R,CD206AMA1319R,CDS06AMA1319R,"CNS06AMA1319R
:unselected:","CNC06AMA1319R
:unselected:","CNM06AMA1319R
:unselected:",CDE06AMA1319R,CD006AMA1319R,
,,,,,,,,,,,,,,,,,,
,School Year,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),
Grade 7 Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,SDA07ARE1S21R,DDA07ARE1S21R,CDA07ARE1S21R,CDB07ARE1S21R,CDH07ARE1S21R,CDW07ARE1S21R,CDI07ARE1S21R,CD307ARE1S21R,CD407ARE1S21R,CD207ARE1S21R,CDS07ARE1S21R,CNS07ARE1S21R,CNC07ARE1S21R,CNM07ARE1S21R,CDE07ARE1S21R,CD007ARE1S21R,
,2019,SDA07ARE1S19R,DDA07ARE1S19R,CDA07ARE1S19R,CDB07ARE1S19R,CDH07ARE1S19R,CDW07ARE1S19R,CDI07ARE1S19R,CD307ARE1S19R,CD407ARE1S19R,CD207ARE1S19R,CDS07ARE1S19R,CNS07ARE1S19R,CNC07ARE1S19R,CNM07ARE1S19R,CDE07ARE1S19R,CD007ARE1S19R,
At Meets Grade Level or Above,2021,SDA07ARE1221R,DDA07ARE1221R,CDA07ARE1221R,CDB07ARE1221R,CDH07ARE1221R,CDW07ARE1221R,CDI07ARE1221R,CD307ARE1221R,CD407ARE1221R,CD207ARE1221R,CDS07ARE1221R,CNS07ARE1221R,CNC07ARE1221R,CNM07ARE1221R,CDE07ARE1221R,CD007ARE1221R,
,2019,SDA07ARE1219R,DDA07ARE1219R,CDA07ARE1219R,CDB07ARE1219R,CDH07ARE1219R,CDW07ARE1219R,CDI07ARE1219R,CD307ARE1219R,CD407ARE1219R,CD207ARE1219R,CDS07ARE1219R,CNS07ARE1219R,CNC07ARE1219R,CNM07ARE1219R,CDE07ARE1219R,CD007ARE1219R,
At Masters Grade Level,2021,SDA07ARE1321R,DDA07ARE1321R,CDA07ARE1321R,CDB07ARE1321R,CDH07ARE1321R,CDW07ARE1321R,CDI07ARE1321R,CD307ARE1321R,CD407ARE1321R,CD207ARE1321R,CDS07ARE1321R,CNS07ARE1321R,CNC07ARE1321R,CNM07ARE1321R,CDE07ARE1321R,CD007ARE1321R,
,2019,SDA07ARE1319R,DDA07ARE1319R,CDA07ARE1319R,CDB07ARE1319R,CDH07ARE1319R,CDW07ARE1319R,CDI07ARE1319R,CD307ARE1319R,CD407ARE1319R,CD207ARE1319R,CDS07ARE1319R,CNS07ARE1319R,CNC07ARE1319R,CNM07ARE1319R,CDE07ARE1319R,CD007ARE1319R,
Grade 7 Mathematics,,,,,,,,,,,,,,,,,,
