Data field,Subcategory,School Year,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),Unnamed: 18
STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,,,,,,,,,,,,,,,,,,
Grade 5 Science,At Approaches Grade Level or Above,2021,SDA05ASC1S21R,RDA05ASC1S21R,DDA05ASC1S21R,DDB05ASC1S21R,DDH05ASC1S21R,DDW05ASC1S21R,DDI05ASC1S21R,DD305ASC1S21R,DD405ASC1S21R,DD205ASC1S21R,DDS05ASC1S21R,DNS05ASC1S21R,DNC05ASC1S21R,DNM05ASC1S21R,DDE05ASC1S21R,DD005ASC1S21R,
Grade 5 Science,At Approaches Grade Level or Above,2019,SDA05ASC1S19R,RDA05ASC1S19R,DDA05ASC1S19R,DDB05ASC1S19R,DDH05ASC1S19R,DDW05ASC1S19R,DDI05ASC1S19R,DD305ASC1S19R,DD405ASC1S19R,DD205ASC1S19R,DDS05ASC1S19R,DNS05ASC1S19R,DNC05ASC1S19R,DNM05ASC1S19R,DDE05ASC1S19R,DD005ASC1S19R,
Grade 5 Science,At Meets Grade Level or Above,2021,SDA05ASC1221R,RDA05ASC1221R,DDA05ASC1221R,DDB05ASC1221R,DDH05ASC1221R,DDW05ASC1221R,DDI05ASC1221R,DD305ASC1221R,DD405ASC1221R,DD205ASC1221R,DDS05ASC1221R,DNS05ASC1221R,DNC05ASC1221R,DNM05ASC1221R,DDE05ASC1221R,DD005ASC1221R,
Grade 5 Science,At Meets Grade Level or Above,2019,SDA05ASC1219R,RDA05ASC1219R,DDA05ASC1219R,DDB05ASC1219R,DDH05ASC1219R,DDW05ASC1219R,DDI05ASC1219R,DD305ASC1219R,DD405ASC1219R,DD205ASC1219R,DDS05ASC1219R,DNS05ASC1219R,DNC05ASC1219R,DNM05ASC1219R,DDE05ASC1219R,DD005ASC1219R,
Grade 5 Science,At Masters Grade Level,2021,SDA05ASC1321R,RDA05ASC1321R,DDA05ASC1321R,DDB05ASC1321R,DDH05ASC1321R,DDW05ASC1321R,DDI05ASC1321R,DD305ASC1321R,DD405ASC1321R,DD205ASC1321R,DDS05ASC1321R,DNS05ASC1321R,DNC05ASC1321R,DNM05ASC1321R,DDE05ASC1321R,DD005ASC1321R,
Grade 5 Science,At Masters Grade Level,2019,SDA05ASC1319R,RDA05ASC1319R,DDA05ASC1319R,DDB05ASC1319R,DDH05ASC1319R,DDW05ASC1319R,DDI05ASC1319R,DD305ASC1319R,DD405ASC1319R,DD205ASC1319R,DDS05ASC1319R,DNS05ASC1319R,DNC05ASC1319R,DNM05ASC1319R,DDE05ASC1319R,DD005ASC1319R,
Grade 6 Reading,Grade 6 Reading,,,,,,,,,,,,,,,,,,
Grade 6 Reading,At Approaches Grade Level or Above,2021,SDA06ARE1S21R,RDA06ARE1S21R,DDA06ARE1S21R,DDB06ARE1S21R,DDH06ARE1S21R,DDW06ARE1S21R,DDI06ARE1S21R,DD306ARE1S21R,DD406ARE1S21R,DD206ARE1S21R,DDS06ARE1S21R,DNS06ARE1S21R,DNC06ARE1S21R,DNM06ARE1S21R,DDE06ARE1S21R,DD006ARE1S21R,
Grade 6 Reading,At Approaches Grade Level or Above,2019,SDA06ARE1S19R,RDA06ARE1S19R,DDA06ARE1S19R,DDB06ARE1S19R,DDH06ARE1S19R,DDW06ARE1S19R,DDI06ARE1S19R,DD306ARE1S19R,DD406ARE1S19R,DD206ARE1S19R,DDS06ARE1S19R,DNS06ARE1S19R,DNC06ARE1S19R,DNM06ARE1S19R,DDE06ARE1S19R,DD006ARE1S19R,
Grade 6 Reading,At Meets Grade Level or Above,2021,SDA06ARE1221R,RDA06ARE1221R,DDA06ARE1221R,DDB06ARE1221R,DDH06ARE1221R,DDW06ARE1221R,DDI06ARE1221R,DD306ARE1221R,DD406ARE1221R,DD206ARE1221R,DDS06ARE1221R,DNS06ARE1221R,DNC06ARE1221R,DNM06ARE1221R,DDE06ARE1221R,DD006ARE1221R,
Grade 6 Reading,At Meets Grade Level or Above,2019,SDA06ARE1219R,RDA06ARE1219R,DDA06ARE1219R,DDB06ARE1219R,DDH06ARE1219R,DDW06ARE1219R,DDI06ARE1219R,DD306ARE1219R,DD406ARE1219R,DD206ARE1219R,DDS06ARE1219R,DNS06ARE1219R,DNC06ARE1219R,DNM06ARE1219R,"DDE06ARE1219R
:selected:",DD006ARE1219R,
Grade 6 Reading,At Masters Grade Level,2021,SDA06ARE1321R,RDA06ARE1321R,DDA06ARE1321R,DDB06ARE1321R,DDH06ARE1321R,DDW06ARE1321R,DDI06ARE1321R,DD306ARE1321R,DD406ARE1321R,DD206ARE1321R,DDS06ARE1321R,DNS06ARE1321R,DNC06ARE1321R,DNM06ARE1321R,DDE06ARE1321R,DD006ARE1321R,
Grade 6 Reading,At Masters Grade Level,2019,SDA06ARE1319R,RDA06ARE1319R,DDA06ARE1319R,DDB06ARE1319R,DDH06ARE1319R,DDW06ARE1319R,DDI06ARE1319R,DD306ARE1319R,DD406ARE1319R,DD206ARE1319R,DDS06ARE1319R,DNS06ARE1319R,DNC06ARE1319R,DNM06ARE1319R,DDE06ARE1319R,DD006ARE1319R,
Grade 6 Mathematics,Grade 6 Mathematics,,,,,,,,,,,,,,,,,,
Grade 6 Mathematics,At Approaches Grade Level or Above,2021,SDA06AMA1S21R,RDA06AMA1S21R,DDA06AMA1S21R,DDB06AMA1S21R,DDH06AMA1S21R,DDW06AMA1S21R,DDI06AMA1S21R,DD306AMA1S21R,DD406AMA1S21R,DD206AMA1S21R,DDS06AMA1S21R,DNS06AMA1S21R,DNC06AMA1S21R,DNM06AMA1S21R,DDE06AMA1S21R,DD006AMA1S21R,
Grade 6 Mathematics,At Approaches Grade Level or Above,2019,SDA06AMA1S19R,RDA06AMA1S19R,DDA06AMA1S19R,DDB06AMA1S19R,DDH06AMA1S19R,DDW06AMA1S19R,DDI06AMA1S19R,DD306AMA1S19R,DD406AMA1S19R,DD206AMA1S19R,DDS06AMA1S19R,DNS06AMA1S19R,DNC06AMA1S19R,DNM06AMA1S19R,DDE06AMA1S19R,DD006AMA1S19R,
Grade 6 Mathematics,At Meets Grade Level or Above,2021,SDA06AMA1221R,RDA06AMA1221R,DDA06AMA1221R,DDB06AMA1221R,DDH06AMA1221R,DDW06AMA1221R,DDI06AMA1221R,DD306AMA1221R,DD406AMA1221R,DD206AMA1221R,DDS06AMA1221R,DNS06AMA1221R,DNC06AMA1221R,DNM06AMA1221R,DDE06AMA1221R,DD006AMA1221R,
Grade 6 Mathematics,At Meets Grade Level or Above,2019,SDA06AMA1219R,RDA06AMA1219R,DDA06AMA1219R,DDB06AMA1219R,DDH06AMA1219R,DDW06AMA1219R,DDI06AMA1219R,DD306AMA1219R,DD406AMA1219R,DD206AMA1219R,DDS06AMA1219R,DNS06AMA1219R,DNC06AMA1219R,DNM06AMA1219R,DDE06AMA1219R,DD006AMA1219R,
Grade 6 Mathematics,At Masters Grade Level,2021,SDA06AMA1321R,RDA06AMA1321R,DDA06AMA1321R,DDB06AMA1321R,DDH06AMA1321R,DDW06AMA1321R,DDI06AMA1321R,DD306AMA1321R,DD406AMA1321R,DD206AMA1321R,DDS06AMA1321R,DNS06AMA1321R,DNC06AMA1321R,DNM06AMA1321R,DDE06AMA1321R,DD006AMA1321R,
Grade 6 Mathematics,At Masters Grade Level,2019,SDA06AMA1319R,RDA06AMA1319R,DDA06AMA1319R,DDB06AMA1319R,DDH06AMA1319R,DDW06AMA1319R,DDI06AMA1319R,DD306AMA1319R,DD406AMA1319R,DD206AMA1319R,DDS06AMA1319R,DNS06AMA1319R,DNC06AMA1319R,DNM06AMA1319R,DDE06AMA1319R,DD006AMA1319R,
,At Masters Grade Level,,,,,,,,,,,,,,,,,,
,At Masters Grade Level,School Year,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),
Grade 7 Reading,Grade 7 Reading,,,,,,,,,,,,,,,,,,
