zipcode,period_end,median_ppsf,area,year,median_ppsf_prev,median_ppsf_change_percent,DISTRICT,DISTNAME
75019,2018-12-31,171.12462006079028,2337.4777975133215,2018,164.06920987642027,4.300264619841991,57922.0,COPPELL ISD
75019,2019-12-31,168.20022083179978,2497.024070021882,2019,171.12462006079028,-1.7089295672075895,57903.0,CARROLLTON-FARMERS BRANCH ISD
75019,2019-12-31,168.20022083179978,2497.024070021882,2019,171.12462006079028,-1.7089295672075895,57922.0,COPPELL ISD
75019,2020-12-31,179.13204062788552,2378.1340206185564,2020,168.20022083179978,6.499289799992328,57903.0,CARROLLTON-FARMERS BRANCH ISD
75019,2020-12-31,179.13204062788552,2378.1340206185564,2020,168.20022083179978,6.499289799992328,57922.0,COPPELL ISD
75019,2021-12-31,206.9126576366184,2488.972911963883,2021,179.13204062788552,15.508457845596762,57903.0,CARROLLTON-FARMERS BRANCH ISD
75019,2021-12-31,206.9126576366184,2488.972911963883,2021,179.13204062788552,15.508457845596762,57922.0,COPPELL ISD
75019,2022-12-31,242.44932480465508,2433.2919898842006,2022,206.9126576366184,17.174718827712532,57903.0,CARROLLTON-FARMERS BRANCH ISD
75019,2022-12-31,242.44932480465508,2433.2919898842006,2022,206.9126576366184,17.174718827712532,57922.0,COPPELL ISD
75020,2016-12-31,64.59436964279145,1702.9348007930548,2016,68.95403064623584,-6.322561513207754,91903.0,DENISON ISD
75020,2016-12-31,64.59436964279145,1702.9348007930548,2016,68.95403064623584,-6.322561513207754,91906.0,SHERMAN ISD
75020,2017-12-31,88.04837948931747,1507.6938470639996,2017,64.59436964279145,36.30968144162921,91903.0,DENISON ISD
75020,2017-12-31,88.04837948931747,1507.6938470639996,2017,64.59436964279145,36.30968144162921,91906.0,SHERMAN ISD
75020,2018-12-31,88.27652807619971,1554.7734260858867,2018,88.04837948931747,0.2591173036977038,91903.0,DENISON ISD
75020,2018-12-31,88.27652807619971,1554.7734260858867,2018,88.04837948931747,0.2591173036977038,91906.0,SHERMAN ISD
75020,2019-12-31,105.76939300984372,1418.1796428201098,2019,88.27652807619971,19.81598655368989,91903.0,DENISON ISD
75020,2019-12-31,105.76939300984372,1418.1796428201098,2019,88.27652807619971,19.81598655368989,91906.0,SHERMAN ISD
75020,2020-12-31,117.99777476780186,1438.5864507533054,2020,105.76939300984372,11.561361382512676,91903.0,DENISON ISD
75020,2020-12-31,117.99777476780186,1438.5864507533054,2020,105.76939300984372,11.561361382512676,91906.0,SHERMAN ISD
75020,2021-12-31,144.65408805031447,1493.2173913043478,2021,117.99777476780186,22.590522011934027,91903.0,DENISON ISD
75020,2021-12-31,144.65408805031447,1493.2173913043478,2021,117.99777476780186,22.590522011934027,91906.0,SHERMAN ISD
75020,2022-12-31,160.02922422954305,1437.2374865111644,2022,144.65408805031447,10.628898489118885,91903.0,DENISON ISD
75020,2022-12-31,160.02922422954305,1437.2374865111644,2022,144.65408805031447,10.628898489118885,91906.0,SHERMAN ISD
75022,2016-12-31,141.55746695285697,3072.9569365978305,2016,134.24204874019,5.449423843958995,61902.0,LEWISVILLE ISD
75022,2017-12-31,144.93335908025358,3035.8780255438633,2017,141.55746695285697,2.3848209494458446,61902.0,LEWISVILLE ISD
75022,2018-12-31,149.08072574923054,3320.3487406725003,2018,144.93335908025358,2.8615680305045896,61902.0,LEWISVILLE ISD
75022,2019-12-31,153.55821980553264,3256.0940119858383,2019,149.08072574923054,3.0034023739820817,61902.0,LEWISVILLE ISD
75022,2020-12-31,162.47251404837527,2985.1203007518798,2020,153.55821980553264,5.805156021039943,61902.0,LEWISVILLE ISD
75022,2021-12-31,210.40297327850976,3308.888601485884,2021,162.47251404837527,29.50065708705872,61902.0,LEWISVILLE ISD
75022,2022-12-31,224.01687744572288,2923.886840439958,2022,210.40297327850976,6.470395334761947,61902.0,LEWISVILLE ISD
