,zipcode,period_end,median_ppsf,area,year,DISTRICT,District_N
7021,77493,2016-12-31,103.39668894787974,2272.800051832017,2015,57848.0,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)
7022,77493,2016-12-31,103.39668894787974,2272.800051832017,2015,101803.0,ARISTOI CLASSICAL ACADEMY
7023,77493,2016-12-31,103.39668894787974,2272.800051832017,2015,101811.0,EXCEL ACADEMY
7024,77493,2016-12-31,103.39668894787974,2272.800051832017,2015,101914.0,KATY ISD
7049,77494,2016-12-31,111.07355907808378,2998.0132334276227,2015,46802.0,TRINITY CHARTER SCHOOL
7050,77494,2016-12-31,111.07355907808378,2998.0132334276227,2015,79901.0,LAMAR CISD
7051,77494,2016-12-31,111.07355907808378,2998.0132334276227,2015,101862.0,HARMONY SCHOOL OF SCIENCE - HOUSTON
7052,77494,2016-12-31,111.07355907808378,2998.0132334276227,2015,101914.0,KATY ISD
7084,77498,2016-12-31,99.50694755714926,2110.4054054054054,2015,79907.0,FORT BEND ISD
7091,77502,2016-12-31,80.75842696629213,1601.071304347826,2015,101917.0,PASADENA ISD
7098,77503,2016-12-31,86.7579908675799,1440.7894736842106,2015,101908.0,DEER PARK ISD
7099,77503,2016-12-31,86.7579908675799,1440.7894736842106,2015,101917.0,PASADENA ISD
7100,77503,2016-12-31,86.7579908675799,1440.7894736842106,2015,227806.0,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL
7119,77504,2016-12-31,90.41930928582376,1924.367719399072,2015,101917.0,PASADENA ISD
7126,77505,2016-12-31,102.48713550600344,1873.4058577405856,2015,101908.0,DEER PARK ISD
7127,77505,2016-12-31,102.48713550600344,1873.4058577405856,2015,101917.0,PASADENA ISD
7140,77506,2016-12-31,74.5183343691734,1140.6588824020016,2015,14801.0,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN)
7141,77506,2016-12-31,74.5183343691734,1140.6588824020016,2015,101917.0,PASADENA ISD
7154,77510,2016-12-31,115.8981627891758,1498.7295382409854,2015,84906.0,TEXAS CITY ISD
7155,77510,2016-12-31,115.8981627891758,1498.7295382409854,2015,84909.0,SANTA FE ISD
7168,77511,2016-12-31,98.58796296296296,1673.6323080535337,2015,20901.0,ALVIN ISD
7175,77514,2016-12-31,76.38565440149044,1636.4329268292686,2015,36901.0,ANAHUAC ISD
7182,77515,2016-12-31,99.79353062629043,1783.6827586206896,2015,20902.0,ANGLETON ISD
7183,77515,2016-12-31,99.79353062629043,1783.6827586206896,2015,20908.0,PEARLAND ISD
7184,77515,2016-12-31,99.79353062629043,1783.6827586206896,2015,236903.0,WINDHAM SCHOOL DISTRICT
7210,77518,2016-12-31,92.20857475322752,1870.758771205951,2015,84901.0,DICKINSON ISD
7220,77520,2016-12-31,68.2359393462979,1765.9315773241078,2015,101911.0,GOOSE CREEK CISD
7241,77530,2016-12-31,83.89993494062747,1569.7270813523116,2015,101861.0,THE RHODES SCHOOL
7242,77530,2016-12-31,83.89993494062747,1569.7270813523116,2015,101905.0,CHANNELVIEW ISD
7262,77532,2016-12-31,95.5981769604129,1901.1345799539713,2015,101906.0,CROSBY ISD
7271,77534,2016-12-31,119.3125,1633.5254059717129,2015,20904.0,DANBURY ISD
7278,77535,2016-12-31,101.86263096623982,1997.7885714285712,2015,146902.0,DAYTON ISD
7279,77535,2016-12-31,101.86263096623982,1997.7885714285712,2015,236903.0,WINDHAM SCHOOL DISTRICT
7292,77536,2016-12-31,97.67406183283671,1888.9354710748148,2015,101908.0,DEER PARK ISD
7303,77539,2016-12-31,95.0573777898256,1925.1530418250954,2015,84901.0,DICKINSON ISD
