,2021,SDA05ASC1321R,DDA05ASC1321R,CDA05ASC1321R,CDB05ASC1321R,CDH05ASC1321R,CDW05ASC1321R,CDI05ASC1321R,CD305ASC1321R,CD405ASC1321R,CD205ASC1321R,CDS05ASC1321R,"CNS05ASC1321R
:unselected:","CNC05ASC1321R
:unselected:","CNM05ASC1321R
:unselected:","CDE05ASC1321R
:unselected:","CD005ASC1321R
:unselected:",
Grade 6 Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA06ARE1S22R,DDA06ARE1S22R,CDA06ARE1S22R,CDB06ARE1S22R,CDH06ARE1S22R,CDW06ARE1S22R,CDI06ARE1S22R,CD306ARE1S22R,CD406ARE1S22R,CD206ARE1S22R,CDS06ARE1S22R,"CNS06ARE1S22R
:unselected:","CNC06ARE1S22R
:unselected:","CNM06ARE1S22R
:unselected:","CDE06ARE1S22R
:unselected:","CD006ARE1S22R
:unselected:",
,2021,SDA06ARE1S21R,DDA06ARE1S21R,CDA06ARE1S21R,CDB06ARE1S21R,CDH06ARE1S21R,CDW06ARE1S21R,CDI06ARE1S21R,CD306ARE1S21R,CD406ARE1S21R,"CD206ARE1S21R
:unselected:","CDS06ARE1S21R
:unselected:","CNS06ARE1S21R
:unselected:","CNC06ARE1S21R
:unselected:","CNM06ARE1S21R
:unselected:","CDE06ARE1S21R
:unselected:","CD006ARE1S21R
:unselected:",
At Meets Grade Level or Above,2022,SDA06ARE1222R,DDA06ARE1222R,CDA06ARE1222R,CDB06ARE1222R,CDH06ARE1222R,CDW06ARE1222R,CDI06ARE1222R,CD306ARE1222R,CD406ARE1222R,CD206ARE1222R,"CDS06ARE1222R
:unselected:","CNS06ARE1222R
:unselected:","CNC06ARE1222R
:unselected:","CNM06ARE1222R
:unselected:","CDE06ARE1222R
:unselected:","CD006ARE1222R
:unselected:",
,2021,SDA06ARE1221R,DDA06ARE1221R,CDA06ARE1221R,CDB06ARE1221R,CDH06ARE1221R,CDW06ARE1221R,CDI06ARE1221R,CD306ARE1221R,CD406ARE1221R,CD206ARE1221R,"CDS06ARE1221R
:unselected:","CNS06ARE1221R
:unselected:","CNC06ARE1221R
:unselected:","CNM06ARE1221R
:unselected:","CDE06ARE1221R
:unselected:",CD006ARE1221R,
At Masters Grade Level,2022,SDA06ARE1322R,DDA06ARE1322R,CDA06ARE1322R,CDB06ARE1322R,CDH06ARE1322R,CDW06ARE1322R,CDI06ARE1322R,CD306ARE1322R,CD406ARE1322R,"CD206ARE1322R
:unselected:","CDS06ARE1322R
:unselected:","CNS06ARE1322R
:unselected:","CNC06ARE1322R
:unselected:","CNM06ARE1322R
:unselected:","CDE06ARE1322R
:unselected:",CD006ARE1322R,
,2021,SDA06ARE1321R,DDA06ARE1321R,CDA06ARE1321R,CDB06ARE1321R,CDH06ARE1321R,CDW06ARE1321R,CDI06ARE1321R,CD306ARE1321R,CD406ARE1321R,CD206ARE1321R,"CDS06ARE1321R
:unselected:","CNS06ARE1321R
:unselected:","CNC06ARE1321R
:unselected:","CNM06ARE1321R
:unselected:","CDE06ARE1321R
:unselected:","CD006ARE1321R
:unselected:",
Grade 6 Mathematics,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA06AMA1S22R,DDA06AMA1S22R,CDA06AMA1S22R,CDB06AMA1S22R,CDH06AMA1S22R,CDW06AMA1S22R,CDI06AMA1S22R,CD306AMA1S22R,CD406AMA1S22R,"CD206AMA1S22R
:unselected:","CDS06AMA1S22R
:unselected:","CNS06AMA1S22R
:unselected:","CNC06AMA1S22R
:unselected:","CNM06AMA1S22R
:unselected:",CDE06AMA1S22R,CD006AMA1S22R,
