,,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL,
"STAAR Performance Rates by Tested Grade, Subject, and Performance Levels^ Grade 3 Reading",,,,,,,,,,,,,,,
,2017,SDA05ARE1317R,DDA05ARE1317R,CDA05ARE1317R,CDB05ARE1317R,CDH05ARE1317R,CDW05ARE1317R,CDI05ARE1317R,CD305ARE1317R,CD405ARE1317R,CD205ARE1317R,CDS05ARE1317R,CDE05ARE1317R,CDL05ARE1317R,
Grade 5 Mathematics^^,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA05AMA1S18R,DDA05AMA1S18R,CDA05AMA1S18R,CDB05AMA1S18R,CDH05AMA1S18R,CDW05AMA1S18R,CDI05AMA1S18R,CD305AMA1S18R,CD405AMA1S18R,CD205AMA1S18R,CDS05AMA1S18R,CDE05AMA1S18R,CDL05AMA1S18R,
,2017,SDA05AMA1S17R,DDA05AMA1S17R,CDA05AMA1S17R,CDB05AMA1S17R,CDH05AMA1S17R,CDW05AMA1S17R,CDI05AMA1S17R,CD305AMA1S17R,CD405AMA1S17R,CD205AMA1S17R,CDS05AMA1S17R,CDE05AMA1S17R,CDL05AMA1S17R,
At Meets Grade Level or Above,2018,SDA05AMA1218R,DDA05AMA1218R,CDA05AMA1218R,CDB05AMA1218R,CDH05AMA1218R,CDW05AMA1218R,CDI05AMA1218R,CD305AMA1218R,CD405AMA1218R,CD205AMA1218R,CDS05AMA1218R,CDE05AMA1218R,CDL05AMA1218R,
,2017,SDA05AMA1217R,DDA05AMA1217R,CDA05AMA1217R,CDB05AMA1217R,CDH05AMA1217R,CDW05AMA1217R,CDI05AMA1217R,CD305AMA1217R,CD405AMA1217R,CD205AMA1217R,CDS05AMA1217R,CDE05AMA1217R,CDL05AMA1217R,
At Masters Grade Level or Above,2018 2017,SDA05AMA1318R SDA05AMA1317R,DDA05AMA1318R DDA05AMA1317R,CDA05AMA1318R CDA05AMA1317R,CDB05AMA1318R CDB05AMA1317R,CDH05AMA1318R CDH05AMA1317R,CDW05AMA1318R CDW05AMA1317R,CDI05AMA1318R CDI05AMA1317R,CD305AMA1318R CD305AMA1317R,CD405AMA1318R CD405AMA1317R,CD205AMA1318R CD205AMA1317R,CDS05AMA1318R CDS05AMA1317R,CDE05AMA1318R CDE05AMA1317R,CDL05AMA1318R CDL05AMA1317R,
Grade 5 Science,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA05ASC1S18R,DDA05ASC1S18R,CDA05ASC1S18R,CDB05ASC1S18R,CDH05ASC1S18R,CDW05ASC1S18R,CDI05ASC1S18R,CD305ASC1S18R,CD405ASC1S18R,CD205ASC1S18R,CDS05ASC1S18R,CDE05ASC1S18R,CDL05ASC1S18R,
,2017,SDA05ASC1S17R,DDA05ASC1S17R,CDA05ASC1S17R,CDB05ASC1S17R,CDH05ASC1S17R,CDW05ASC1S17R,CDI05ASC1S17R,CD305ASC1S17R,CD405ASC1S17R,CD205ASC1S17R,CDS05ASC1S17R,CDE05ASC1S17R,CDL05ASC1S17R,
At Meets Grade Level or Above,2018,SDA05ASC1218R,DDA05ASC1218R,CDA05ASC1218R,CDB05ASC1218R,CDH05ASC1218R,CDW05ASC1218R,CDI05ASC1218R,CD305ASC1218R,CD405ASC1218R,CD205ASC1218R,CDS05ASC1218R,CDE05ASC1218R,CDL05ASC1218R,
,2017,SDA05ASC1217R,DDA05ASC1217R,CDA05ASC1217R,CDB05ASC1217R,CDH05ASC1217R,CDW05ASC1217R,CDI05ASC1217R,CD305ASC1217R,CD405ASC1217R,CD205ASC1217R,CDS05ASC1217R,CDE05ASC1217R,CDL05ASC1217R,
At Masters Grade Level or Above,2018,SDA05ASC1318R,DDA05ASC1318R,CDA05ASC1318R,CDB05ASC1318R,CDH05ASC1318R,CDW05ASC1318R,CDI05ASC1318R,CD305ASC1318R,CD405ASC1318R,CD205ASC1318R,CDS05ASC1318R,CDE05ASC1318R,CDL05ASC1318R,
,2017,SDA05ASC1317R,DDA05ASC1317R,CDA05ASC1317R,CDB05ASC1317R,CDH05ASC1317R,CDW05ASC1317R,CDI05ASC1317R,CD305ASC1317R,CD405ASC1317R,CD205ASC1317R,CDS05ASC1317R,CDE05ASC1317R,CDL05ASC1317R,
Grade 6 Reading,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA06ARE1S18R,DDA06ARE1S18R,CDA06ARE1S18R,CDB06ARE1S18R,CDH06ARE1S18R,CDW06ARE1S18R,CDI06ARE1S18R,CD306ARE1S18R,CD406ARE1S18R,CD206ARE1S18R,CDS06ARE1S18R,CDE06ARE1S18R,CDL06ARE1S18R,
,2017,SDA06ARE1S17R,DDA06ARE1S17R,CDA06ARE1S17R,CDB06ARE1S17R,CDH06ARE1S17R,CDW06ARE1S17R,CDI06ARE1S17R,CD306ARE1S17R,CD406ARE1S17R,CD206ARE1S17R,CDS06ARE1S17R,CDE06ARE1S17R,CDL06ARE1S17R,
At Meets Grade Level or Above,2018,SDA06ARE1218R,DDA06ARE1218R,CDA06ARE1218R,CDB06ARE1218R,CDH06ARE1218R,CDW06ARE1218R,CDI06ARE1218R,CD306ARE1218R,CD406ARE1218R,CD206ARE1218R,CDS06ARE1218R,CDE06ARE1218R,CDL06ARE1218R,
,2017,SDA06ARE1217R,DDA06ARE1217R,CDA06ARE1217R,CDB06ARE1217R,CDH06ARE1217R,CDW06ARE1217R,CDI06ARE1217R,CD306ARE1217R,CD406ARE1217R,CD206ARE1217R,CDS06ARE1217R,CDE06ARE1217R,CDL06ARE1217R,
