,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EL (Current & Monitored)
,2018,SDA04AWR1S18R,RDA04AWR1S18R,DDA04AWR1S18R,DDB04AWR1S18R,"DDH04AWR1S18R
:unselected:",DDW04AWR1S18R,DDI04AWR1S18R,DD304AWR1S18R,DD404AWR1S18R,DD204AWR1S18R,DDS04AWR1S18R,DNS04AWR1S18R,DNC04AWR1S18R,DNM04AWR1S18R,DDE04AWR1S18R,DD004AWR1S18R
At Meets Grade Level or Above,2019,SDA04AWR1219R,RDA04AWR1219R,DDA04AWR1219R,DDB04AWR1219R,"DDH04AWR1219R
:unselected:",DDW04AWR1219R,DDI04AWR1219R,DD304AWR1219R,DD404AWR1219R,DD204AWR1219R,DDS04AWR1219R,DNS04AWR1219R,DNC04AWR1219R,DNM04AWR1219R,DDE04AWR1219R,DD004AWR1219R
,2018,SDA04AWR1318R,RDA04AWR1318R,DDA04AWR1318R,DDB04AWR1318R,"DDH04AWR1318R
:unselected:",DDW04AWR1318R,DDI04AWR1318R,DD304AWR1318R,DD404AWR1318R,DD204AWR1318R,DDS04AWR1318R,DNS04AWR1318R,DNC04AWR1318R,DNM04AWR1318R,DDE04AWR1318R,DD004AWR1318R
At Masters Grade Level,2019,SDA04AWR1319R,RDA04AWR1319R,DDA04AWR1319R,DDB04AWR1319R,"DDH04AWR1319R
:unselected:",DDW04AWR1319R,DDI04AWR1319R,DD304AWR1319R,DD404AWR1319R,DD204AWR1319R,DDS04AWR1319R,DNS04AWR1319R,DNC04AWR1319R,DNM04AWR1319R,DDE04AWR1319R,DD004AWR1319R
,2018,SDA04AWR1218R,RDA04AWR1218R,DDA04AWR1218R,"DDB04AWR1218R
:unselected:","DDH04AWR1218R
:unselected:",DDW04AWR1218R,DDI04AWR1218R,DD304AWR1218R,DD404AWR1218R,DD204AWR1218R,DDS04AWR1218R,DNS04AWR1218R,DNC04AWR1218R,DNM04AWR1218R,DDE04AWR1218R,DD004AWR1218R
Grade 5 Reading^,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA05ARE1S19R,RDA05ARE1S19R,DDA05ARE1S19R,"DDB05ARE1S19R
:unselected:","DDH05ARE1S19R
:unselected:",DDW05ARE1S19R,DDI05ARE1S19R,DD305ARE1S19R,DD405ARE1S19R,DD205ARE1S19R,DDS05ARE1S19R,DNS05ARE1S19R,DNC05ARE1S19R,DNM05ARE1S19R,DDE05ARE1S19R,DD005ARE1S19R
,2018,SDA05ARE1S18R,RDA05ARE1S18R,DDA05ARE1S18R,"DDB05ARE1S18R
:unselected:","DDH05ARE1S18R
:unselected:",DDW05ARE1S18R,DDI05ARE1S18R,DD305ARE1S18R,DD405ARE1S18R,DD205ARE1S18R,DDS05ARE1S18R,DNS05ARE1S18R,DNC05ARE1S18R,DNM05ARE1S18R,DDE05ARE1S18R,DD005ARE1S18R
At Meets Grade Level or Above,2019,SDA05ARE1219R,RDA05ARE1219R,DDA05ARE1219R,DDB05ARE1219R,DDH05ARE1219R,DDW05ARE1219R,DDI05ARE1219R,DD305ARE1219R,DD405ARE1219R,DD205ARE1219R,DDS05ARE1219R,DNS05ARE1219R,DNC05ARE1219R,DNM05ARE1219R,DDE05ARE1219R,DD005ARE1219R
,2018,SDA05ARE1218R,RDA05ARE1218R,DDA05ARE1218R,DDB05ARE1218R,DDH05ARE1218R,DDW05ARE1218R,DDI05ARE1218R,DD305ARE1218R,DD405ARE1218R,DD205ARE1218R,DDS05ARE1218R,DNS05ARE1218R,DNC05ARE1218R,DNM05ARE1218R,DDE05ARE1218R,DD005ARE1218R
At Masters Grade Level,2019,SDA05ARE1319R,RDA05ARE1319R,DDA05ARE1319R,"DDB05ARE1319R
:unselected:",DDH05ARE1319R,DDW05ARE1319R,DDI05ARE1319R,DD305ARE1319R,DD405ARE1319R,DD205ARE1319R,DDS05ARE1319R,DNS05ARE1319R,DNC05ARE1319R,DNM05ARE1319R,DDE05ARE1319R,DD005ARE1319R
,2018,SDA05ARE1318R,RDA05ARE1318R,DDA05ARE1318R,DDB05ARE1318R,DDH05ARE1318R,DDW05ARE1318R,DDI05ARE1318R,DD305ARE1318R,DD405ARE1318R,DD205ARE1318R,DDS05ARE1318R,DNS05ARE1318R,DNC05ARE1318R,DNM05ARE1318R,DDE05ARE1318R,DD005ARE1318R
Grade 5 Mathematics^,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,SDA05AMA1S19R,RDA05AMA1S19R,DDA05AMA1S19R,DDB05AMA1S19R,DDH05AMA1S19R,DDW05AMA1S19R,DDI05AMA1S19R,DD305AMA1S19R,DD405AMA1S19R,DD205AMA1S19R,DDS05AMA1S19R,DNS05AMA1S19R,DNC05AMA1S19R,DNM05AMA1S19R,DDE05AMA1S19R,DD005AMA1S19R
,2018,SDA05AMA1S18R,RDA05AMA1S18R,DDA05AMA1S18R,DDB05AMA1S18R,DDH05AMA1S18R,DDW05AMA1S18R,DDI05AMA1S18R,DD305AMA1S18R,DD405AMA1S18R,DD205AMA1S18R,DDS05AMA1S18R,DNS05AMA1S18R,DNC05AMA1S18R,DNM05AMA1S18R,DDE05AMA1S18R,DD005AMA1S18R
