DISTRICT,DDA00A001221R,DDA00A001321R,DDA00A001S21R,DDA00AC01221R,DDA00AC01321R,DDA00AC01S21R,DDA00AM01221R,DDA00AM01321R,DDA00AM01S21R,DDA00AR01221R,DDA00AR01321R,DDA00AR01S21R,DDA00AS01221R,DDA00AS01321R,DDA00AS01S21R,DDA00AW01221R,DDA00AW01321R,DDA00AW01S21R,DDC00A001221R,DDC00A001321R,DDC00A001S21R,DDC00AC01221R,DDC00AC01321R,DDC00AC01S21R,DDC00AM01221R,DDC00AM01321R,DDC00AM01S21R,DDC00AR01221R,DDC00AR01321R,DDC00AR01S21R,DDC00AS01221R,DDC00AS01321R,DDC00AS01S21R,DDC00AW01221R,DDC00AW01321R,DDC00AW01S21R,DDJ00A001221R,DDJ00A001321R,DDJ00A001S21R,DDJ00AC01221R,DDJ00AC01321R,DDJ00AC01S21R,DDJ00AM01221R,DDJ00AM01321R,DDJ00AM01S21R,DDJ00AR01221R,DDJ00AR01321R,DDJ00AR01S21R,DDJ00AS01221R,DDJ00AS01321R,DDJ00AS01S21R,DDJ00AW01221R,DDJ00AW01321R,DDJ00AW01S21R,DDK00A001221R,DDK00A001321R,DDK00A001S21R,DDK00AC01221R,DDK00AC01321R,DDK00AC01S21R,DDK00AM01221R,DDK00AM01321R,DDK00AM01S21R,DDK00AR01221R,DDK00AR01321R,DDK00AR01S21R,DDK00AS01221R,DDK00AS01321R,DDK00AS01S21R,DDK00AW01221R,DDK00AW01321R,DDK00AW01S21R,DDL00A001221R,DDL00A001321R,DDL00A001S21R,DDL00AC01221R,DDL00AC01321R,DDL00AC01S21R,DDL00AM01221R,DDL00AM01321R,DDL00AM01S21R,DDL00AR01221R,DDL00AR01321R,DDL00AR01S21R,DDL00AS01221R,DDL00AS01321R,DDL00AS01S21R,DDL00AW01221R,DDL00AW01321R,DDL00AW01S21R,DDQ00A001221R,DDQ00A001321R,DDQ00A001S21R,DDQ00AC01221R,DDQ00AC01321R,DDQ00AC01S21R,DDQ00AM01221R,DDQ00AM01321R,DDQ00AM01S21R,DDQ00AR01221R,DDQ00AR01321R,DDQ00AR01S21R,DDQ00AS01221R,DDQ00AS01321R,DDQ00AS01S21R,DDQ00AW01221R,DDQ00AW01321R,DDQ00AW01S21R,DDT00A001221R,DDT00A001321R,DDT00A001S21R,DDT00AC01221R,DDT00AC01321R,DDT00AC01S21R,DDT00AM01221R,DDT00AM01321R,DDT00AM01S21R,DDT00AR01221R,DDT00AR01321R,DDT00AR01S21R,DDT00AS01221R,DDT00AS01321R,DDT00AS01S21R,DDT00AW01221R,DDT00AW01321R,DDT00AW01S21R,DDU00A001221R,DDU00A001321R,DDU00A001S21R,DDU00AC01221R,DDU00AC01321R,DDU00AC01S21R,DDU00AM01221R,DDU00AM01321R,DDU00AM01S21R,DDU00AR01221R,DDU00AR01321R,DDU00AR01S21R,DDU00AS01221R,DDU00AS01321R,DDU00AS01S21R,DDU00AW01221R,DDU00AW01321R,DDU00AW01S21R,DDX00A001221R,DDX00A001321R,DDX00A001S21R,DDX00AC01221R,DDX00AC01321R,DDX00AC01S21R,DDX00AM01221R,DDX00AM01321R,DDX00AM01S21R,DDX00AR01221R,DDX00AR01321R,DDX00AR01S21R,DDX00AS01221R,DDX00AS01321R,DDX00AS01S21R,DDX00AW01221R,DDX00AW01321R,DDX00AW01S21R,DDY00A001221R,DDY00A001321R,DDY00A001S21R,DDY00AC01221R,DDY00AC01321R,DDY00AC01S21R,DDY00AM01221R,DDY00AM01321R,DDY00AM01S21R,DDY00AR01221R,DDY00AR01321R,DDY00AR01S21R,DDY00AS01221R,DDY00AS01321R,DDY00AS01S21R,DDY00AW01221R,DDY00AW01321R,DDY00AW01S21R,DDZ00A001221R,DDZ00A001321R,DDZ00A001S21R,DDZ00AC01221R,DDZ00AC01321R,DDZ00AC01S21R,DDZ00AM01221R,DDZ00AM01321R,DDZ00AM01S21R,DDZ00AR01221R,DDZ00AR01321R,DDZ00AR01S21R,DDZ00AS01221R,DDZ00AS01321R,DDZ00AS01S21R,DDZ00AW01221R,DDZ00AW01321R,DDZ00AW01S21R,DISTNAME,DNB00A001221R,DNB00A001321R,DNB00A001S21R,DNB00AC01221R,DNB00AC01321R,DNB00AC01S21R,DNB00AM01221R,DNB00AM01321R,DNB00AM01S21R,DNB00AR01221R,DNB00AR01321R,DNB00AR01S21R,DNB00AS01221R,DNB00AS01321R,DNB00AS01S21R,DNB00AW01221R,DNB00AW01321R,DNB00AW01S21R,DNE00A001221R,DNE00A001321R,DNE00A001S21R,DNE00AC01221R,DNE00AC01321R,DNE00AC01S21R,DNE00AM01221R,DNE00AM01321R,DNE00AM01S21R,DNE00AR01221R,DNE00AR01321R,DNE00AR01S21R,DNE00AS01221R,DNE00AS01321R,DNE00AS01S21R,DNE00AW01221R,DNE00AW01321R,DNE00AW01S21R,DNN00A001221R,DNN00A001321R,DNN00A001S21R,DNN00AC01221R,DNN00AC01321R,DNN00AC01S21R,DNN00AM01221R,DNN00AM01321R,DNN00AM01S21R,DNN00AR01221R,DNN00AR01321R,DNN00AR01S21R,DNN00AS01221R,DNN00AS01321R,DNN00AS01S21R,DNN00AW01221R,DNN00AW01321R,DNN00AW01S21R,DNT00A001221R,DNT00A001321R,DNT00A001S21R,DNT00AC01221R,DNT00AC01321R,DNT00AC01S21R,DNT00AM01221R,DNT00AM01321R,DNT00AM01S21R,DNT00AR01221R,DNT00AR01321R,DNT00AR01S21R,DNT00AS01221R,DNT00AS01321R,DNT00AS01S21R,DNT00AW01221R,DNT00AW01321R,DNT00AW01S21R
"'228905",31,8,58,44,9,71,28,7,54,38,13,64,20,0,67,11,0,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"APPLE SPRINGS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,8,58,44,9,71,28,7,54,38,13,64,20,0,67,11,0,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'229901",42,17,71,47,17,74,43,20,77,46,21,71,30,10,64,29,6,54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"COLMESNEIL ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,17,71,47,17,74,43,20,77,46,21,71,30,10,64,29,6,54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'229903",35,13,65,33,11,71,36,14,67,36,13,63,33,14,60,27,7,59,24,7,56,24,18,65,29,6,65,19,3,56,25,0,25,17,17,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,7,54,24,18,65,28,6,61,18,3,55,25,0,25,13,13,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,9,63,18,18,82,35,9,70,21,4,54,-1,-1,-1,17,17,33,19,3,44,33,17,33,18,0,55,17,0,58,14,0,14,.,.,.,0,0,17,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,"WOODVILLE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,13,66,34,10,71,36,15,67,37,14,64,33,15,62,28,7,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"'229904",41,16,71,50,21,81,37,15,71,46,18,70,38,18,67,26,5,61,50,17,67,.,.,.,57,14,86,43,29,57,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,13,74,-1,-1,-1,50,13,88,38,25,63,-1,-1,-1,40,0,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,0,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"WARREN ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,13,63,.,.,.,67,17,83,33,17,50,.,.,.,-1,-1,-1,41,16,71,50,22,81,37,15,71,46,18,70,38,18,67,25,5,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"'229905",32,10,63,42,12,80,25,8,60,36,9,63,41,24,71,16,2,42,33,0,47,-1,-1,-1,-1,-1,-1,20,0,40,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,0,47,-1,-1,-1,-1,-1,-1,20,0,40,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SPURGER ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,0,47,-1,-1,-1,-1,-1,-1,20,0,40,-1,-1,-1,-1,-1,-1,32,10,63,41,12,79,24,8,61,36,9,64,41,24,71,17,2,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'229906",40,16,69,49,18,78,34,14,70,41,20,66,50,18,70,33,6,64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"CHESTER ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,16,69,49,18,78,34,14,70,41,20,66,50,18,70,33,6,64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'230901",42,17,71,44,21,75,45,21,78,42,16,68,33,17,59,33,7,69,21,0,52,-1,-1,-1,11,0,44,33,0,47,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,0,52,-1,-1,-1,11,0,44,33,0,47,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,23,0,55,-1,-1,-1,13,0,50,36,0,50,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BIG SANDY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,18,71,45,21,74,46,21,78,42,16,69,34,17,59,33,7,69,58,32,84,60,40,100,60,40,100,67,33,83,-1,-1,-1,.,.,.
"'230902",44,19,69,51,24,78,46,23,73,40,14,65,55,34,76,26,6,54,33,8,62,43,11,71,45,15,78,22,4,50,47,6,76,6,0,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,10,56,32,11,64,38,16,66,23,6,48,44,6,72,13,0,36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,9,50,24,12,60,31,13,58,21,7,45,.,.,.,6,0,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,8,62,43,11,71,45,15,78,22,4,50,47,6,76,6,0,35,48,21,69,-1,-1,-1,78,56,89,40,10,70,-1,-1,-1,50,0,67,"GILMER ISD",24,9,50,24,12,60,31,13,58,21,7,45,.,.,.,6,0,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,20,69,53,25,78,45,23,73,41,15,65,55,35,75,27,6,54,75,33,97,69,38,92,81,51,100,78,20,96,73,33,100,55,18,100
"'230903",35,15,65,46,21,81,29,11,65,37,14,65,46,33,67,19,1,38,13,5,42,10,10,70,23,8,49,10,2,38,-1,-1,-1,0,0,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,5,44,9,9,73,25,8,50,9,2,40,-1,-1,-1,0,0,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,5,42,10,10,70,23,8,49,10,2,38,-1,-1,-1,0,0,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,"ORE CITY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,16,67,48,21,82,29,12,66,39,15,68,48,35,68,21,1,41,43,29,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'230904",33,11,65,23,2,73,25,8,62,43,17,69,27,6,52,39,12,66,8,0,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,0,44,-1,-1,-1,20,0,40,17,0,33,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,0,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,0,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,"UNION HILL ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,11,66,24,2,71,26,8,63,45,17,71,28,7,54,41,13,67,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"'230905",51,23,79,57,26,84,49,24,82,50,22,77,63,31,79,46,14,73,5,0,41,-1,-1,-1,7,0,29,6,0,53,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0,41,-1,-1,-1,7,0,29,6,0,53,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0,41,-1,-1,-1,7,0,29,6,0,53,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HARMONY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,24,80,57,28,85,50,25,83,51,22,78,62,32,79,46,14,74,56,19,91,71,14,100,47,21,89,50,18,86,-1,-1,-1,-1,-1,-1
"'230906",54,25,80,58,23,86,50,22,80,61,28,81,52,32,77,42,14,71,7,0,41,0,0,57,14,0,43,11,0,44,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,0,41,0,0,57,14,0,43,11,0,44,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,0,41,0,0,57,14,0,43,11,0,44,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NEW DIANA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55,25,81,60,24,87,50,23,81,62,29,81,54,33,78,43,14,72,50,21,89,50,33,83,55,18,82,64,21,100,20,20,80,-1,-1,-1
"'230908",55,25,83,62,27,88,55,27,83,57,23,84,56,35,84,35,11,67,47,17,77,-1,-1,-1,56,22,78,36,0,73,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,17,77,-1,-1,-1,56,22,78,36,0,73,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,13,63,.,.,.,33,17,67,33,0,67,.,.,.,-1,-1,-1,64,21,93,-1,-1,-1,-1,-1,-1,40,0,80,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"UNION GROVE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55,25,83,61,27,88,54,27,83,57,23,85,56,35,83,34,10,68,100,40,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'231901",26,9,55,15,1,45,23,10,57,30,10,58,48,23,72,11,0,34,24,2,52,-1,-1,-1,13,7,53,25,0,50,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,4,54,-1,-1,-1,13,6,56,29,6,53,80,0,100,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,2,52,-1,-1,-1,13,7,53,25,0,50,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,"MCCAMEY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,10,55,15,1,47,24,10,57,30,10,58,46,25,68,12,0,35,33,0,67,-1,-1,-1,-1,-1,-1,40,0,80,-1,-1,-1,.,.,.
"'231902",46,15,77,37,11,79,48,17,83,47,16,72,51,19,82,36,10,62,37,12,74,25,25,75,36,0,91,40,7,60,80,40,100,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,11,70,25,25,75,33,0,83,38,6,56,80,40,100,0,0,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,18,94,-1,-1,-1,-1,-1,-1,50,17,83,-1,-1,-1,-1,-1,-1,27,8,62,20,20,60,25,0,88,33,0,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,"RANKIN ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,16,77,38,9,79,50,18,83,48,17,73,49,18,81,41,12,65,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.
"'232901",57,29,86,46,20,83,63,33,90,63,30,86,50,26,78,39,20,83,41,11,59,40,0,40,44,33,67,50,0,70,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,19,63,33,0,50,50,40,70,50,8,67,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,11,59,40,0,40,44,33,67,50,0,70,-1,-1,-1,-1,-1,-1,60,60,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,"KNIPPA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,29,87,48,22,86,63,33,91,63,31,87,52,27,79,38,19,84,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'232902",29,9,60,23,7,66,25,9,61,33,10,57,35,14,70,26,6,43,5,2,26,0,0,14,0,0,33,8,0,38,20,20,20,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,2,26,0,0,14,0,0,33,8,0,38,20,20,20,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,2,26,0,0,14,0,0,33,8,0,38,20,20,20,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SABINAL ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,10,62,25,8,71,26,10,63,34,10,58,35,13,73,29,6,47,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.
"'232903",23,8,49,22,7,51,19,7,44,27,9,51,33,14,61,11,2,37,20,2,41,13,0,38,-1,-1,-1,26,0,37,11,0,56,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,6,38,12,0,41,17,9,40,20,6,39,9,5,41,15,7,29,21,10,46,15,0,54,20,10,45,22,10,44,.,.,.,25,13,47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,7,40,7,0,44,16,7,42,18,8,41,0,0,27,16,8,31,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,23,0,38,-1,-1,-1,.,.,.,30,0,30,-1,-1,-1,.,.,.,26,8,39,29,0,29,24,12,41,31,7,48,-1,-1,-1,0,0,0,"UVALDE CISD",5,1,29,0,0,36,8,0,35,8,3,33,0,0,27,0,0,0,14,0,33,17,0,33,-1,-1,-1,16,0,32,13,0,50,.,.,.,23,8,49,22,7,51,20,7,44,27,9,52,34,14,61,11,1,38,32,7,67,44,11,67,18,3,61,34,5,71,35,13,70,-1,-1,-1
"'232904",41,14,70,49,9,67,28,10,60,51,19,79,37,19,67,34,9,71,25,13,44,-1,-1,-1,20,20,40,33,0,50,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,20,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,13,44,-1,-1,-1,20,20,40,33,0,50,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"UTOPIA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,13,70,48,5,65,28,9,60,50,19,80,40,20,68,33,6,73,60,20,73,-1,-1,-1,-1,-1,-1,83,17,83,-1,-1,-1,-1,-1,-1
