DISTRICT,DD000A001221R,DD000A001321R,DD000A001S21R,DD000AC01221R,DD000AC01321R,DD000AC01S21R,DD000AM01221R,DD000AM01321R,DD000AM01S21R,DD000AR01221R,DD000AR01321R,DD000AR01S21R,DD000AS01221R,DD000AS01321R,DD000AS01S21R,DD000AW01221R,DD000AW01321R,DD000AW01S21R,DD200A001221R,DD200A001321R,DD200A001S21R,DD200AC01221R,DD200AC01321R,DD200AC01S21R,DD200AM01221R,DD200AM01321R,DD200AM01S21R,DD200AR01221R,DD200AR01321R,DD200AR01S21R,DD200AS01221R,DD200AS01321R,DD200AS01S21R,DD200AW01221R,DD200AW01321R,DD200AW01S21R,DD300A001221R,DD300A001321R,DD300A001S21R,DD300AC01221R,DD300AC01321R,DD300AC01S21R,DD300AM01221R,DD300AM01321R,DD300AM01S21R,DD300AR01221R,DD300AR01321R,DD300AR01S21R,DD300AS01221R,DD300AS01321R,DD300AS01S21R,DD300AW01221R,DD300AW01321R,DD300AW01S21R,DD400A001221R,DD400A001321R,DD400A001S21R,DD400AC01221R,DD400AC01321R,DD400AC01S21R,DD400AM01221R,DD400AM01321R,DD400AM01S21R,DD400AR01221R,DD400AR01321R,DD400AR01S21R,DD400AS01221R,DD400AS01321R,DD400AS01S21R,DD400AW01221R,DD400AW01321R,DD400AW01S21R,DDA00A001221R,DDA00A001321R,DDA00A001S21R,DDA00AC01221R,DDA00AC01321R,DDA00AC01S21R,DDA00AM01221R,DDA00AM01321R,DDA00AM01S21R,DDA00AR01221R,DDA00AR01321R,DDA00AR01S21R,DDA00AS01221R,DDA00AS01321R,DDA00AS01S21R,DDA00AW01221R,DDA00AW01321R,DDA00AW01S21R,DDB00A001221R,DDB00A001321R,DDB00A001S21R,DDB00AC01221R,DDB00AC01321R,DDB00AC01S21R,DDB00AM01221R,DDB00AM01321R,DDB00AM01S21R,DDB00AR01221R,DDB00AR01321R,DDB00AR01S21R,DDB00AS01221R,DDB00AS01321R,DDB00AS01S21R,DDB00AW01221R,DDB00AW01321R,DDB00AW01S21R,DDE00A001221R,DDE00A001321R,DDE00A001S21R,DDE00AC01221R,DDE00AC01321R,DDE00AC01S21R,DDE00AM01221R,DDE00AM01321R,DDE00AM01S21R,DDE00AR01221R,DDE00AR01321R,DDE00AR01S21R,DDE00AS01221R,DDE00AS01321R,DDE00AS01S21R,DDE00AW01221R,DDE00AW01321R,DDE00AW01S21R,DDF00A001221R,DDF00A001321R,DDF00A001S21R,DDF00AC01221R,DDF00AC01321R,DDF00AC01S21R,DDF00AM01221R,DDF00AM01321R,DDF00AM01S21R,DDF00AR01221R,DDF00AR01321R,DDF00AR01S21R,DDF00AS01221R,DDF00AS01321R,DDF00AS01S21R,DDF00AW01221R,DDF00AW01321R,DDF00AW01S21R,DDH00A001221R,DDH00A001321R,DDH00A001S21R,DDH00AC01221R,DDH00AC01321R,DDH00AC01S21R,DDH00AM01221R,DDH00AM01321R,DDH00AM01S21R,DDH00AR01221R,DDH00AR01321R,DDH00AR01S21R,DDH00AS01221R,DDH00AS01321R,DDH00AS01S21R,DDH00AW01221R,DDH00AW01321R,DDH00AW01S21R,DDI00A001221R,DDI00A001321R,DDI00A001S21R,DDI00AC01221R,DDI00AC01321R,DDI00AC01S21R,DDI00AM01221R,DDI00AM01321R,DDI00AM01S21R,DDI00AR01221R,DDI00AR01321R,DDI00AR01S21R,DDI00AS01221R,DDI00AS01321R,DDI00AS01S21R,DDI00AW01221R,DDI00AW01321R,DDI00AW01S21R,DDL00A001221R,DDL00A001321R,DDL00A001S21R,DDL00AC01221R,DDL00AC01321R,DDL00AC01S21R,DDL00AM01221R,DDL00AM01321R,DDL00AM01S21R,DDL00AR01221R,DDL00AR01321R,DDL00AR01S21R,DDL00AS01221R,DDL00AS01321R,DDL00AS01S21R,DDL00AW01221R,DDL00AW01321R,DDL00AW01S21R,DDM00A001221R,DDM00A001321R,DDM00A001S21R,DDM00AC01221R,DDM00AC01321R,DDM00AC01S21R,DDM00AM01221R,DDM00AM01321R,DDM00AM01S21R,DDM00AR01221R,DDM00AR01321R,DDM00AR01S21R,DDM00AS01221R,DDM00AS01321R,DDM00AS01S21R,DDM00AW01221R,DDM00AW01321R,DDM00AW01S21R,DDR00A001221R,DDR00A001321R,DDR00A001S21R,DDR00AC01221R,DDR00AC01321R,DDR00AC01S21R,DDR00AM01221R,DDR00AM01321R,DDR00AM01S21R,DDR00AR01221R,DDR00AR01321R,DDR00AR01S21R,DDR00AS01221R,DDR00AS01321R,DDR00AS01S21R,DDR00AW01221R,DDR00AW01321R,DDR00AW01S21R,DDS00A001221R,DDS00A001321R,DDS00A001S21R,DDS00AC01221R,DDS00AC01321R,DDS00AC01S21R,DDS00AM01221R,DDS00AM01321R,DDS00AM01S21R,DDS00AR01221R,DDS00AR01321R,DDS00AR01S21R,DDS00AS01221R,DDS00AS01321R,DDS00AS01S21R,DDS00AW01221R,DDS00AW01321R,DDS00AW01S21R,DDW00A001221R,DDW00A001321R,DDW00A001S21R,DDW00AC01221R,DDW00AC01321R,DDW00AC01S21R,DDW00AM01221R,DDW00AM01321R,DDW00AM01S21R,DDW00AR01221R,DDW00AR01321R,DDW00AR01S21R,DDW00AS01221R,DDW00AS01321R,DDW00AS01S21R,DDW00AW01221R,DDW00AW01321R,DDW00AW01S21R,DISTNAME,DNC00A001221R,DNC00A001321R,DNC00A001S21R,DNC00AC01221R,DNC00AC01321R,DNC00AC01S21R,DNC00AM01221R,DNC00AM01321R,DNC00AM01S21R,DNC00AR01221R,DNC00AR01321R,DNC00AR01S21R,DNC00AS01221R,DNC00AS01321R,DNC00AS01S21R,DNC00AW01221R,DNC00AW01321R,DNC00AW01S21R,DNM00A001221R,DNM00A001321R,DNM00A001S21R,DNM00AC01221R,DNM00AC01321R,DNM00AC01S21R,DNM00AM01221R,DNM00AM01321R,DNM00AM01S21R,DNM00AR01221R,DNM00AR01321R,DNM00AR01S21R,DNM00AS01221R,DNM00AS01321R,DNM00AS01S21R,DNM00AW01221R,DNM00AW01321R,DNM00AW01S21R,DNS00A001221R,DNS00A001321R,DNS00A001S21R,DNS00AC01221R,DNS00AC01321R,DNS00AC01S21R,DNS00AM01221R,DNS00AM01321R,DNS00AM01S21R,DNS00AR01221R,DNS00AR01321R,DNS00AR01S21R,DNS00AS01221R,DNS00AS01321R,DNS00AS01S21R,DNS00AW01221R,DNS00AW01321R,DNS00AW01S21R
"'090903",0,0,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,7,63,40,0,60,38,13,63,22,11,78,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,19,76,47,13,87,53,26,80,46,16,71,57,29,75,32,5,58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,19,78,47,17,90,48,23,78,45,16,77,45,27,64,33,8,67,48,23,72,47,21,79,46,27,75,50,22,69,53,24,71,42,8,67,37,15,73,27,9,100,46,25,79,37,11,63,20,20,80,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,49,15,79,46,8,92,61,24,85,42,10,73,64,36,82,14,0,43,26,6,61,17,4,79,34,9,64,22,5,54,45,18,55,21,0,50,13,5,54,0,0,60,17,8,83,20,7,40,-1,-1,-1,0,0,40,55,22,78,55,17,86,58,27,82,52,18,73,71,33,81,25,8,67,"MCLEAN ISD",46,18,74,44,13,88,51,27,77,43,13,69,61,28,72,31,6,63,55,22,81,54,15,85,58,21,88,56,26,78,50,30,80,-1,-1,-1,0,0,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"'090904",25,10,51,23,9,58,31,16,56,23,8,48,19,6,42,20,7,47,27,8,62,28,0,67,19,8,68,32,9,53,40,10,90,25,17,50,63,42,79,-1,-1,-1,67,67,83,63,38,75,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,15,66,44,16,75,38,18,68,38,13,63,43,19,70,30,8,57,32,13,52,42,21,63,29,16,58,32,11,45,36,7,71,19,6,31,32,12,60,36,13,70,32,15,62,30,10,57,38,16,63,25,7,50,41,15,69,44,12,75,39,17,69,43,15,68,39,13,70,33,8,61,34,13,62,39,15,72,37,17,65,32,10,59,34,14,61,27,6,55,33,0,67,-1,-1,-1,-1,-1,-1,40,0,60,-1,-1,-1,-1,-1,-1,25,10,51,23,9,58,31,16,56,23,8,48,19,6,42,20,7,47,36,15,64,44,20,75,38,18,67,33,11,59,46,25,71,28,8,54,21,7,49,25,7,59,23,10,52,20,5,45,21,8,50,14,5,35,28,13,43,33,12,50,27,14,48,27,11,39,27,11,50,24,20,28,44,18,72,50,18,80,41,19,72,45,17,70,53,25,79,36,10,63,"PAMPA ISD",40,15,67,44,15,75,40,18,69,39,14,64,42,19,70,32,9,59,35,14,64,44,20,75,32,16,65,34,12,62,46,18,69,23,6,51,46,18,80,62,15,92,48,27,79,35,12,82,67,17,83,40,10,60
"'090905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,13,73,-1,-1,-1,30,10,80,42,21,74,.,.,.,60,0,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,11,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,31,11,69,-1,-1,-1,27,13,73,36,14,71,.,.,.,-1,-1,-1,33,0,83,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,17,83,-1,-1,-1,40,0,100,60,40,80,.,.,.,-1,-1,-1,43,14,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,14,71,-1,-1,-1,24,12,76,50,25,75,.,.,.,60,0,60,"GRANDVIEW-HOPKINS ISD",34,12,73,-1,-1,-1,29,12,82,44,19,75,.,.,.,-1,-1,-1,43,14,71,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'091901",32,3,74,0,0,57,64,9,100,38,0,92,-1,-1,-1,-1,-1,-1,64,15,84,57,14,100,65,18,82,70,13,87,-1,-1,-1,60,20,60,54,23,85,-1,-1,-1,-1,-1,-1,60,40,60,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,61,30,86,69,31,92,65,35,90,58,26,82,64,40,84,46,16,76,80,80,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,46,19,74,54,17,87,54,22,83,41,18,70,52,36,72,27,10,56,64,31,88,64,33,92,67,35,91,63,29,86,65,38,82,58,21,85,50,21,82,50,25,75,65,28,95,42,16,82,43,29,57,33,8,67,64,42,89,-1,-1,-1,62,54,85,53,27,87,-1,-1,-1,-1,-1,-1,33,0,67,-1,-1,-1,60,0,100,40,0,80,-1,-1,-1,-1,-1,-1,58,28,84,74,29,92,63,34,90,53,24,78,64,43,87,31,9,66,31,4,69,40,2,81,39,5,81,27,5,59,19,6,61,12,0,41,27,14,53,43,14,57,29,15,67,25,15,45,15,8,54,25,15,40,62,31,86,71,31,94,66,36,90,59,28,82,65,42,86,45,15,76,"BELLS ISD",63,31,86,71,32,93,66,37,91,60,26,82,65,42,85,48,18,80,58,27,84,64,29,89,64,30,89,54,26,82,62,35,82,41,10,68,48,39,74,-1,-1,-1,50,50,67,38,31,69,-1,-1,-1,-1,-1,-1
"'091902",25,9,49,-1,-1,-1,30,10,50,24,10,48,-1,-1,-1,17,17,67,53,13,87,-1,-1,-1,67,17,83,33,17,83,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,13,70,38,13,72,37,12,68,44,16,70,45,19,71,34,6,69,23,15,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,9,62,33,4,63,31,7,61,36,13,59,39,8,69,34,5,71,41,10,67,36,7,57,33,7,63,50,16,75,35,10,65,40,3,63,28,9,53,20,13,53,35,8,52,27,8,52,33,13,60,14,7,50,36,9,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,6,3,25,-1,-1,-1,7,0,29,7,7,27,-1,-1,-1,-1,-1,-1,40,16,71,39,17,82,39,15,72,40,15,65,53,26,76,30,8,73,26,10,52,25,11,61,20,8,48,27,10,48,41,11,63,23,8,54,19,11,36,17,8,50,21,7,36,20,17,34,40,20,60,0,0,18,43,15,74,42,13,76,37,13,72,50,18,75,49,20,73,39,6,75,"COLLINSVILLE ISD",42,14,73,39,17,71,39,11,72,47,17,75,46,23,74,33,5,67,37,12,65,36,7,74,33,13,62,40,14,61,43,13,67,36,7,71,0,0,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"'091903",35,11,65,32,9,63,41,13,67,33,12,64,32,11,68,31,6,63,42,17,72,48,21,76,38,17,74,44,14,71,54,42,75,26,3,66,77,40,97,83,33,100,84,68,100,77,32,95,-1,-1,-1,56,11,89,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,46,21,75,52,26,78,44,21,75,48,19,73,53,31,80,35,8,68,30,10,63,36,15,64,28,15,69,31,6,58,38,10,73,12,5,45,38,15,68,42,18,70,37,16,70,38,14,66,42,22,72,28,6,59,47,21,77,47,21,78,43,19,76,53,23,78,44,24,77,45,11,78,40,14,70,41,15,74,40,14,71,39,15,69,48,24,73,32,4,64,52,29,81,73,47,100,40,23,78,57,30,85,73,45,73,31,15,62,27,8,58,19,3,52,37,8,64,22,10,56,25,7,57,25,7,56,46,20,72,56,30,78,46,22,75,43,16,69,61,37,83,26,5,58,22,6,55,27,6,58,22,7,58,21,5,52,29,12,61,14,1,46,24,9,43,28,11,50,24,9,45,22,7,39,33,15,57,18,7,31,52,24,78,57,31,82,49,24,78,53,24,78,56,35,84,40,10,71,"DENISON ISD",49,22,77,54,27,80,47,21,78,50,21,75,55,32,83,35,8,68,41,18,69,45,22,73,38,18,69,41,16,69,46,27,71,36,9,65,40,23,73,42,17,75,43,23,82,44,31,72,40,40,70,21,4,50
"'091905",31,9,61,46,18,75,35,6,65,28,10,58,22,11,78,21,0,41,60,21,82,80,40,95,57,18,80,56,16,78,86,36,93,25,8,75,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,23,81,70,32,91,48,19,80,53,23,81,61,35,86,38,9,69,14,0,50,-1,-1,-1,13,0,47,11,0,61,-1,-1,-1,-1,-1,-1,43,16,72,58,19,85,38,14,71,43,18,71,52,32,81,33,7,59,52,20,82,70,29,92,43,16,78,54,22,84,62,29,84,42,10,73,43,16,76,60,24,88,35,13,76,42,17,75,55,30,82,39,7,63,50,27,65,-1,-1,-1,50,25,63,50,38,75,-1,-1,-1,-1,-1,-1,19,4,47,33,6,61,18,2,52,18,5,42,17,17,67,11,0,26,54,25,81,71,34,89,52,23,81,52,25,79,60,38,88,33,8,65,30,11,63,52,21,80,26,8,63,30,12,61,34,16,75,15,1,40,23,9,49,31,10,66,23,9,50,23,10,47,32,12,60,9,3,22,57,26,85,75,35,93,53,23,83,59,27,85,61,37,90,38,9,73,"HOWE ISD",56,25,85,76,39,96,50,21,83,58,25,84,61,35,88,40,10,74,46,17,73,59,15,79,44,16,72,43,19,73,59,33,83,33,7,58,55,21,91,-1,-1,-1,57,24,95,57,29,90,-1,-1,-1,25,0,75
"'091906",26,8,57,29,9,67,27,9,60,27,8,55,23,9,53,20,3,47,34,11,64,43,15,80,27,9,60,39,14,65,31,9,67,28,4,54,44,22,67,49,27,69,45,19,70,44,26,65,44,28,64,30,3,68,22,0,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,36,13,65,43,16,75,32,11,64,39,14,64,41,20,68,27,4,55,21,5,50,27,4,60,16,5,45,26,6,52,23,7,53,15,2,43,31,10,60,36,12,70,27,9,60,33,10,59,34,15,62,23,4,50,38,13,68,42,15,75,32,10,66,44,15,69,37,16,68,33,6,62,31,9,61,34,11,70,29,9,62,33,10,60,33,17,61,24,4,51,42,13,62,38,10,71,54,14,62,38,15,60,36,18,64,33,0,44,21,6,51,24,7,62,23,8,55,20,5,48,13,3,42,14,3,37,35,13,62,45,17,74,33,13,63,34,12,60,45,24,68,22,3,49,21,6,51,26,7,62,19,6,51,23,5,50,28,11,55,13,2,38,20,5,35,24,6,47,19,6,35,18,4,32,32,8,48,17,4,24,49,20,76,62,28,86,42,17,74,51,21,74,61,30,82,36,7,64,"SHERMAN ISD",38,13,66,44,17,75,34,12,66,40,14,65,43,20,70,28,5,56,33,12,61,42,13,72,26,10,58,36,13,62,35,22,60,25,3,53,26,9,58,33,4,67,25,10,60,28,10,59,18,9,55,21,3,45
"'091907",31,8,68,33,0,58,32,11,64,34,14,76,33,0,67,10,0,70,50,13,83,-1,-1,-1,40,20,80,44,0,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,18,79,51,14,83,44,17,78,52,21,80,73,39,95,25,5,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,38,10,72,42,8,83,30,10,71,41,6,70,67,31,94,17,2,54,49,18,80,44,9,84,41,15,75,58,24,83,71,29,96,29,8,71,48,15,79,41,11,81,44,13,75,56,16,80,76,29,88,18,5,73,60,10,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,6,63,20,0,50,29,4,63,36,12,72,-1,-1,-1,13,0,63,47,19,78,57,18,83,47,20,81,46,17,76,75,48,94,20,0,58,28,4,63,32,2,64,21,7,63,34,4,64,52,7,90,8,0,45,22,5,50,28,11,50,24,5,61,22,2,44,20,0,60,0,0,33,48,19,79,53,15,84,44,18,78,51,22,79,73,41,96,25,5,63,"TIOGA ISD",49,19,80,53,15,83,45,18,80,53,20,81,73,38,94,28,5,63,46,18,78,46,13,83,41,15,73,50,21,78,73,39,95,20,4,69,38,15,92,-1,-1,-1,60,20,80,20,0,100,.,.,.,.,.,.
"'091908",33,12,57,50,23,73,42,18,62,26,7,54,17,0,50,17,0,33,65,41,89,78,48,91,60,38,93,60,33,86,83,65,91,54,31,77,67,42,83,63,50,88,73,45,82,62,38,77,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64,34,87,75,54,93,63,33,87,64,30,86,72,43,89,50,14,82,33,15,74,40,20,100,21,7,64,35,24,76,-1,-1,-1,43,14,71,45,20,71,59,36,83,45,21,72,42,14,69,48,23,69,31,10,63,65,34,88,74,51,95,60,32,87,67,34,88,69,38,85,52,17,83,52,24,76,71,47,88,53,22,77,49,19,75,65,35,74,31,7,70,70,53,80,83,83,100,78,56,89,64,36,73,-1,-1,-1,-1,-1,-1,27,8,50,44,13,69,36,13,54,20,5,46,0,0,38,17,0,33,64,33,86,75,56,92,66,34,87,60,26,84,74,47,93,48,12,80,44,18,74,48,18,80,46,21,76,45,18,74,40,20,63,38,11,69,30,14,56,38,18,70,28,13,56,31,16,54,31,16,66,20,4,41,68,35,90,76,55,94,66,35,90,68,32,89,73,43,93,55,15,86,"VAN ALSTYNE ISD",66,34,88,76,56,94,65,34,89,65,30,86,75,42,91,51,15,84,60,32,84,72,47,92,57,30,83,60,29,84,65,44,86,47,14,78,63,28,92,69,38,100,78,35,96,56,19,93,70,40,100,17,0,50
"'091909",35,13,67,24,4,80,48,20,70,32,14,65,23,0,46,23,8,62,45,15,74,38,8,69,50,15,76,41,15,73,56,33,67,43,14,86,70,20,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,19,78,51,16,84,44,18,77,49,20,77,61,37,84,32,7,68,25,0,60,-1,-1,-1,-1,-1,-1,25,0,38,-1,-1,-1,-1,-1,-1,38,15,71,39,13,80,34,13,68,40,16,70,49,30,75,29,7,64,47,20,79,44,13,82,41,16,75,53,24,79,57,35,87,36,9,76,42,16,74,38,19,79,44,17,77,40,15,72,53,24,71,31,7,69,47,26,76,50,38,88,42,17,83,46,23,69,-1,-1,-1,-1,-1,-1,27,7,61,22,0,78,43,13,67,23,8,58,0,0,22,0,0,44,48,19,77,57,19,86,47,20,78,46,17,76,65,39,81,28,6,62,23,6,58,27,5,72,23,6,59,24,6,56,26,11,54,11,5,41,22,6,41,25,7,50,19,5,42,22,4,36,25,13,54,24,8,36,49,21,79,55,16,86,44,18,76,52,22,79,63,40,87,32,7,67,"WHITESBORO ISD",49,21,79,54,18,85,45,19,77,50,21,78,63,38,86,36,8,68,43,16,76,44,11,80,42,14,77,45,19,73,57,33,78,21,5,70,47,9,85,20,0,100,50,11,94,50,10,80,-1,-1,-1,17,0,50
"'091910",46,18,79,50,17,83,60,40,80,37,4,81,-1,-1,-1,25,0,63,46,21,79,63,25,88,37,26,89,52,19,71,-1,-1,-1,29,0,57,100,60,100,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,28,84,56,31,87,57,30,88,53,24,80,76,51,94,43,11,74,33,9,81,22,22,56,39,6,89,33,10,81,-1,-1,-1,-1,-1,-1,48,21,78,42,20,74,51,25,82,45,15,75,69,40,90,37,10,68,60,30,87,61,31,90,57,28,88,61,29,86,76,48,94,50,18,79,54,24,85,47,12,94,66,32,89,44,16,81,83,58,100,25,8,67,77,68,95,100,100,100,80,60,100,88,75,88,-1,-1,-1,-1,-1,-1,46,18,79,50,17,83,60,40,80,37,4,81,-1,-1,-1,25,0,63,52,26,81,52,30,84,58,31,87,46,20,75,76,53,93,33,3,68,32,9,68,25,5,69,43,15,80,25,5,60,52,21,82,13,0,42,22,9,49,22,6,56,20,9,66,17,10,31,67,11,78,11,11,22,58,29,84,57,31,87,58,31,87,55,26,80,77,52,92,49,14,75,"WHITEWRIGHT ISD",57,29,85,58,34,88,59,29,87,53,24,81,83,59,96,44,13,73,53,26,82,51,23,84,53,33,88,55,24,77,58,27,88,40,8,76,42,19,72,0,0,80,53,33,80,47,20,73,-1,-1,-1,43,0,43
"'091913",6,3,32,-1,-1,-1,0,0,25,14,7,36,-1,-1,-1,0,0,50,40,19,64,54,23,77,28,15,55,47,22,61,67,67,83,32,0,74,75,50,88,-1,-1,-1,60,40,80,100,50,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,19,76,45,17,83,39,16,73,52,22,76,58,33,84,35,11,71,20,10,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,30,11,65,30,12,81,24,6,60,36,14,63,43,20,75,19,6,55,45,19,76,40,15,81,37,13,70,54,24,80,54,26,88,38,14,72,38,15,71,28,6,89,30,11,64,42,18,69,71,29,88,26,13,65,60,22,85,80,20,80,44,11,78,65,39,87,60,0,100,-1,-1,-1,6,3,32,-1,-1,-1,0,0,25,14,7,36,-1,-1,-1,0,0,50,47,20,76,50,19,85,42,19,77,49,19,73,61,38,82,33,8,70,22,8,53,19,7,65,16,8,47,28,9,54,25,11,60,20,10,45,25,11,40,29,7,43,24,13,43,29,9,40,22,22,33,13,13,26,47,19,77,45,17,84,41,16,75,52,21,77,56,34,83,36,12,71,"POTTSBORO ISD",48,20,79,47,19,83,41,17,76,54,22,79,60,34,86,38,12,75,40,17,71,40,12,85,36,14,67,45,21,69,52,33,80,30,10,63,40,15,74,43,14,100,41,12,82,44,28,67,-1,-1,-1,38,0,63
"'091914",29,10,68,50,33,83,39,13,74,22,4,65,-1,-1,-1,0,0,29,53,20,83,75,13,88,45,25,80,56,12,80,50,25,100,40,40,80,57,21,100,-1,-1,-1,80,40,100,40,0,100,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,17,72,59,21,82,38,14,68,43,17,69,57,29,90,32,11,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,12,62,49,20,73,30,9,59,34,12,61,45,14,83,25,9,50,46,18,75,56,20,80,39,15,68,50,20,75,56,18,90,39,13,74,38,13,68,36,9,73,42,13,69,39,15,66,38,23,77,29,7,64,63,25,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,26,7,66,40,20,80,36,9,73,23,5,64,-1,-1,-1,0,0,29,41,17,69,62,22,85,38,14,67,37,14,63,59,40,90,24,8,58,22,4,56,40,8,77,19,3,50,22,4,53,27,8,80,7,0,45,15,5,35,20,8,48,17,4,34,14,5,31,15,5,50,9,5,27,44,18,72,61,23,83,37,14,66,43,18,69,59,30,91,33,11,67,"S AND S CISD",44,18,72,59,21,82,41,16,68,43,18,71,60,32,88,28,10,66,43,14,71,58,21,83,34,10,66,44,15,66,52,23,94,38,13,69,66,38,90,80,20,100,56,44,67,70,40,100,-1,-1,-1,-1,-1,-1
"'091917",19,6,51,17,0,50,21,5,54,19,9,51,-1,-1,-1,18,0,55,67,21,95,88,38,100,50,13,100,73,20,93,55,18,91,.,.,.,86,57,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,25,84,64,32,87,49,20,82,62,28,86,56,32,85,51,13,77,60,20,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,35,13,67,33,16,69,31,7,64,42,18,70,27,12,73,35,9,60,59,27,85,64,31,84,44,19,79,68,33,89,60,34,85,65,15,85,38,17,70,37,19,67,31,14,64,41,20,72,43,23,83,40,10,65,42,8,58,-1,-1,-1,-1,-1,-1,40,0,60,-1,-1,-1,-1,-1,-1,10,1,42,0,0,44,12,0,50,13,3,37,.,.,.,0,0,29,55,24,84,64,33,90,53,22,84,57,23,84,52,30,84,39,11,71,32,7,66,43,11,76,21,9,60,39,6,66,35,7,79,10,0,35,22,6,50,10,0,65,23,10,52,24,5,43,23,8,54,25,6,50,63,28,88,70,34,91,54,23,87,69,31,91,60,35,85,55,14,82,"GUNTER ISD",56,24,85,63,32,87,50,19,82,59,27,87,54,26,85,51,9,80,59,28,83,66,31,87,47,23,80,67,30,86,59,39,85,51,20,73,52,9,78,-1,-1,-1,43,14,86,63,13,75,-1,-1,-1,-1,-1,-1
