,year,zipcode,DISTRICT,distname,area,median_ppsf,graduate_rate,Average 4yr Graduation Rate,grad_rate_change,Year-over-year change%,Rolling 4-yr Change%,Average 4yr PPSF,home_price_change_1_lag,home_price_change_2_lag,home_price_change_3_lag,scale_median_ppsf,scale_graduate_rate
7097,2018,77963,88902.0,GOLIAD ISD,2972.0000000000005,115.07402422611035,100.0,,,-5.66893293052757,8.545490274283774,111.38617981488956,-6.837384113077027,-1.4492154884012898,,-0.11059006081651887,0.6652189457321076
7098,2019,77963,88902.0,GOLIAD ISD,1857.736536479707,110.6184843569958,100.0,99.275,,-3.8718902020492663,7.955644018056174,112.53716083228254,1.0333247978391746,-5.874711700801805,-0.4308657935778948,-0.1818287859128234,0.6652189457321076
7099,2020,77963,88902.0,GOLIAD ISD,2428.4463512795205,107.41435562805871,99.0,99.275,0.0,-2.896558154418827,-11.947888734080625,113.77409825174409,1.099136863160255,2.1438193147686357,-4.840145959549447,-0.23305895159402096,0.5923202641114089
7100,2021,77963,88902.0,GOLIAD ISD,2190.771992818672,125.5265271335617,97.8,99.2,-0.07554772097708717,16.861965423150327,9.083286152323211,114.65834783618163,0.7771976205700026,1.8848769492775475,2.9376786480423522,0.05653289242062224,0.5048418461665702
7101,2015,77968,120905.0,INDUSTRIAL ISD,2002.1256038647343,129.86198243412798,96.7,,,5.951341787491415,20.31084308090825,112.09721959209591,,,,0.12585160965740352,0.42465329638380217
7102,2016,77968,120905.0,INDUSTRIAL ISD,988.8813868786672,231.8276014109348,100.0,,,78.51845248745413,163.37877252978888,143.06944027909145,27.62978493106123,,,1.7561592520412237,0.6652189457321076
7103,2017,77968,120905.0,INDUSTRIAL ISD,1930.7692307692307,130.0,100.0,,,-43.92384719990111,6.063947078280041,153.5642878531576,7.33549215932725,36.99205779764547,,0.12805834458121687,0.6652189457321076
7104,2018,77968,120905.0,INDUSTRIAL ISD,2624.77030962887,146.6795012834617,97.6,98.575,,12.83038560266283,12.95030195451108,159.59227128213112,3.9253810330808436,11.548819210313477,42.36951805126141,0.3947435144105062,0.49026210984243035
7105,2019,77968,120905.0,INDUSTRIAL ISD,1737.4044206824665,151.01291148835617,100.0,99.4,0.83692619832616,2.954339336428524,-34.859822312239466,164.88000354568817,3.3132759005661816,7.368715637421497,15.24473935457491,0.46402953302655037,0.6652189457321076
7106,2020,77968,120905.0,INDUSTRIAL ISD,2472.962818003914,161.70886075949366,100.0,99.4,0.0,7.082804487192607,24.39143135345667,147.35031838282788,-10.631783591636578,-7.670768014612451,-4.046493854268829,0.635044900895317,0.6652189457321076
