,year,zipcode,DISTRICT,distname,area,median_ppsf,graduate_rate,Average 4yr Graduation Rate,grad_rate_change,Year-over-year change%,Rolling 4-yr Change%,Average 4yr PPSF,home_price_change_1_lag,home_price_change_2_lag,home_price_change_3_lag,scale_median_ppsf,scale_graduate_rate
5219,2021,77071,57804.0,TEXANS CAN ACADEMIES,1939.615384615385,108.26888756692443,13.5,28.25,-25.608953258722845,12.928708192429639,40.620023814735816,90.03943554391611,9.980725819155477,19.97029109041597,25.043919353989196,-0.21939601339412898,-5.640517014458327
5241,2015,77073,14801.0,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),1879.6643146872125,69.13468483952384,44.2,,,8.0037409826339,48.75877013745822,58.6990401440469,,,,-0.8451048594277231,-3.402527488702878
5242,2016,77073,14801.0,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),1918.0912480720149,75.8566622658075,36.5,,,9.72301738539314,37.481919487192464,66.04461596690902,12.513962417164137,,,-0.7376285229922576,-3.9638473371822576
5243,2017,77073,14801.0,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),1886.4723782627295,79.4869841338946,35.8,,,4.7857653627919605,24.17633299139532,72.12242776001986,9.202584804423818,22.868155225421226,,-0.6795840414773487,-4.014876414316746
5244,2018,77073,14801.0,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),1977.0990555555557,82.94930875576037,30.3,36.7,,4.355838455304251,19.982189762350377,76.85690999874657,6.564507582135515,16.37119676379819,30.933844591224037,-0.624225633927002,-4.415819163230589
5245,2019,77073,14801.0,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),1940.3130625186936,88.38779850163881,28.8,32.85,-10.49046321525886,6.556401526975675,16.519493293708678,81.67018841427532,6.262648882979094,13.238268525880281,23.65911621803558,-0.5372707222155512,-4.525167185661638
5246,2020,77073,14801.0,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),1902.625,97.75967413441956,27.7,30.65,-6.697108066971092,10.603132775851387,22.988279401499124,87.14594138142832,6.704714502894271,13.387256113795809,20.83057113856135,-0.3874256997372536,-4.605355735444405
5247,2021,77073,14801.0,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),1944.0824654516323,116.7645941126604,20.6,26.849999999999998,-12.398042414355626,19.440449394408876,40.766205124707255,96.46534387611979,10.694017813063095,18.11573567921192,25.51290948034861,-0.08355988109826096,-5.122936374951365
5268,2021,77074,101838.0,SOUTHWEST SCHOOL,1705.6967248564026,128.349311345738,73.6,80.29999999999998,-3.601440576230508,9.604342153848823,39.340567154649484,112.11218174427557,9.661293545798921,18.141598565768646,29.007652981685837,0.10166581781342714,-1.2593062490543376
5396,2016,77081,101811.0,EXCEL ACADEMY,2048.8403481178298,141.7143118382701,40.0,,,-18.298340308139537,5.641577915801355,147.54676889900014,2.1678056509580212,,,0.31535610540335285,-3.7087019515098123
5397,2017,77081,101811.0,EXCEL ACADEMY,1989.858062956822,183.6560641199512,27.8,,,29.595989097803077,30.369938473880854,159.92419956313427,8.388818512594343,10.738477445316995,,0.9859542929683891,-4.598065867282336
5398,2018,77081,101811.0,EXCEL ACADEMY,1895.694043454008,127.78960868527798,22.5,,,-30.41906386395452,-26.32626171959368,156.65334776619977,-2.0452513164796127,6.171994775048817,8.473597277517175,0.0927168452679061,-4.984428879872039
5399,2019,77081,101811.0,EXCEL ACADEMY,2496.0,144.23076923076923,26.7,29.25,,12.865803968445322,1.7757256552683343,149.34768846856713,-4.663583256794556,-6.613452575319457,1.2205754033148386,0.35559123328167974,-4.678254417065104
5400,2020,77081,101811.0,EXCEL ACADEMY,2414.3105320304016,151.18187787261982,21.4,24.599999999999998,-15.897435897435908,4.819435325016408,-17.68206587838097,151.71457997715456,1.5848196465964026,-3.152672993887229,-5.133444224455063,0.4667311023431026,-5.064617429654808
5401,2021,77081,101811.0,EXCEL ACADEMY,1547.0,109.89010989010988,20.3,22.725,-7.62195121951218,-27.312643925021774,-14.007006500232134,133.27309141969423,-12.155383194045877,-10.7632044484278,-14.924836704670907,-0.19347461782947606,-5.144805979437576
5597,2021,77092,101838.0,SOUTHWEST SCHOOL,1538.5333333333333,178.74165872259294,73.6,80.29999999999998,-3.601440576230508,12.187472917930497,28.706338834049316,157.84240456126457,5.784213521505177,8.682308640134572,12.854539050141112,0.9073788598225572,-1.2593062490543376
5927,2015,77358,236801.0,RAVEN SCHOOL,1799.1947844483298,101.15636259795237,69.4,,,-22.60972073384422,19.711671713553102,99.2855304793862,,,,-0.3331167354367074,-1.565480711861271
5928,2016,77358,236801.0,RAVEN SCHOOL,1426.2420930232558,127.2189349112426,67.5,,,25.76463965680178,57.49523939411401,109.96526420719684,10.756586258083178,,,0.08359245780815334,-1.703988206940599
5929,2017,77358,236801.0,RAVEN SCHOOL,1687.3353134783656,90.37919065750371,70.1,,,-28.957752459915685,-30.854860483339152,112.36596975160532,2.1831489804681192,13.174567541777815,,-0.5054307561243513,-1.514451634726783
5930,2018,77358,236801.0,RAVEN SCHOOL,1739.514910747493,268.034494627957,57.1,66.025,,196.56660197775676,164.9704751576176,146.69724569866392,30.553090070731237,33.403258525580036,47.752895099977756,2.335063938846615,-2.462134495795865
5931,2019,77358,236801.0,RAVEN SCHOOL,1347.9655172413795,114.98810467882632,52.5,61.8,-6.399091253313149,-57.099512568919685,-9.61400143850396,150.1551812188824,2.3571918502965916,33.6304768701889,36.547829263575096,-0.11196381106658289,-2.7974684312510787
5932,2020,77358,236801.0,RAVEN SCHOOL,2553.6,164.47368421052633,60.0,59.925,-3.033980582524276,43.03539019963705,81.9818068893837,159.46886854370334,6.20270792470643,8.70610950070192,41.91918504883911,0.6792511034103613,-2.250728319095839
5933,2021,77358,236801.0,RAVEN SCHOOL,1875.1764705882356,167.98418972332016,63.6,58.3,-2.7117229870671666,2.134387351778644,-37.327398864653894,178.87011831015744,12.166167568397256,19.123507333001744,21.931476939642724,0.7353798654731907,-1.9882930652613235
5971,2017,77375,101842.0,COMQUEST ACADEMY,2196.459755904069,104.63883956089114,62.5,,,5.298328045518619,11.376946653827314,98.91551271523446,5.3407497471850585,12.84819291219106,,-0.2774361161840935,-2.0684816150440923
5972,2018,77375,101842.0,COMQUEST ACADEMY,2350.455882352941,112.95681063122925,40.0,72.525,,7.9492195299984525,15.616761333190432,103.667170889056,4.8037542781595555,10.401060519810823,18.269142807036197,-0.14444176042792142,-3.7087019515098123
6246,2015,77445,227806.0,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,1560.0,157.05128205128204,28.1,,,113.82215897993922,131.03866361309443,92.78330275463027,,,,0.5605758176965112,-4.576196262796127
6247,2016,77445,227806.0,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,1606.6728110599074,90.8710217755444,46.4,,,-42.13926776740846,25.069793411501973,98.50701057946875,6.168898557076696,,,-0.49756696793231076,-3.2421503891373407
