City_1,State,Zip5,Zip4,District_N,District_1
EULESS,TX,76039, ,HURST-EULESS-BEDFORD ISD,220916
CARROLLTON,TX,75010,4066,LEWISVILLE ISD,61902
DALLAS,TX,75211, ,DALLAS ISD,57905
ARCHER CITY,TX,76351,926,ARCHER CITY ISD,5901
ARCHER CITY,TX,76351,926,ARCHER CITY ISD,5901
AMARILLO,TX,79109,7301,CANYON ISD,191901
ARGYLE,TX,76226,989,ARGYLE ISD,61910
ARGYLE,TX,76226, ,ARGYLE ISD,61910
ARGYLE,TX,76226, ,ARGYLE ISD,61910
ARGYLE,TX,76226, ,ARGYLE ISD,61910
KATY,TX,77493, ,ARISTOI CLASSICAL ACADEMY,101803
KATY,TX,77493, ,ARISTOI CLASSICAL ACADEMY,101803
KATY,TX,77493,1971,ARISTOI CLASSICAL ACADEMY,101803
HOUSTON,TX,77083,5831,FORT BEND ISD,79907
ARLINGTON,TX,76017, ,ARLINGTON CLASSICS ACADEMY,220802
ARLINGTON,TX,76017, ,ARLINGTON CLASSICS ACADEMY,220802
ARLINGTON,TX,76016, ,ARLINGTON CLASSICS ACADEMY,220802
ARLINGTON,TX,76016, ,ARLINGTON ISD,220901
ARLINGTON,TX,76018, ,ARLINGTON ISD,220901
ARLINGTON,TX,76013,3996,ARLINGTON ISD,220901
FORT WORTH,TX,76107,5499,FORT WORTH ISD,220905
DALLAS,TX,75235, ,DALLAS ISD,57905
NEW BRAUNFELS,TX,78130,3240,COMAL ISD,46902
HOUSTON,TX,77089, ,CLEAR CREEK ISD,84910
HOUSTON,TX,77059,5299,CLEAR CREEK ISD,84910
EAGLE PASS,TX,78852,5604,EAGLE PASS ISD,159901
KYLE,TX,78640, ,HAYS CISD,105906
WESLACO,TX,78596,7905,WESLACO ISD,108913
EL PASO,TX,79930,1035,EL PASO ISD,71902
CONROE,TX,77301,4237,CONROE ISD,170902
DALLAS,TX,75205,2819,HIGHLAND PARK ISD,57911
PLANO,TX,75074,4001,PLANO ISD,43910
SAN ANTONIO,TX,78213,3907,SAN ANTONIO ISD,15907
CYPRESS,TX,77429,3390,CYPRESS-FAIRBANKS ISD,101907
SAN JUAN,TX,78589,1225,PHARR-SAN JUAN-ALAMO ISD,108909
NEW LONDON,TX,75682,168,WEST RUSK COUNTY CONSOLIDATED ISD,201914
ARP,TX,75750,70,ARP ISD,212901
ARP,TX,75750,70,ARP ISD,212901
ARP,TX,75750,70,ARP ISD,212901
HOUSTON,TX,77068, ,ARROW ACADEMY,21805
HOUSTON,TX,77060, ,ARROW ACADEMY,21805
MEADOWS PLACE,TX,77477, ,ARROW ACADEMY,21805
BRYAN,TX,77803, ,ARROW ACADEMY,21805
LEAGUE CITY,TX,77573, ,CLEAR CREEK ISD,84910
MCKINNEY,TX,75070,3211,MCKINNEY ISD,43907
DALLAS,TX,75230,3168,DALLAS ISD,57905
BRYAN,TX,77803, ,BRYAN ISD,21902
KATY,TX,77493,1751,KATY ISD,101914
