DISTRICT,DD000A001222R,DD000A001322R,DD000A001S22R,DD000AC01222R,DD000AC01322R,DD000AC01S22R,DD000AM01222R,DD000AM01322R,DD000AM01S22R,DD000AR01222R,DD000AR01322R,DD000AR01S22R,DD000AS01222R,DD000AS01322R,DD000AS01S22R,DD200A001222R,DD200A001322R,DD200A001S22R,DD200AC01222R,DD200AC01322R,DD200AC01S22R,DD200AM01222R,DD200AM01322R,DD200AM01S22R,DD200AR01222R,DD200AR01322R,DD200AR01S22R,DD200AS01222R,DD200AS01322R,DD200AS01S22R,DD300A001222R,DD300A001322R,DD300A001S22R,DD300AC01222R,DD300AC01322R,DD300AC01S22R,DD300AM01222R,DD300AM01322R,DD300AM01S22R,DD300AR01222R,DD300AR01322R,DD300AR01S22R,DD300AS01222R,DD300AS01322R,DD300AS01S22R,DD400A001222R,DD400A001322R,DD400A001S22R,DD400AC01222R,DD400AC01322R,DD400AC01S22R,DD400AM01222R,DD400AM01322R,DD400AM01S22R,DD400AR01222R,DD400AR01322R,DD400AR01S22R,DD400AS01222R,DD400AS01322R,DD400AS01S22R,DDA00A001222R,DDA00A001322R,DDA00A001S22R,DDA00AC01222R,DDA00AC01322R,DDA00AC01S22R,DDA00AM01222R,DDA00AM01322R,DDA00AM01S22R,DDA00AR01222R,DDA00AR01322R,DDA00AR01S22R,DDA00AS01222R,DDA00AS01322R,DDA00AS01S22R,DDB00A001222R,DDB00A001322R,DDB00A001S22R,DDB00AC01222R,DDB00AC01322R,DDB00AC01S22R,DDB00AM01222R,DDB00AM01322R,DDB00AM01S22R,DDB00AR01222R,DDB00AR01322R,DDB00AR01S22R,DDB00AS01222R,DDB00AS01322R,DDB00AS01S22R,DDE00A001222R,DDE00A001322R,DDE00A001S22R,DDE00AC01222R,DDE00AC01322R,DDE00AC01S22R,DDE00AM01222R,DDE00AM01322R,DDE00AM01S22R,DDE00AR01222R,DDE00AR01322R,DDE00AR01S22R,DDE00AS01222R,DDE00AS01322R,DDE00AS01S22R,DDF00A001222R,DDF00A001322R,DDF00A001S22R,DDF00AC01222R,DDF00AC01322R,DDF00AC01S22R,DDF00AM01222R,DDF00AM01322R,DDF00AM01S22R,DDF00AR01222R,DDF00AR01322R,DDF00AR01S22R,DDF00AS01222R,DDF00AS01322R,DDF00AS01S22R,DDH00A001222R,DDH00A001322R,DDH00A001S22R,DDH00AC01222R,DDH00AC01322R,DDH00AC01S22R,DDH00AM01222R,DDH00AM01322R,DDH00AM01S22R,DDH00AR01222R,DDH00AR01322R,DDH00AR01S22R,DDH00AS01222R,DDH00AS01322R,DDH00AS01S22R,DDI00A001222R,DDI00A001322R,DDI00A001S22R,DDI00AC01222R,DDI00AC01322R,DDI00AC01S22R,DDI00AM01222R,DDI00AM01322R,DDI00AM01S22R,DDI00AR01222R,DDI00AR01322R,DDI00AR01S22R,DDI00AS01222R,DDI00AS01322R,DDI00AS01S22R,DDL00A001222R,DDL00A001322R,DDL00A001S22R,DDL00AC01222R,DDL00AC01322R,DDL00AC01S22R,DDL00AM01222R,DDL00AM01322R,DDL00AM01S22R,DDL00AR01222R,DDL00AR01322R,DDL00AR01S22R,DDL00AS01222R,DDL00AS01322R,DDL00AS01S22R,DDM00A001222R,DDM00A001322R,DDM00A001S22R,DDM00AC01222R,DDM00AC01322R,DDM00AC01S22R,DDM00AM01222R,DDM00AM01322R,DDM00AM01S22R,DDM00AR01222R,DDM00AR01322R,DDM00AR01S22R,DDM00AS01222R,DDM00AS01322R,DDM00AS01S22R,DDR00A001222R,DDR00A001322R,DDR00A001S22R,DDR00AC01222R,DDR00AC01322R,DDR00AC01S22R,DDR00AM01222R,DDR00AM01322R,DDR00AM01S22R,DDR00AR01222R,DDR00AR01322R,DDR00AR01S22R,DDR00AS01222R,DDR00AS01322R,DDR00AS01S22R,DDS00A001222R,DDS00A001322R,DDS00A001S22R,DDS00AC01222R,DDS00AC01322R,DDS00AC01S22R,DDS00AM01222R,DDS00AM01322R,DDS00AM01S22R,DDS00AR01222R,DDS00AR01322R,DDS00AR01S22R,DDS00AS01222R,DDS00AS01322R,DDS00AS01S22R,DDW00A001222R,DDW00A001322R,DDW00A001S22R,DDW00AC01222R,DDW00AC01322R,DDW00AC01S22R,DDW00AM01222R,DDW00AM01322R,DDW00AM01S22R,DDW00AR01222R,DDW00AR01322R,DDW00AR01S22R,DDW00AS01222R,DDW00AS01322R,DDW00AS01S22R,DISTNAME,DNC00A001222R,DNC00A001322R,DNC00A001S22R,DNC00AC01222R,DNC00AC01322R,DNC00AC01S22R,DNC00AM01222R,DNC00AM01322R,DNC00AM01S22R,DNC00AR01222R,DNC00AR01322R,DNC00AR01S22R,DNC00AS01222R,DNC00AS01322R,DNC00AS01S22R,DNM00A001222R,DNM00A001322R,DNM00A001S22R,DNM00AC01222R,DNM00AC01322R,DNM00AC01S22R,DNM00AM01222R,DNM00AM01322R,DNM00AM01S22R,DNM00AR01222R,DNM00AR01322R,DNM00AR01S22R,DNM00AS01222R,DNM00AS01322R,DNM00AS01S22R,DNS00A001222R,DNS00A001322R,DNS00A001S22R,DNS00AC01222R,DNS00AC01322R,DNS00AC01S22R,DNS00AM01222R,DNS00AM01322R,DNS00AM01S22R,DNS00AR01222R,DNS00AR01322R,DNS00AR01S22R,DNS00AS01222R,DNS00AS01322R,DNS00AS01S22R
"'129901",27,10,57,22,4,53,22,8,57,33,14,58,26,11,59,50,23,78,39,17,74,42,18,73,61,29,83,52,24,79,93,70,100,-1,-1,-1,90,70,100,100,70,100,-1,-1,-1,13,0,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,42,19,71,37,14,69,33,15,67,50,22,74,43,24,72,34,15,64,29,10,61,28,12,61,43,19,70,30,20,59,34,13,63,28,9,61,26,9,59,42,17,66,35,16,63,42,18,72,34,13,70,31,13,67,54,24,78,40,21,71,36,15,65,31,10,63,28,11,63,43,18,68,40,22,68,29,17,63,40,20,80,25,17,42,29,21,79,-1,-1,-1,22,7,53,15,2,47,19,6,54,27,10,55,24,9,55,41,19,69,40,16,69,35,16,67,46,20,70,46,28,72,23,7,56,18,4,55,15,4,52,30,9,60,25,9,56,17,8,40,16,5,42,15,7,38,20,9,40,14,8,39,52,25,81,51,23,82,43,20,76,61,28,84,53,30,83,"CRANDALL ISD",46,21,75,43,18,73,37,16,71,54,25,78,48,27,75,35,15,66,30,10,65,29,12,62,44,18,69,34,21,67,40,20,76,36,23,73,36,14,73,47,25,79,33,20,73
"'129902",40,19,70,40,16,69,37,17,70,45,21,71,32,16,64,52,25,79,51,26,81,42,20,77,59,26,77,58,33,89,73,45,91,74,44,91,68,40,90,78,50,92,67,42,87,38,19,65,-1,-1,-1,22,11,67,46,23,62,-1,-1,-1,46,22,73,46,19,74,39,19,70,53,25,75,44,25,73,31,13,58,31,9,60,23,10,53,38,16,62,32,16,59,32,13,60,32,9,62,25,10,56,38,16,62,33,17,61,49,23,76,46,18,77,39,19,71,59,29,81,39,19,72,44,19,74,44,16,74,37,16,70,51,22,76,40,22,74,52,22,82,60,0,90,50,20,90,54,29,79,33,33,50,35,15,66,35,11,64,31,14,66,39,17,67,29,13,59,44,21,71,45,19,73,40,20,69,47,21,71,48,30,74,25,8,56,25,6,60,19,7,51,29,10,58,26,11,58,22,9,41,17,5,41,22,9,40,24,9,41,26,12,45,60,32,85,58,28,87,55,30,84,67,35,86,55,33,82,"FORNEY ISD",53,26,80,53,24,82,47,24,77,60,29,81,49,29,79,38,17,65,37,12,66,30,14,61,45,21,69,36,18,64,44,20,70,40,16,67,41,20,70,49,23,73,33,12,64
"'129903",33,13,66,26,9,64,33,14,68,36,14,63,30,15,72,52,27,81,63,31,81,41,18,75,54,26,81,67,60,100,89,58,100,-1,-1,-1,83,50,100,86,57,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,22,78,46,19,79,44,20,76,52,23,77,55,33,85,48,18,76,46,14,71,38,13,73,51,18,77,69,34,88,44,18,75,40,15,76,39,16,73,48,19,74,49,26,81,50,23,80,43,17,79,43,18,76,59,26,82,52,33,86,43,18,74,38,15,74,39,17,72,46,18,73,47,26,81,61,26,83,-1,-1,-1,57,29,71,67,11,89,-1,-1,-1,30,11,64,20,6,60,30,12,66,33,12,62,28,13,71,47,22,76,49,22,79,44,21,76,46,20,73,57,34,83,36,14,70,33,11,72,32,12,67,38,12,68,45,26,80,22,11,46,23,11,51,20,11,42,23,10,45,26,12,56,56,28,83,56,25,86,50,25,81,60,29,83,61,41,88,"KAUFMAN ISD",50,23,78,47,21,80,45,21,76,53,23,78,55,33,85,46,21,76,43,15,76,40,18,75,51,22,75,52,35,84,56,31,84,67,43,81,56,25,85,54,34,83,50,33,100
"'129904",31,12,60,25,12,56,29,13,58,36,12,62,23,7,61,36,19,67,33,33,50,25,14,71,40,17,60,67,33,100,64,0,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,14,68,34,11,66,31,12,65,41,16,70,37,16,69,41,12,65,-1,-1,-1,25,0,42,43,21,71,-1,-1,-1,27,9,57,19,10,54,24,9,56,33,8,59,26,13,68,35,12,68,29,9,61,28,8,65,43,17,72,33,8,69,33,12,64,28,10,61,31,12,61,37,13,66,34,15,71,20,0,40,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,26,8,57,21,8,54,25,10,56,32,7,59,14,3,56,38,15,68,37,12,70,34,15,64,40,14,69,39,21,68,26,8,55,24,9,58,22,8,52,29,7,56,25,8,59,29,14,44,27,16,44,29,14,43,29,13,44,25,14,46,38,14,70,38,11,70,32,12,67,44,17,74,35,16,65,"KEMP ISD",40,15,70,40,13,72,34,12,66,44,18,72,40,19,70,31,11,64,22,6,57,27,11,63,38,12,68,30,11,67,29,12,61,22,11,72,31,10,64,34,18,57,15,0,54
"'129905",39,15,71,34,13,73,42,18,75,40,16,69,29,4,61,51,23,79,46,22,73,49,21,87,54,26,74,57,17,78,79,46,90,60,40,100,81,63,88,83,33,89,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,53,24,80,53,21,83,51,24,81,54,24,78,53,28,82,36,16,74,41,12,76,28,19,69,42,13,74,31,23,85,47,20,77,47,15,80,46,20,77,48,20,74,46,22,80,55,24,83,54,19,86,53,24,85,58,26,80,46,22,80,50,21,79,47,17,82,47,19,80,54,23,76,53,30,83,43,17,65,-1,-1,-1,43,14,43,33,22,56,-1,-1,-1,36,13,70,30,10,70,39,17,74,37,12,67,24,0,57,51,24,78,53,23,81,49,25,77,50,22,76,60,33,85,31,10,66,30,6,70,30,9,68,32,10,63,35,15,71,24,9,48,28,9,56,25,9,52,20,8,42,28,8,52,54,25,81,56,23,84,53,26,82,54,25,79,54,28,82,"MABANK ISD",54,25,82,53,22,83,52,25,83,55,26,80,54,28,83,50,22,77,53,20,83,48,23,77,51,21,74,52,27,82,47,18,86,50,9,95,40,22,90,54,18,77,43,14,100
"'129906",21,7,51,18,3,48,18,8,50,27,9,54,11,2,41,35,7,62,33,2,55,26,7,60,45,11,66,29,0,61,60,10,75,-1,-1,-1,-1,-1,-1,56,0,78,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,31,11,60,30,8,59,23,9,56,39,14,64,30,15,56,22,8,49,19,6,45,16,6,45,27,10,55,23,10,45,28,10,58,26,7,56,21,8,54,36,12,63,25,12,53,32,12,62,31,8,61,21,8,56,43,17,70,29,13,56,31,11,61,29,7,60,23,9,57,38,13,64,29,14,58,15,0,69,-1,-1,-1,20,0,80,-1,-1,-1,-1,-1,-1,18,7,47,14,3,44,16,7,47,23,8,51,8,1,38,30,11,57,29,9,57,25,10,56,34,11,59,32,17,57,19,5,49,18,4,49,13,4,45,25,6,53,16,6,43,20,8,34,21,8,37,21,7,33,19,7,33,18,10,32,40,17,68,42,16,69,27,11,63,50,20,74,43,24,65,"TERRELL ISD",32,12,61,32,8,61,23,10,56,40,15,65,32,15,58,28,10,58,25,9,53,21,7,56,34,12,63,27,13,52,26,10,57,31,21,52,22,9,52,28,8,66,22,11,33
"'129910",36,10,73,31,12,77,39,11,79,36,9,68,25,13,63,44,4,81,40,0,80,33,0,100,58,8,75,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55,25,83,53,22,86,54,23,86,58,24,82,50,38,79,27,4,62,11,0,67,40,7,67,25,5,55,-1,-1,-1,47,19,78,43,18,82,47,18,81,51,18,77,43,27,70,56,24,85,50,18,88,53,22,86,63,26,87,45,33,74,43,14,79,39,12,79,42,13,81,44,11,77,53,36,75,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,33,8,73,26,9,78,37,8,79,34,7,66,29,14,71,55,25,82,57,25,85,55,23,86,53,22,77,56,43,84,28,8,68,30,5,75,29,7,72,28,8,64,24,12,56,17,4,49,13,2,50,20,7,52,17,1,45,16,8,48,60,29,86,59,26,89,59,26,87,64,30,85,50,39,80,"SCURRY-ROSSER ISD",57,26,85,54,22,89,57,23,88,61,27,83,48,36,76,50,21,80,52,20,81,47,21,79,51,18,78,55,43,85,72,34,94,-1,-1,-1,67,25,92,86,43,93,-1,-1,-1
"'130801",-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,0,78,-1,-1,-1,14,0,71,17,0,75,100,0,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,0,75,-1,-1,-1,-1,-1,-1,17,0,67,-1,-1,-1,42,0,74,-1,-1,-1,20,0,60,25,0,63,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,13,0,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,0,74,-1,-1,-1,0,0,60,25,0,63,-1,-1,-1,0,0,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,32,0,77,-1,-1,-1,14,0,71,22,0,78,-1,-1,-1,"MEADOWLAND CHARTER DISTRICT",-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,36,0,76,-1,-1,-1,17,0,67,18,0,73,100,0,100,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1
"'130901",39,17,67,39,14,70,42,19,70,39,16,66,24,13,61,71,42,90,80,46,93,67,40,88,72,44,89,67,38,93,83,57,94,73,58,91,85,63,95,86,55,93,74,44,96,71,59,94,-1,-1,-1,83,83,100,71,43,86,-1,-1,-1,68,38,89,71,40,90,64,34,88,72,40,89,66,43,89,54,25,83,54,18,89,47,22,79,61,28,85,47,32,79,47,21,76,52,22,80,41,18,75,50,23,75,45,25,78,69,39,90,70,37,91,63,33,89,77,45,92,62,37,88,58,29,83,61,29,85,53,26,82,61,31,83,56,35,82,63,43,83,-1,-1,-1,75,50,92,57,36,79,80,60,80,31,12,61,27,7,61,34,14,65,32,12,61,15,7,49,68,38,88,72,43,90,65,35,88,67,35,86,70,49,90,35,12,70,36,10,73,31,11,69,39,13,69,33,15,68,36,16,63,36,15,65,32,15,62,37,16,62,38,19,68,74,42,92,77,46,93,69,37,92,78,44,92,72,47,92,"BOERNE ISD",69,39,89,73,43,91,65,35,89,72,40,89,66,45,90,67,36,88,68,35,89,61,33,88,71,39,89,65,38,87,68,39,90,67,40,93,66,40,91,72,38,90,65,30,80
"'130902",25,7,55,31,10,51,25,8,61,27,8,61,7,0,27,56,17,94,-1,-1,-1,40,0,100,67,33,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,16,72,48,20,77,29,9,68,50,19,76,38,21,62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,11,64,35,12,67,24,6,60,39,13,69,23,15,52,43,17,74,47,19,77,29,8,70,55,22,82,34,19,60,34,12,65,40,16,69,25,7,62,41,14,70,27,15,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,24,7,55,31,10,51,26,8,60,26,8,60,7,0,27,40,15,69,49,22,78,28,10,67,45,15,70,42,22,65,26,7,60,29,10,64,18,4,56,32,6,62,27,9,53,17,7,46,17,6,56,14,5,43,16,6,44,25,22,47,51,21,81,59,27,89,34,11,76,62,25,84,52,29,77,"COMFORT ISD",40,15,70,48,21,74,27,8,67,48,17,76,34,19,58,46,19,77,48,19,87,34,11,73,53,24,76,50,25,77,44,6,78,-1,-1,-1,29,14,71,57,0,86,-1,-1,-1
"'131001",-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,61,30,84,100,55,100,55,20,77,57,34,86,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,47,25,77,100,60,100,38,13,67,46,29,83,.,.,.,61,39,82,100,71,100,43,24,67,67,43,90,.,.,.,54,27,80,100,67,100,47,19,72,53,28,84,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,60,22,86,-1,-1,-1,65,17,87,48,26,83,.,.,.,44,16,70,100,20,100,42,11,58,32,21,74,.,.,.,28,11,56,.,.,.,33,11,44,22,11,67,.,.,.,74,33,93,100,40,100,73,18,91,64,45,91,.,.,.,"KENEDY COUNTY WIDE CSD",54,26,80,100,57,100,52,21,69,45,24,86,.,.,.,74,38,91,-1,-1,-1,60,20,93,80,53,87,.,.,.,70,10,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'132902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,20,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,66,32,92,53,12,91,59,29,92,80,43,97,61,36,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,22,93,40,7,87,39,11,89,74,33,97,50,50,100,71,34,95,58,11,95,66,34,92,84,44,100,60,30,80,67,26,94,29,0,86,65,15,95,81,33,100,67,67,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63,31,91,50,13,88,54,25,92,77,42,95,61,39,78,35,7,82,8,0,75,26,0,79,56,18,91,-1,-1,-1,21,7,68,-1,-1,-1,18,0,73,27,9,73,-1,-1,-1,67,34,92,60,14,91,57,34,91,81,45,96,59,27,77,"JAYTON-GIRARD ISD",65,34,92,59,14,90,53,28,92,76,43,96,67,50,83,70,29,93,43,7,93,70,30,93,88,44,100,50,10,70,40,20,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'133901",24,6,56,23,3,51,30,13,72,21,1,47,17,8,42,100,78,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,16,70,36,12,68,39,16,76,45,16,69,39,17,61,33,0,83,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,13,68,30,8,66,38,17,74,39,12,66,38,17,62,44,16,74,39,12,71,38,16,78,51,18,74,46,17,63,34,12,66,30,8,60,36,17,74,34,9,63,37,15,57,50,0,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,20,4,51,25,4,43,23,9,68,15,0,41,17,8,42,38,15,67,34,11,65,40,17,74,39,14,64,35,17,60,24,5,57,23,3,55,23,7,66,26,6,53,25,2,48,23,6,42,27,7,40,23,7,50,24,6,41,14,7,29,50,20,76,44,19,79,43,15,78,61,26,76,39,19,65,"CENTER POINT ISD",42,16,71,35,10,67,41,18,79,47,16,70,40,19,61,37,15,67,39,16,71,33,13,68,40,17,66,36,12,60,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.
"'133902",56,16,92,67,0,100,56,24,88,60,16,96,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62,37,92,79,42,95,56,29,91,63,41,91,53,40,93,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,55,21,89,74,16,95,49,25,89,58,21,89,25,13,88,65,37,94,82,35,94,56,29,94,69,46,92,50,33,100,54,20,87,75,17,100,49,23,82,56,18,90,20,20,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,3,87,-1,-1,-1,33,0,83,33,8,92,-1,-1,-1,60,36,90,77,46,96,56,30,88,58,38,91,56,44,89,32,4,79,46,0,92,33,3,77,23,3,77,40,20,80,28,9,66,-1,-1,-1,29,14,71,21,7,57,.,.,.,65,45,94,81,52,94,59,32,95,65,53,92,70,50,100,"HUNT ISD",60,35,91,77,42,97,55,27,88,60,40,91,55,45,91,68,41,95,83,42,92,60,36,100,72,48,92,-1,-1,-1,57,29,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"'133903",34,11,67,33,9,62,34,11,72,37,12,68,21,9,47,60,37,85,50,50,92,52,30,86,64,35,80,90,70,100,70,46,93,50,42,92,82,57,100,71,39,90,40,40,80,63,25,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,28,79,54,25,80,48,24,78,60,30,80,58,38,79,36,14,72,53,6,88,24,12,54,43,18,78,14,14,100,43,19,72,41,16,72,38,16,71,49,21,74,43,24,68,55,28,82,51,21,80,46,22,80,65,35,86,54,34,78,42,18,72,41,17,73,36,14,71,47,19,73,45,27,71,47,29,65,-1,-1,-1,50,33,67,50,25,63,.,.,.,27,9,62,23,5,49,28,9,69,28,10,63,21,9,42,54,28,77,57,30,80,49,25,76,55,26,75,62,43,80,33,11,65,30,8,66,27,8,64,37,11,65,42,25,68,28,11,49,30,13,53,26,12,50,30,10,46,25,7,51,66,37,86,67,33,86,58,32,84,71,40,86,71,50,86,"KERRVILLE ISD",55,29,80,53,25,81,48,24,79,61,32,81,58,38,80,53,26,76,56,26,76,46,22,76,57,26,77,57,40,74,58,32,83,54,29,71,58,25,85,60,41,86,43,29,86
"'133904",38,15,75,41,16,91,40,16,82,36,15,68,29,7,57,32,12,68,-1,-1,-1,27,0,73,30,20,60,-1,-1,-1,71,29,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,26,85,69,26,93,54,27,87,57,25,83,45,23,80,33,0,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,20,82,59,19,91,47,21,85,50,19,79,43,20,78,59,26,87,67,20,93,57,28,90,63,28,86,39,23,73,50,20,82,57,21,92,49,21,86,50,20,77,46,20,75,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,33,12,72,37,13,90,37,14,80,30,10,64,27,9,45,53,25,84,71,33,94,52,26,84,50,22,80,50,24,87,38,11,76,52,14,88,36,13,78,35,9,72,33,8,71,27,10,57,35,9,74,28,10,61,24,10,52,33,11,44,62,30,89,75,30,95,60,32,88,64,29,89,45,24,84,"INGRAM ISD",55,24,85,67,25,96,53,23,86,56,25,82,41,21,79,60,28,86,71,27,90,57,33,88,59,25,84,53,28,82,42,3,87,100,20,100,47,0,87,25,0,88,-1,-1,-1
"'133905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,8,92,-1,-1,-1,27,9,91,64,9,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,7,86,-1,-1,-1,17,0,83,67,17,100,.,.,.,42,8,92,-1,-1,-1,20,0,100,80,20,100,.,.,.,14,14,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,8,92,-1,-1,-1,33,17,83,50,0,100,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,11,11,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,50,6,94,-1,-1,-1,38,13,100,75,0,100,.,.,.,"DIVIDE ISD",46,15,92,-1,-1,-1,17,17,83,83,17,100,.,.,.,33,0,92,-1,-1,-1,40,0,100,40,0,100,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.
"'134901",27,7,56,40,20,60,31,6,69,17,0,44,-1,-1,-1,67,27,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,20,73,54,25,82,39,16,69,52,19,75,44,27,66,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,11,67,43,12,78,28,8,62,44,11,70,32,15,55,47,16,74,49,13,81,36,12,71,54,17,78,49,27,61,34,8,63,34,10,68,28,5,60,39,9,66,28,8,52,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,8,59,40,20,60,33,7,73,18,0,47,-1,-1,-1,48,23,72,59,36,83,42,19,68,51,20,71,39,28,70,26,5,58,36,8,74,18,4,53,29,4,59,15,5,38,19,5,40,25,13,54,18,4,34,19,4,40,8,0,31,54,26,78,65,33,89,44,22,74,59,24,79,50,35,70,"JUNCTION ISD",46,18,73,52,23,82,37,14,69,51,17,74,44,27,63,53,25,75,66,34,83,44,22,71,57,23,75,47,29,76,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.
"'135001",88,50,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68,30,91,66,26,91,66,23,89,78,43,96,44,12,84,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,82,48,98,78,44,89,83,33,100,84,68,100,-1,-1,-1,68,33,92,65,29,88,68,24,88,78,46,97,40,20,90,75,44,94,-1,-1,-1,60,20,100,100,80,100,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88,50,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,27,91,67,22,94,65,22,89,79,40,95,47,7,80,50,20,77,44,22,78,38,10,71,64,32,86,-1,-1,-1,18,0,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,28,91,67,24,91,67,23,88,77,41,96,38,10,86,"GUTHRIE CSD",71,36,94,67,33,92,75,27,94,78,53,96,41,18,88,63,16,87,64,9,91,48,13,78,79,25,96,50,0,75,57,14,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
