DISTRICT,DD800A00200022R,DD800AM0200022R,DD800AR0200022R,DDA00A00200022R,DDA00AM0200022R,DDA00AR0200022R,DDC00A00200022R,DDC00AM0200022R,DDC00AR0200022R,DDJ00A00200022R,DDJ00AM0200022R,DDJ00AR0200022R,DDK00A00200022R,DDK00AM0200022R,DDK00AR0200022R,DDL00A00200022R,DDL00AM0200022R,DDL00AR0200022R,DDQ00A00200022R,DDQ00AM0200022R,DDQ00AR0200022R,DDT00A00200022R,DDT00AM0200022R,DDT00AR0200022R,DDU00A00200022R,DDU00AM0200022R,DDU00AR0200022R,DDX00A00200022R,DDX00AM0200022R,DDX00AR0200022R,DDY00A00200022R,DDY00AM0200022R,DDY00AR0200022R,DDZ00A00200022R,DDZ00AM0200022R,DDZ00AR0200022R,DISTNAME,DNB00A00200022R,DNB00AM0200022R,DNB00AR0200022R,DNE00A00200022R,DNE00AM0200022R,DNE00AR0200022R,DNT00A00200022R,DNT00AM0200022R,DNT00AR0200022R
"'140907",61,53,69,62,55,68,67,65,69,.,.,.,.,.,.,67,65,69,.,.,.,.,.,.,.,.,.,67,65,69,.,.,.,.,.,.,"SPRINGLAKE-EARTH ISD",.,.,.,.,.,.,38,-1,-1
"'140908",73,67,78,74,68,80,78,71,85,.,.,.,.,.,.,78,71,85,.,.,.,.,.,.,.,.,.,78,71,85,.,.,.,.,.,.,"SUDAN ISD",.,.,.,.,.,.,89,80,100
"'141901",75,70,79,75,70,79,75,72,78,.,.,.,.,.,.,75,74,77,.,.,.,.,.,.,.,.,.,78,74,83,70,79,59,.,.,.,"LAMPASAS ISD",.,.,.,58,50,-1,83,79,86
"'141902",69,64,75,69,64,74,67,66,69,.,.,.,.,.,.,66,60,72,.,.,.,.,.,.,.,.,.,.,.,.,67,66,69,.,.,.,"LOMETA ISD",.,.,.,.,.,.,-1,-1,-1
"'142901",76,72,79,77,73,80,84,82,87,.,.,.,.,.,.,84,81,87,.,.,.,.,.,.,.,.,.,91,91,91,81,78,85,75,-1,-1,"COTULLA ISD",.,.,.,.,.,.,94,100,89
"'143901",77,75,79,76,75,78,65,74,56,.,.,.,.,.,.,65,74,56,.,.,.,.,.,.,.,.,.,75,88,58,58,61,55,.,.,.,"HALLETTSVILLE ISD",.,.,.,.,.,.,-1,-1,-1
"'143902",76,76,76,76,74,78,69,50,85,.,.,.,.,.,.,69,50,85,.,.,.,.,.,.,.,.,.,79,71,86,55,-1,83,.,.,.,"MOULTON ISD",.,.,.,.,.,.,88,79,94
"'143903",75,71,78,74,71,77,54,79,29,.,.,.,.,.,.,54,75,33,.,.,.,.,.,.,.,.,.,.,.,.,54,79,29,.,.,.,"SHINER ISD",.,.,.,.,.,.,67,71,60
"'143904",74,60,89,75,61,89,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"VYSEHRAD ISD",.,.,.,.,.,.,-1,-1,-1
"'143905",89,84,93,89,84,93,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SWEET HOME ISD",.,.,.,.,.,.,.,.,.
"'143906",62,54,70,62,54,70,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EZZELL ISD",.,.,.,.,.,.,.,.,.
"'144901",76,73,79,76,73,78,71,67,75,81,76,86,.,.,.,73,71,76,.,.,.,.,.,.,81,76,86,-1,-1,-1,71,67,74,74,73,76,"GIDDINGS ISD",.,.,.,.,.,.,86,100,75
"'144902",74,68,80,74,68,80,68,66,71,.,.,.,.,.,.,68,66,71,.,.,.,.,.,.,.,.,.,77,79,75,56,44,67,.,.,.,"LEXINGTON ISD",.,.,.,.,.,.,-1,-1,-1
"'144903",78,73,84,74,69,80,63,58,69,.,.,.,-1,-1,-1,64,58,71,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,64,56,73,.,.,.,"DIME BOX ISD",.,.,.,.,.,.,-1,-1,.
"'145901",76,72,80,74,70,79,67,64,70,.,.,.,.,.,.,67,64,70,.,.,.,.,.,.,.,.,.,-1,-1,-1,67,64,69,.,.,.,"BUFFALO ISD",.,.,.,.,.,.,77,50,97
"'145902",71,67,74,71,67,75,86,75,100,.,.,.,.,.,.,87,78,100,.,.,.,.,.,.,.,.,.,.,.,.,86,75,100,-1,-1,.,"CENTERVILLE ISD",.,.,.,.,.,.,61,-1,80
"'145906",69,64,74,69,64,73,58,50,67,.,.,.,.,.,.,58,50,67,.,.,.,.,.,.,.,.,.,.,.,.,58,50,67,.,.,.,"NORMANGEE ISD",.,.,.,.,.,.,-1,-1,-1
"'145907",71,59,82,71,59,82,-1,-1,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,"OAKWOOD ISD",.,.,.,.,.,.,.,.,.
"'145911",71,65,76,71,66,76,73,64,80,.,.,.,.,.,.,71,63,78,.,.,.,.,.,.,.,.,.,73,64,80,.,.,.,-1,-1,-1,"LEON ISD",.,.,.,.,.,.,78,80,75
"'146901",64,57,70,62,56,67,54,48,60,-1,-1,-1,.,.,.,59,54,64,.,.,.,70,68,71,69,67,71,78,68,87,48,44,53,77,72,82,"CLEVELAND ISD",66,63,71,59,50,67,69,63,74
"'146902",61,56,66,61,57,66,52,50,55,87,83,92,.,.,.,61,58,65,.,.,.,.,.,.,83,78,90,-1,-1,-1,49,45,53,62,61,63,"DAYTON ISD",80,73,89,55,54,57,65,62,68
"'146903",83,78,88,83,77,88,82,75,89,.,.,.,.,.,.,82,75,89,.,.,.,.,.,.,.,.,.,82,75,89,.,.,.,.,.,.,"DEVERS ISD",.,.,.,.,.,.,.,.,.
"'146904",65,57,74,65,56,75,67,32,97,.,.,.,.,.,.,67,32,97,.,.,.,.,.,.,.,.,.,.,.,.,67,32,97,.,.,.,"HARDIN ISD",.,.,.,.,.,.,57,44,71
"'146905",67,68,67,68,69,67,83,-1,-1,.,.,.,.,.,.,83,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,83,-1,-1,.,.,.,"HULL-DAISETTA ISD",.,.,.,.,.,.,.,.,.
"'146906",72,67,77,73,68,77,62,55,70,77,78,76,.,.,.,68,64,73,.,.,.,.,.,.,77,78,76,81,75,88,60,53,68,73,69,78,"LIBERTY ISD",.,.,.,.,.,.,83,78,88
"'146907",71,66,76,71,66,76,66,68,64,.,.,.,.,.,.,66,68,63,.,.,.,.,.,.,.,.,.,.,.,.,66,68,64,-1,-1,-1,"TARKINGTON ISD",.,.,.,.,.,.,97,100,93
"'147901",68,62,74,69,63,75,72,67,76,.,.,.,.,.,.,72,67,76,.,.,.,.,.,.,.,.,.,.,.,.,72,67,76,.,.,.,"COOLIDGE ISD",.,.,.,.,.,.,-1,-1,-1
"'147902",76,67,83,76,68,84,78,74,82,.,.,.,.,.,.,78,74,82,.,.,.,.,.,.,.,.,.,.,.,.,78,74,82,.,.,.,"GROESBECK ISD",.,.,.,.,.,.,87,79,93
"'147903",70,65,75,71,67,75,62,58,66,.,.,.,.,.,.,71,67,75,.,.,.,.,.,.,73,68,77,-1,-1,-1,63,59,66,.,.,.,"MEXIA ISD",73,68,77,53,50,-1,78,78,78
"'148901",74,70,78,76,70,82,80,74,86,.,.,.,.,.,.,80,74,85,.,.,.,.,.,.,.,.,.,98,100,96,58,42,73,.,.,.,"BOOKER ISD",.,.,.,84,79,90,74,62,84
"'148902",63,52,73,60,47,73,45,25,67,.,.,.,.,.,.,45,25,67,.,.,.,.,.,.,.,.,.,45,25,67,.,.,.,.,.,.,"FOLLETT ISD",.,.,.,.,.,.,-1,-1,-1
"'148905",62,60,64,59,54,64,58,47,69,.,.,.,.,.,.,58,47,69,.,.,.,.,.,.,.,.,.,.,.,.,58,47,69,.,.,.,"DARROUZETT ISD",.,.,.,.,.,.,-1,-1,-1
"'149901",74,73,76,74,72,76,66,57,73,.,.,.,.,.,.,63,54,71,.,.,.,.,.,.,.,.,.,.,.,.,66,57,73,.,.,.,"GEORGE WEST ISD",.,.,.,.,.,.,-1,-1,-1
"'149902",66,53,79,66,54,79,76,70,82,.,.,.,.,.,.,76,70,82,.,.,.,.,.,.,.,.,.,82,75,90,70,-1,75,.,.,.,"THREE RIVERS ISD",.,.,.,.,.,.,65,50,81
"'150901",74,70,78,74,70,78,78,76,81,.,.,.,.,.,.,78,74,81,.,.,.,.,.,.,.,.,.,.,.,.,78,76,81,-1,-1,-1,"LLANO ISD",.,.,.,.,.,.,90,-1,-1
"'152504",-1,.,-1,93,83,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"TEXAS TECH UNIVERSITY K-12",.,.,.,.,.,.,-1,-1,-1
"'152802",84,81,87,84,81,87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RISE ACADEMY",.,.,.,.,.,.,.,.,.
"'152803",57,29,75,57,29,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOCK",.,.,.,.,.,.,.,.,.
"'152806",58,43,71,58,45,70,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION",.,.,.,.,.,.,.,.,.
"'152901",67,61,73,68,62,74,69,65,75,.,.,.,.,.,.,69,66,74,68,67,70,.,.,.,68,67,70,71,77,64,69,63,76,72,66,79,"LUBBOCK ISD",.,.,.,.,.,.,84,78,88
"'152902",72,69,75,72,68,75,79,57,100,.,.,.,.,.,.,79,57,100,.,.,.,.,.,.,.,.,.,79,57,100,.,.,.,.,.,.,"NEW DEAL ISD",.,.,.,.,.,.,-1,-1,-1
"'152903",72,70,75,72,70,74,68,70,67,.,.,.,.,.,.,68,72,64,.,.,.,.,.,.,.,.,.,58,-1,-1,70,75,65,.,.,.,"SLATON ISD",.,.,.,-1,-1,-1,73,70,75
"'152906",75,71,79,75,71,79,64,60,69,.,.,.,.,.,.,65,63,67,.,.,.,.,.,.,.,.,.,.,.,.,64,59,70,.,.,.,"LUBBOCK-COOPER ISD",.,.,.,63,62,65,79,76,82
"'152907",72,64,80,72,64,80,70,67,73,.,.,.,.,.,.,70,66,75,.,.,.,72,65,80,69,64,78,.,.,.,70,67,73,-1,-1,-1,"FRENSHIP ISD",44,50,-1,.,.,.,79,77,80
"'152908",67,62,71,67,62,72,66,55,81,.,.,.,.,.,.,66,55,81,.,.,.,.,.,.,.,.,.,.,.,.,66,55,81,.,.,.,"ROOSEVELT ISD",.,.,.,.,.,.,88,83,92
"'152909",68,62,74,68,62,74,74,67,80,.,.,.,.,.,.,74,67,80,.,.,.,.,.,.,.,.,.,94,-1,-1,70,64,76,.,.,.,"SHALLOWATER ISD",.,.,.,.,.,.,.,.,.
"'152910",77,75,79,77,75,79,83,86,78,.,.,.,.,.,.,75,79,70,.,.,.,.,.,.,.,.,.,.,.,.,83,86,78,-1,-1,-1,"IDALOU ISD",.,.,.,.,.,.,-1,-1,-1
"'153903",71,61,80,71,62,81,82,78,90,.,.,.,.,.,.,82,78,90,.,.,.,.,.,.,.,.,.,.,.,.,82,78,90,.,.,.,"O'DONNELL ISD",.,.,.,.,.,.,-1,.,-1
"'153904",73,73,74,73,73,74,79,75,83,.,.,.,.,.,.,71,67,75,.,.,.,.,.,.,.,.,.,-1,-1,-1,83,71,94,.,.,.,"TAHOKA ISD",.,.,.,.,.,.,89,-1,80
"'153905",78,72,84,78,73,84,89,80,-1,.,.,.,.,.,.,89,80,-1,.,.,.,.,.,.,.,.,.,89,80,-1,.,.,.,.,.,.,"NEW HOME ISD",.,.,.,.,.,.,-1,-1,-1
"'153907",65,60,71,67,60,75,78,60,-1,.,.,.,.,.,.,78,60,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,75,-1,-1,.,.,.,"WILSON ISD",.,.,.,.,.,.,79,-1,-1
"'154901",74,71,77,73,70,76,72,69,76,.,.,.,.,.,.,72,69,76,.,.,.,.,.,.,.,.,.,72,69,76,.,.,.,.,.,.,"MADISONVILLE CISD",.,.,.,.,.,.,70,68,73
"'154903",67,63,71,68,64,72,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NORTH ZULCH ISD",.,.,.,.,.,.,95,-1,100
"'155901",60,51,68,60,51,69,63,39,100,.,.,.,.,.,.,63,39,100,.,.,.,.,.,.,.,.,.,50,30,-1,75,-1,-1,.,.,.,"JEFFERSON ISD",.,.,.,.,.,.,60,-1,-1
"'156902",74,67,80,74,68,79,71,72,69,.,.,.,.,.,.,72,74,70,.,.,.,.,.,.,.,.,.,73,88,57,70,67,73,69,71,67,"STANTON ISD",.,.,.,.,.,.,68,59,76
"'156905",73,66,81,75,69,81,86,100,75,.,.,.,.,.,.,86,100,75,.,.,.,.,.,.,.,.,.,.,.,.,86,100,75,.,.,.,"GRADY ISD",.,.,.,.,.,.,92,-1,-1
"'157901",77,70,83,76,71,81,72,75,69,.,.,.,.,.,.,72,75,69,.,.,.,.,.,.,.,.,.,50,71,29,79,76,81,.,.,.,"MASON ISD",.,.,.,.,.,.,71,-1,-1
"'158901",75,70,79,74,69,79,65,59,72,-1,-1,.,.,.,.,69,62,76,.,.,.,.,.,.,74,60,87,70,50,90,65,59,71,79,79,79,"BAY CITY ISD",73,59,87,.,.,.,84,81,86
"'158902",78,72,84,78,73,82,72,69,74,.,.,.,.,.,.,71,68,75,.,.,.,.,.,.,.,.,.,.,.,.,71,73,68,-1,-1,.,"TIDEHAVEN ISD",.,.,.,75,50,100,82,88,77
"'158904",72,64,81,71,63,79,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,"MATAGORDA ISD",.,.,.,.,.,.,.,.,.
"'158905",70,62,78,70,62,79,63,55,72,.,.,.,.,.,.,63,55,72,.,.,.,.,.,.,79,73,84,80,78,82,52,40,64,.,.,.,"PALACIOS ISD",79,73,84,.,.,.,82,72,91
"'158906",78,75,81,78,75,82,88,80,96,.,.,.,.,.,.,88,80,96,.,.,.,.,.,.,.,.,.,.,.,.,88,80,96,.,.,.,"VAN VLECK ISD",.,.,.,.,.,.,78,-1,80
"'159901",85,83,86,83,81,85,70,59,78,87,88,86,.,.,.,80,77,82,.,.,.,.,.,.,87,88,86,.,.,.,70,59,78,66,64,69,"EAGLE PASS ISD",.,.,.,.,.,.,87,86,88
"'160901",72,68,76,72,66,77,66,41,89,.,.,.,.,.,.,66,41,89,.,.,.,.,.,.,.,.,.,.,.,.,60,32,87,.,.,.,"BRADY ISD",.,.,.,92,-1,-1,92,-1,-1
"'160904",83,84,82,83,84,82,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ROCHELLE ISD",.,.,.,.,.,.,.,.,.
"'160905",61,51,70,61,51,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LOHN ISD",.,.,.,.,.,.,.,.,.
"'161801",81,76,86,77,70,83,63,50,75,.,.,.,.,.,.,63,50,75,.,.,.,.,.,.,.,.,.,63,50,75,.,.,.,.,.,.,"WACO CHARTER SCHOOL",.,.,.,.,.,.,.,.,.
"'161802",80,77,82,80,76,83,75,67,83,.,.,.,.,.,.,75,67,83,.,.,.,.,.,.,.,.,.,.,.,.,75,67,83,.,.,.,"RAPOPORT ACADEMY PUBLIC SCHOOL",.,.,.,-1,-1,-1,89,90,89
"'161807",79,77,81,79,76,82,76,69,82,-1,-1,.,.,.,.,77,72,82,.,.,.,.,.,.,82,85,-1,79,76,81,77,70,84,79,77,82,"HARMONY PUBLIC SCHOOLS - NORTH TEXAS",81,83,-1,47,39,60,83,81,85
"'161901",75,75,75,75,75,75,100,100,-1,.,.,.,.,.,.,100,100,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,100,-1,-1,.,.,.,"CRAWFORD ISD",.,.,.,.,.,.,.,.,.
"'161903",79,73,84,79,74,84,77,72,81,.,.,.,.,.,.,76,73,79,.,.,.,.,.,.,-1,-1,-1,77,78,76,72,60,84,67,-1,-1,"MIDWAY ISD",-1,-1,-1,93,86,100,80,78,82
"'161906",68,59,76,69,62,76,68,63,74,.,.,.,.,.,.,69,65,73,80,83,74,.,.,.,80,83,74,68,59,78,68,63,73,75,-1,70,"LA VEGA ISD",.,.,.,72,69,79,78,76,81
"'161907",76,73,79,76,73,78,77,81,73,.,.,.,.,.,.,76,82,69,.,.,.,.,.,.,.,.,.,.,.,.,79,81,75,-1,-1,-1,"LORENA ISD",.,.,.,70,-1,-1,45,60,30
"'161908",69,56,83,70,57,83,83,79,86,.,.,.,.,.,.,83,79,86,.,.,.,.,.,.,.,.,.,79,75,83,86,83,88,.,.,.,"MART ISD",.,.,.,.,.,.,-1,-1,-1
"'161909",74,73,74,75,74,76,68,57,79,.,.,.,.,.,.,74,69,79,.,.,.,.,.,.,77,79,75,66,54,78,75,70,80,85,-1,100,"MCGREGOR ISD",77,79,75,.,.,.,82,80,84
"'161910",68,66,71,69,66,71,74,69,79,.,.,.,.,.,.,74,69,79,.,.,.,.,.,.,.,.,.,74,69,79,.,.,.,.,.,.,"MOODY ISD",.,.,.,.,.,.,.,.,.
"'161912",75,67,84,75,67,83,70,71,69,.,.,.,.,.,.,70,71,69,.,.,.,.,.,.,.,.,.,69,-1,-1,71,-1,-1,.,.,.,"RIESEL ISD",.,.,.,.,.,.,100,-1,-1
"'161914",69,64,74,69,65,74,69,65,72,79,74,84,.,.,.,69,65,73,.,.,.,.,.,.,79,74,84,82,79,85,63,60,66,63,44,83,"WACO ISD",.,.,.,68,62,74,78,73,83
"'161916",72,64,79,72,64,80,68,50,85,.,.,.,.,.,.,68,50,85,.,.,.,.,.,.,.,.,.,.,.,.,68,50,85,.,.,.,"WEST ISD",.,.,.,.,.,.,80,73,88
"'161918",70,64,76,70,65,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"AXTELL ISD",.,.,.,.,.,.,76,89,67
"'161919",67,58,76,67,58,76,77,83,71,.,.,.,.,.,.,77,83,71,.,.,.,.,.,.,.,.,.,.,.,.,77,83,71,.,.,.,"BRUCEVILLE-EDDY ISD",.,.,.,.,.,.,70,58,83
"'161920",74,67,80,74,67,80,76,70,83,.,.,.,.,.,.,76,70,83,.,.,.,.,.,.,.,.,.,.,.,.,76,70,83,-1,-1,.,"CHINA SPRING ISD",.,.,.,.,.,.,64,60,68
"'161921",60,51,67,60,52,67,63,61,65,.,.,.,.,.,.,62,57,66,.,.,.,.,.,.,57,47,67,-1,-1,.,55,51,59,72,58,-1,"CONNALLY ISD",57,47,67,72,72,72,86,-1,82
"'161922",75,69,81,75,69,81,59,56,63,.,.,.,.,.,.,60,56,65,.,.,.,.,.,.,.,.,.,79,93,64,51,42,63,.,.,.,"ROBINSON ISD",.,.,.,.,.,.,72,71,72
"'161923",78,75,81,78,75,80,67,67,67,.,.,.,.,.,.,67,67,67,.,.,.,.,.,.,.,.,.,.,.,.,67,67,67,.,.,.,"BOSQUEVILLE ISD",.,.,.,.,.,.,100,-1,-1
"'161924",76,80,72,76,81,72,83,-1,-1,.,.,.,.,.,.,83,-1,-1,.,.,.,.,.,.,.,.,.,83,-1,-1,.,.,.,.,.,.,"HALLSBURG ISD",.,.,.,.,.,.,.,.,.
"'161925",69,56,82,68,53,83,55,10,100,.,.,.,.,.,.,55,10,100,.,.,.,.,.,.,.,.,.,.,.,.,55,10,100,.,.,.,"GHOLSON ISD",.,.,.,.,.,.,80,-1,-1
"'162904",77,73,81,77,73,81,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MCMULLEN COUNTY ISD",.,.,.,.,.,.,.,.,.
"'163901",68,66,70,68,65,70,64,58,70,.,.,.,.,.,.,65,60,69,.,.,.,.,.,.,.,.,.,84,96,71,52,31,70,58,-1,-1,"DEVINE ISD",.,.,.,.,.,.,72,71,73
"'163902",70,62,78,70,61,78,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,"D'HANIS ISD",.,.,.,.,.,.,.,.,.
"'163903",71,66,77,71,65,77,66,59,74,.,.,.,.,.,.,67,60,73,.,.,.,.,.,.,.,.,.,66,63,69,71,42,100,69,-1,-1,"NATALIA ISD",.,.,.,.,.,.,81,75,86
"'163904",66,59,73,66,59,73,68,62,73,.,.,.,.,.,.,63,56,68,.,.,.,.,.,.,.,.,.,68,62,73,.,.,.,-1,.,-1,"HONDO ISD",.,.,.,.,.,.,78,75,80
"'163908",76,71,80,76,71,80,68,61,76,90,95,85,.,.,.,75,72,79,.,.,.,.,.,.,90,95,85,86,86,86,67,59,75,75,66,84,"MEDINA VALLEY ISD",.,.,.,.,.,.,76,71,81
"'164901",78,72,83,79,73,84,100,100,100,.,.,.,.,.,.,100,100,100,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,"MENARD ISD",.,.,.,100,-1,-1,.,.,.
"'165802",82,81,83,82,81,83,75,60,90,.,.,.,.,.,.,75,60,90,.,.,.,.,.,.,.,.,.,75,60,90,.,.,.,.,.,.,"MIDLAND ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,-1,-1,-1
"'165901",71,64,78,70,63,77,64,55,76,-1,-1,-1,.,.,.,65,57,74,.,.,.,53,62,32,62,67,53,-1,-1,-1,63,53,75,64,49,80,"MIDLAND ISD",96,93,100,66,58,77,72,65,80
"'165902",75,70,79,75,71,79,73,71,75,.,.,.,.,.,.,74,72,76,.,.,.,.,.,.,92,83,100,.,.,.,73,72,75,93,-1,-1,"GREENWOOD ISD",92,83,100,65,-1,71,80,77,83
"'166901",66,61,71,67,62,71,67,64,69,.,.,.,.,.,.,66,64,68,.,.,.,.,.,.,.,.,.,80,79,81,64,61,67,.,.,.,"CAMERON ISD",.,.,.,.,.,.,81,79,83
"'166902",81,79,82,79,79,79,68,71,64,.,.,.,.,.,.,68,71,64,.,.,.,.,.,.,.,.,.,-1,-1,-1,75,80,70,.,.,.,"GAUSE ISD",.,.,.,.,.,.,.,.,.
"'166903",72,66,78,73,66,80,77,58,100,.,.,.,.,.,.,76,57,100,.,.,.,.,.,.,.,.,.,75,50,100,-1,-1,.,-1,-1,.,"MILANO ISD",.,.,.,.,.,.,-1,-1,-1
"'166904",63,55,70,62,55,69,54,48,60,.,.,.,.,.,.,54,48,60,.,.,.,.,.,.,.,.,.,75,80,70,44,32,55,.,.,.,"ROCKDALE ISD",.,.,.,.,.,.,64,57,70
"'166905",61,51,71,62,51,72,65,50,80,.,.,.,.,.,.,65,50,80,.,.,.,.,.,.,.,.,.,56,46,67,75,55,95,.,.,.,"THORNDALE ISD",.,.,.,.,.,.,63,63,63
"'166907",76,68,84,76,68,84,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,"BUCKHOLTS ISD",.,.,.,.,.,.,-1,-1,.
"'167901",72,71,72,72,71,73,67,58,77,.,.,.,.,.,.,67,58,77,.,.,.,.,.,.,.,.,.,.,.,.,67,58,77,.,.,.,"GOLDTHWAITE ISD",.,.,.,.,.,.,94,-1,-1
"'167902",89,90,88,86,89,83,58,-1,-1,.,.,.,.,.,.,58,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,58,-1,-1,.,.,.,"MULLIN ISD",.,.,.,.,.,.,.,.,.
"'167904",78,79,78,78,79,78,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PRIDDY ISD",.,.,.,.,.,.,.,.,.
"'168901",79,73,85,79,73,85,79,71,88,.,.,.,.,.,.,79,71,88,.,.,.,.,.,.,.,.,.,79,71,88,.,.,.,.,.,.,"COLORADO ISD",.,.,.,.,.,.,-1,-1,-1
"'168902",64,58,69,63,60,67,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,"LORAINE ISD",.,.,.,.,.,.,.,.,.
"'168903",86,87,85,86,87,85,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WESTBROOK ISD",.,.,.,.,.,.,.,.,.
"'169901",62,51,72,62,52,72,67,59,76,.,.,.,.,.,.,69,61,77,.,.,.,.,.,.,.,.,.,.,.,.,67,59,76,100,-1,-1,"BOWIE ISD",.,.,.,75,.,75,66,55,75
"'169902",74,69,78,72,69,76,68,63,73,.,.,.,.,.,.,68,63,73,.,.,.,.,.,.,.,.,.,80,83,76,61,56,69,.,.,.,"NOCONA ISD",.,.,.,57,41,73,68,81,55
"'169906",69,55,83,70,57,82,82,75,90,.,.,.,.,.,.,82,75,90,.,.,.,.,.,.,.,.,.,82,75,90,.,.,.,.,.,.,"GOLD BURG ISD",.,.,.,.,.,.,-1,.,-1
"'169908",90,95,85,90,95,85,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MONTAGUE ISD",.,.,.,.,.,.,.,.,.
"'169909",72,70,76,72,70,76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PRAIRIE VALLEY ISD",.,.,.,.,.,.,.,.,.
"'169910",76,63,90,76,63,90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"FORESTBURG ISD",.,.,.,.,.,.,.,.,.
"'169911",74,67,82,74,66,81,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SAINT JO ISD",.,.,.,.,.,.,-1,-1,-1
"'170801",58,50,65,58,47,68,54,43,65,.,.,.,.,.,.,51,41,62,.,.,.,.,.,.,.,.,.,.,.,.,54,43,65,29,-1,-1,"TEXAS SERENITY ACADEMY",.,.,.,.,.,.,79,56,100
"'170902",74,70,77,73,69,76,65,59,72,.,.,.,.,.,.,66,61,72,75,74,77,67,65,69,67,65,70,77,76,78,64,57,72,73,69,76,"CONROE ISD",92,-1,-1,.,.,.,73,68,76
"'170903",78,78,78,78,78,78,70,67,73,.,.,.,.,.,.,74,72,77,94,88,100,.,.,.,94,88,100,82,83,80,68,64,72,-1,-1,-1,"MONTGOMERY ISD",.,.,.,.,.,.,78,78,78
"'170904",62,53,71,62,53,71,52,42,62,.,.,.,.,.,.,60,52,69,.,.,.,81,74,90,80,74,88,.,.,.,48,43,53,63,56,70,"WILLIS ISD",79,73,86,58,41,71,68,54,79
"'170906",73,68,78,72,67,77,67,56,78,.,.,.,78,86,60,68,63,73,.,.,.,.,.,.,70,74,65,70,69,71,66,55,79,66,61,72,"MAGNOLIA ISD",69,72,66,.,.,.,77,75,80
"'170907",72,69,75,72,68,75,72,67,78,62,58,65,.,.,.,69,65,74,.,.,.,.,.,.,68,65,72,87,75,100,72,67,76,64,-1,-1,"SPLENDORA ISD",72,70,75,64,45,85,81,77,85
