"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"860Z200US01581","ZCTA5 01581","118185","null","9070","null",
"860Z200US01583","ZCTA5 01583","94464","null","11267","null",
"860Z200US01585","ZCTA5 01585","71667","null","35503","null",
"860Z200US01588","ZCTA5 01588","81438","null","9592","null",
"860Z200US01590","ZCTA5 01590","123542","null","9208","null",
"860Z200US01602","ZCTA5 01602","76287","null","7530","null",
"860Z200US01603","ZCTA5 01603","53166","null","6020","null",
"860Z200US01604","ZCTA5 01604","63107","null","3273","null",
"860Z200US01605","ZCTA5 01605","45709","null","5192","null",
"860Z200US01606","ZCTA5 01606","74765","null","6889","null",
"860Z200US01607","ZCTA5 01607","57880","null","8566","null",
"860Z200US01608","ZCTA5 01608","37962","null","3025","null",
"860Z200US01609","ZCTA5 01609","49333","null","6968","null",
"860Z200US01610","ZCTA5 01610","35642","null","4351","null",
"860Z200US01611","ZCTA5 01611","103405","null","32275","null",
"860Z200US01612","ZCTA5 01612","123958","null","23693","null",
"860Z200US01701","ZCTA5 01701","120811","null","10383","null",
"860Z200US01702","ZCTA5 01702","71602","null","5861","null",
"860Z200US01718","ZCTA5 01718","173000","null","133383","null",
"860Z200US01719","ZCTA5 01719","136875","null","20441","null",
"860Z200US01720","ZCTA5 01720","138220","null","8920","null",
"860Z200US01721","ZCTA5 01721","115959","null","9637","null",
"860Z200US01730","ZCTA5 01730","140647","null","24577","null",
"860Z200US01731","ZCTA5 01731","105909","null","18376","null",
"860Z200US01740","ZCTA5 01740","167132","null","26753","null",
"860Z200US01741","ZCTA5 01741","216000","null","26508","null",
"860Z200US01742","ZCTA5 01742","168934","null","9125","null",
"860Z200US01745","ZCTA5 01745","148207","null","37090","null",
"860Z200US01746","ZCTA5 01746","142339","null","8170","null",
"860Z200US01747","ZCTA5 01747","113300","null","11951","null",
"860Z200US01748","ZCTA5 01748","179192","null","22319","null",
"860Z200US01749","ZCTA5 01749","94191","null","6457","null",
"860Z200US01752","ZCTA5 01752","86230","null","7556","null",
"860Z200US01754","ZCTA5 01754","112432","null","13365","null",
"860Z200US01756","ZCTA5 01756","133850","null","41933","null",
"860Z200US01757","ZCTA5 01757","89273","null","6587","null",
"860Z200US01760","ZCTA5 01760","123109","null","9450","null",
"860Z200US01770","ZCTA5 01770","218906","null","43552","null",
"860Z200US01772","ZCTA5 01772","173056","null","16281","null",
"860Z200US01773","ZCTA5 01773","172891","null","36380","null",
"860Z200US01775","ZCTA5 01775","147841","null","10148","null",
"860Z200US01776","ZCTA5 01776","217847","null","10901","null",
"860Z200US01778","ZCTA5 01778","203125","null","33132","null",
"860Z200US01801","ZCTA5 01801","95184","null","4455","null",
"860Z200US01803","ZCTA5 01803","124755","null","8607","null",
"860Z200US01810","ZCTA5 01810","155252","null","10230","null",
"860Z200US01821","ZCTA5 01821","126146","null","6438","null",
"860Z200US01824","ZCTA5 01824","130215","null","11455","null",
"860Z200US01826","ZCTA5 01826","94882","null","6981","null",
"860Z200US01827","ZCTA5 01827","177803","null","18464","null",
"860Z200US01830","ZCTA5 01830","66052","null","6427","null",
"860Z200US01832","ZCTA5 01832","70910","null","5949","null",
"860Z200US01833","ZCTA5 01833","130240","null","19760","null",
"860Z200US01834","ZCTA5 01834","121711","null","15217","null",
"860Z200US01835","ZCTA5 01835","92880","null","5915","null",
"860Z200US01840","ZCTA5 01840","28347","null","5707","null",
"860Z200US01841","ZCTA5 01841","47527","null","3211","null",
"860Z200US01843","ZCTA5 01843","61362","null","9038","null",
"860Z200US01844","ZCTA5 01844","87181","null","6856","null",
"860Z200US01845","ZCTA5 01845","120954","null","8061","null",
"860Z200US01850","ZCTA5 01850","59571","null","5515","null",
"860Z200US01851","ZCTA5 01851","72133","null","4494","null",
"860Z200US01852","ZCTA5 01852","68256","null","5644","null",
"860Z200US01854","ZCTA5 01854","58422","null","6537","null",
"860Z200US01860","ZCTA5 01860","88832","null","23350","null",
"860Z200US01862","ZCTA5 01862","106964","null","17612","null",
"860Z200US01863","ZCTA5 01863","108427","null","16319","null",
"860Z200US01864","ZCTA5 01864","123813","null","17866","null",
"860Z200US01867","ZCTA5 01867","145471","null","8649","null",
"860Z200US01876","ZCTA5 01876","112917","null","8785","null",
"860Z200US01879","ZCTA5 01879","130509","null","19367","null",
"860Z200US01880","ZCTA5 01880","110878","null","10734","null",
"860Z200US01886","ZCTA5 01886","161076","null","10444","null",
"860Z200US01887","ZCTA5 01887","146250","null","10703","null",
"860Z200US01890","ZCTA5 01890","184844","null","15562","null",
"860Z200US01901","ZCTA5 01901","24207","null","11038","null",
"860Z200US01902","ZCTA5 01902","53802","null","6714","null",
"860Z200US01904","ZCTA5 01904","94006","null","9955","null",
"860Z200US01905","ZCTA5 01905","64885","null","10545","null",
"860Z200US01906","ZCTA5 01906","93737","null","4392","null",
"860Z200US01907","ZCTA5 01907","112668","null","20936","null",
"860Z200US01908","ZCTA5 01908","99456","null","3891","null",
"860Z200US01913","ZCTA5 01913","87433","null","8811","null",
"860Z200US01915","ZCTA5 01915","89076","null","6680","null",
"860Z200US01921","ZCTA5 01921","186899","null","21645","null",
"860Z200US01922","ZCTA5 01922","193667","null","83667","null",
"860Z200US01923","ZCTA5 01923","105654","null","11246","null",
"860Z200US01929","ZCTA5 01929","115670","null","13850","null",
"860Z200US01930","ZCTA5 01930","82984","null","4116","null",
"860Z200US01937","ZCTA5 01937","-","-","**","**",
"860Z200US01938","ZCTA5 01938","111701","null","11426","null",
"860Z200US01940","ZCTA5 01940","144116","null","18898","null",
"860Z200US01944","ZCTA5 01944","193279","null","25632","null",
"860Z200US01945","ZCTA5 01945","154049","null","9820","null",
"860Z200US01949","ZCTA5 01949","155482","null","17076","null",
"860Z200US01950","ZCTA5 01950","115807","null","20635","null",
"860Z200US01951","ZCTA5 01951","122344","null","32554","null",
"860Z200US01952","ZCTA5 01952","92048","null","16170","null",
"860Z200US01960","ZCTA5 01960","83539","null","2765","null",
"860Z200US01965","ZCTA5 01965","223570","null","71741","null",
"860Z200US01966","ZCTA5 01966","88377","null","10371","null",
"860Z200US01969","ZCTA5 01969","124196","null","12471","null",
"860Z200US01970","ZCTA5 01970","72994","null","3704","null",
"860Z200US01982","ZCTA5 01982","116955","null","19513","null",
"860Z200US01983","ZCTA5 01983","155208","null","28719","null",
"860Z200US01984","ZCTA5 01984","154375","null","25794","null",
"860Z200US01985","ZCTA5 01985","164250","null","24790","null",
"860Z200US02019","ZCTA5 02019","109042","null","7078","null",
"860Z200US02021","ZCTA5 02021","118814","null","9344","null",
"860Z200US02025","ZCTA5 02025","156689","null","32822","null",
"860Z200US02026","ZCTA5 02026","108047","null","3844","null",
"860Z200US02030","ZCTA5 02030","250,000+","250,000+","***","***",
"860Z200US02032","ZCTA5 02032","161292","null","41611","null",
"860Z200US02035","ZCTA5 02035","95410","null","7663","null",
"860Z200US02038","ZCTA5 02038","127608","null","7867","null",
