DISTRICT,D20GR20N,D20GR20R,D30GR20N,D30GR20R,D40GR20N,D40GR20R,DA0GA20N,DA0GA20P,DA0GE20N,DA0GE20P,DA0GH20N,DA0GH20P,DA0GM20N,DA0GM20P,DA0GN20N,DA0GN20P,DA0GR20N,DA0GR20R,DB0GR20N,DB0GR20R,DE0GR20N,DE0GR20R,DH0GR20N,DH0GR20R,DI0GR20N,DI0GR20R,DISTNAME,DL0GR20N,DL0GR20R,DR0GR20N,DR0GR20R,DS0GR20N,DS0GR20R,DW0GR20N,DW0GR20R
"'148901",0,0,0,0,0,0,23,92,0,0,0,0,0,0,2,8,25,100,0,0,18,72,18,72,0,0,"BOOKER ISD",3,12,5,20,2,8,7,28
"'148902",1,12.5,0,0,0,0,8,100,0,0,0,0,0,0,0,0,8,100,0,0,2,25,1,12.5,0,0,"FOLLETT ISD",0,0,1,12.5,1,12.5,6,75
"'148905",1,16.7,0,0,0,0,6,100,0,0,0,0,0,0,0,0,6,100,0,0,3,50,2,33.3,0,0,"DARROUZETT ISD",0,0,1,16.7,0,0,3,50
"'149901",0,0,0,0,0,0,72,92.3,0,0,0,0,0,0,6,7.7,78,100,1,1.3,37,47.4,41,52.6,0,0,"GEORGE WEST ISD",2,2.6,16,20.5,5,6.4,36,46.2
"'149902",0,0,0,0,0,0,49,75.4,11,16.9,0,0,0,0,5,7.7,65,100,0,0,30,46.2,37,56.9,0,0,"THREE RIVERS ISD",0,0,16,24.6,2,3.1,28,43.1
"'150901",5,4,1,0.8,0,0,95,76,28,22.4,0,0,0,0,2,1.6,125,100,1,0.8,73,58.4,33,26.4,0,0,"LLANO ISD",1,0.8,41,32.8,10,8,85,68
"'152802",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RISE ACADEMY",.,.,.,.,.,.,.,.
"'152803",4,4.5,0,0,0,0,83,93.3,0,0,2,2.2,0,0,4,4.5,89,100,7,7.9,60,67.4,64,71.9,0,0,"TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOC",4,4.5,75,84.3,11,12.4,14,15.7
"'152806",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BETTY M CONDRA SCHOOL FOR EDUCATIO",.,.,.,.,.,.,.,.
"'152901",33,2,47,2.9,1,0.1,1292,79.2,31,1.9,1,0.1,26,1.6,282,17.3,1632,100,252,15.4,1021,62.6,899,55.1,7,0.4,"LUBBOCK ISD",37,2.3,768,47.1,157,9.6,393,24.1
"'152902",1,2.1,0,0,0,0,43,89.6,0,0,0,0,0,0,5,10.4,48,100,0,0,23,47.9,19,39.6,0,0,"NEW DEAL ISD",1,2.1,32,66.7,4,8.3,28,58.3
"'152903",1,1.2,0,0,0,0,79,91.9,1,1.2,0,0,0,0,6,7,86,100,8,9.3,61,70.9,52,60.5,0,0,"SLATON ISD",0,0,29,33.7,6,7,25,29.1
"'152906",6,1.5,5,1.2,1,0.2,333,82.8,3,0.7,0,0,0,0,66,16.4,402,100,11,2.7,104,25.9,139,34.6,1,0.2,"LUBBOCK-COOPER ISD",2,0.5,99,24.6,36,9,239,59.5
"'152907",23,3.7,22,3.5,0,0,615,97.9,0,0,0,0,0,0,13,2.1,628,100,26,4.1,174,27.7,239,38.1,1,0.2,"FRENSHIP ISD",6,1,141,22.5,38,6.1,317,50.5
"'152908",0,0,0,0,0,0,53,80.3,0,0,0,0,0,0,13,19.7,66,100,2,3,42,63.6,39,59.1,0,0,"ROOSEVELT ISD",1,1.5,16,24.2,6,9.1,25,37.9
"'152909",3,2.9,0,0,0,0,94,90.4,8,7.7,0,0,0,0,2,1.9,104,100,1,1,35,33.7,34,32.7,0,0,"SHALLOWATER ISD",0,0,45,43.3,9,8.7,66,63.5
"'152910",0,0,0,0,0,0,55,94.8,0,0,0,0,0,0,3,5.2,58,100,1,1.7,16,27.6,29,50,0,0,"IDALOU ISD",0,0,13,22.4,0,0,28,48.3
"'153903",0,0,0,0,0,0,18,100,0,0,0,0,0,0,0,0,18,100,0,0,12,66.7,17,94.4,0,0,"O'DONNELL ISD",0,0,7,38.9,2,11.1,1,5.6
"'153904",2,5.3,0,0,0,0,35,92.1,0,0,0,0,0,0,3,7.9,38,100,0,0,26,68.4,24,63.2,0,0,"TAHOKA ISD",0,0,19,50,6,15.8,12,31.6
"'153905",0,0,0,0,0,0,21,95.5,1,4.5,0,0,0,0,0,0,22,100,0,0,3,13.6,7,31.8,0,0,"NEW HOME ISD",0,0,1,4.5,1,4.5,15,68.2
"'153907",0,0,0,0,0,0,10,90.9,0,0,0,0,0,0,1,9.1,11,100,0,0,8,72.7,8,72.7,0,0,"WILSON ISD",2,18.2,8,72.7,1,9.1,3,27.3
"'154901",2,1.2,0,0,0,0,155,95.7,4,2.5,0,0,0,0,3,1.9,162,100,34,21,97,59.9,44,27.2,0,0,"MADISONVILLE CISD",4,2.5,31,19.1,13,8,82,50.6
"'154903",0,0,0,0,0,0,13,59.1,5,22.7,0,0,0,0,4,18.2,22,100,0,0,9,40.9,6,27.3,0,0,"NORTH ZULCH ISD",1,4.5,7,31.8,4,18.2,16,72.7
"'155901",0,0,0,0,0,0,79,87.8,0,0,0,0,0,0,11,12.2,90,100,33,36.7,64,71.1,9,10,2,2.2,"JEFFERSON ISD",0,0,14,15.6,12,13.3,46,51.1
"'156902",1,1.8,0,0,0,0,51,91.1,0,0,0,0,0,0,5,8.9,56,100,1,1.8,21,37.5,32,57.1,0,0,"STANTON ISD",1,1.8,23,41.1,4,7.1,22,39.3
"'156905",0,0,0,0,0,0,11,100,0,0,0,0,0,0,0,0,11,100,0,0,1,9.1,5,45.5,0,0,"GRADY ISD",0,0,2,18.2,2,18.2,6,54.5
"'157901",0,0,1,2.2,0,0,42,93.3,1,2.2,0,0,0,0,2,4.4,45,100,0,0,12,26.7,8,17.8,0,0,"MASON ISD",2,4.4,11,24.4,1,2.2,36,80
"'158901",4,1.8,3,1.3,0,0,186,83.4,4,1.8,3,1.3,2,0.9,28,12.6,223,100,36,16.1,164,73.5,144,64.6,0,0,"BAY CITY ISD",10,4.5,115,51.6,9,4,36,16.1
"'158902",2,2.7,0,0,0,0,51,69.9,1,1.4,0,0,0,0,21,28.8,73,100,3,4.1,34,46.6,34,46.6,0,0,"TIDEHAVEN ISD",1,1.4,31,42.5,3,4.1,34,46.6
"'158904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MATAGORDA ISD",.,.,.,.,.,.,.,.
"'158905",1,1,14,13.3,0,0,100,95.2,0,0,0,0,0,0,5,4.8,105,100,2,1.9,64,61,65,61.9,0,0,"PALACIOS ISD",1,1,53,50.5,7,6.7,23,21.9
"'158906",3,4.3,0,0,0,0,52,75.4,1,1.4,0,0,0,0,16,23.2,69,100,10,14.5,37,53.6,17,24.6,0,0,"VAN VLECK ISD",0,0,28,40.6,5,7.2,39,56.5
